"name","bcReference","label","uuid:ID","bcSynonyms","id"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","f73a9746-aa36-4ede-a98f-c7f6b0644685","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","02f56d96-089c-459f-a4e1-bf24f1f04cb5","['SYSBP']","BiomedicalConcept_2"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","6890dd18-3424-4b1c-93ea-6a1b20131bde","['DIABP']","BiomedicalConcept_3"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","8e1e5955-3927-4d39-a03c-21496bb62fee","['Temperature']","BiomedicalConcept_4"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","854d193e-689b-4714-87eb-a468014ae329","['Weight']","BiomedicalConcept_5"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","d946939d-f96a-469f-af04-9e18e6b5cdad","['Height']","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","eef7ce90-5060-43f7-9426-c900fa3061dc","['ALT', 'SGPT']","BiomedicalConcept_7"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","281f49fb-1fe4-417d-b6ab-c888e4e9ddf5","['Albumin']","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","80e3f694-9ee2-44cf-a9b8-fec70dbf2dd1","['Alkaline Phosphatase']","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","d1cdf10b-7503-4c5c-98bb-9984aa3d58ab","['AST', 'SGOT']","BiomedicalConcept_10"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","d86a1bf5-3d3b-4d2d-b017-10784cf06f8b","['Creatinine']","BiomedicalConcept_11"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","90773a68-e0b7-4945-ab21-46acfc67c7a2","['Potassium', 'K']","BiomedicalConcept_12"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","ff1c603f-37f7-4831-b2bb-f15de263303c","['Sodium', 'NA']","BiomedicalConcept_13"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","6b3974f4-0ebc-491b-885f-22de801a0cc7","['SYSBP']","BiomedicalConcept_14"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","0125d5f6-291e-419a-8dae-ce2759bc448a","['DIABP']","BiomedicalConcept_15"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","985b16e0-fa77-473a-8e49-21582a39f4c9","['SYSBP']","BiomedicalConcept_16"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","402f957c-443c-46ec-8e5d-1c4bdb12f4ca","['DIABP']","BiomedicalConcept_17"
