"sectionTitle","text","id","name","uuid:ID","sectionNumber"
"TRIAL POPULATION","<div></div>","NarrativeContent_20","SECTION 5","e40577ca-c82c-4c73-b546-dce8689e1a80","5"
"Selection of Trial Population","<div></div>","NarrativeContent_21","SECTION 5.1","b3892d2e-6202-4a58-9141-9d3c995b514a","5.1"
"Rationale for Trial Population","<div></div>","NarrativeContent_22","SECTION 5.2","62162e61-b33d-40ce-8860-e1a6d183867e","5.2"
"Inclusion Criteria","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","NarrativeContent_23","SECTION 5.3","36147a8f-e4fb-47e3-9393-78a4e213b9d7","5.3"
"Exclusion Criteria","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","NarrativeContent_24","SECTION 5.4","b2f6d6b7-09ed-4d13-89ad-45854e1861cd","5.4"
"Lifestyle Considerations","<div></div>","NarrativeContent_25","SECTION 5.5","6978feaa-d90e-4885-8590-a8b92ab1bc62","5.5"
"Meals and Dietary Restrictions","<div></div>","NarrativeContent_26","SECTION 5.5.1","42fc3d87-1420-4e77-9042-258376c2dab6","5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","<div></div>","NarrativeContent_27","SECTION 5.5.2","9f8bad77-207d-4cbc-949b-40163fdd63c0","5.5.2"
"Physical Activity","<div></div>","NarrativeContent_28","SECTION 5.5.3","2a6faa93-d8b2-47a1-bf50-a11e7a280f9e","5.5.3"
"Other Activity","<div></div>","NarrativeContent_29","SECTION 5.5.4","579c4323-2c57-40e3-82b3-6883f54b49de","5.5.4"
"Screen Failures","<div></div>","NarrativeContent_30","SECTION 5.6","16555e0f-058d-4b92-9478-e61483c3000f","5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","NarrativeContent_31","SECTION 6","e4408b32-568e-4830-acbb-31b6aa90ccb4","6"
"Description of Trial Intervention","<div></div>","NarrativeContent_32","SECTION 6.1","91090072-bf0b-41ae-9666-f87769e135cd","6.1"
"Rationale for Trial Intervention","<div></div>","NarrativeContent_33","SECTION 6.2","732e3db7-6b09-4197-a0c0-b47259963502","6.2"
"Dosing and Administration","<div></div>","NarrativeContent_34","SECTION 6.3","0a47d370-55a8-4be1-9c60-73427e69af6d","6.3"
"Trial Intervention Dose Modification","<div></div>","NarrativeContent_35","SECTION 6.3.1","a08bcb93-2fbf-4652-a2d2-9c89106e5f9e","6.3.1"
"Treatment of Overdose","<div></div>","NarrativeContent_36","SECTION 6.4","00662eec-63bf-419c-ba9a-701f6dbe7ffc","6.4"
"Preparation, Handling, Storage and Accountability","<div></div>","NarrativeContent_37","SECTION 6.5","ff412453-f4fb-45a1-b5c5-c8c1180e7112","6.5"
"Preparation of Trial Intervention","<div></div>","NarrativeContent_38","SECTION 6.5.1","ec91c1ab-2d6a-4b74-9062-2d9feda62aa1","6.5.1"
"Handling and Storage of Trial Intervention","<div></div>","NarrativeContent_39","SECTION 6.5.2","c74ceab6-2b9f-4d33-ad47-0491520202e7","6.5.2"
"Accountability of Trial Intervention","<div></div>","NarrativeContent_40","SECTION 6.5.3","a3d8507f-893e-46e1-a1c0-41ba47adbaa5","6.5.3"
"Participant Assignment, Randomisation and Blinding","<div></div>","NarrativeContent_41","SECTION 6.6","9505d140-b820-4be0-b5e8-7406914fd2d0","6.6"
"Participant Assignment","<div></div>","NarrativeContent_42","SECTION 6.6.1","2fee9c0a-0c2e-4e6a-b2f6-0a73ea79dce6","6.6.1"
"Randomisation","<div></div>","NarrativeContent_43","SECTION 6.6.2","bd672b8a-9694-43f7-a0e2-f63cbe054982","6.6.2"
"Blinding and Unblinding","<div><p>Blinding and unblinding text here please</p></div>","NarrativeContent_44","SECTION 6.6.3","f2be242c-ac67-4f02-ba69-517d48e4d965","6.6.3"
"Trial Intervention Compliance","<div></div>","NarrativeContent_45","SECTION 6.7","ad7e957d-7b0e-4511-b947-2f560287da65","6.7"
"Concomitant Therapy","<div></div>","NarrativeContent_46","SECTION 6.8","ae66c5fd-5955-4291-86f6-967d894f0b81","6.8"
"Prohibited Concomitant Therapy","<div></div>","NarrativeContent_47","SECTION 6.8.1","2e70ed63-0995-4a80-9aba-523fbba1ade7","6.8.1"
"Permitted Concomitant Therapy","<div></div>","NarrativeContent_48","SECTION 6.8.2","5eac9e57-bf64-40ad-8573-b9fe84842198","6.8.2"
"Rescue Therapy","<div></div>","NarrativeContent_49","SECTION 6.8.3","ca4610b6-cbfb-45a6-840a-120b71b722bf","6.8.3"
"Other Therapy","<div></div>","NarrativeContent_50","SECTION 6.8.4","fba9cb56-c93a-42e2-bbae-aca800b9a037","6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","NarrativeContent_51","SECTION 7","4d08cdf4-d4b7-41f3-ab2d-2e18655b7896","7"
"Discontinuation of Trial Intervention","<div></div>","NarrativeContent_52","SECTION 7.1","209a4423-ff10-4dc3-b3df-e3678702cf81","7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","NarrativeContent_53","SECTION 7.1.1","79ddab3b-54c4-45ba-ae6e-750be5c2830e","7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","NarrativeContent_54","SECTION 7.1.2","2fcf8a26-b711-4838-b2b0-57a169310cc4","7.1.2"
"Rechallenge","<div></div>","NarrativeContent_55","SECTION 7.1.3","fa8df64e-a0a5-4792-a47a-e823b79b4c3e","7.1.3"
"Participant Withdrawal from the Trial","<div></div>","NarrativeContent_56","SECTION 7.2","65498d24-d621-400a-9fb2-0bdd774ee243","7.2"
"Lost to Follow-Up","<div></div>","NarrativeContent_57","SECTION 7.3","004737af-5ae9-42aa-a06c-13fd271a9914","7.3"
"Trial Stopping Rules","<div></div>","NarrativeContent_58","SECTION 7.4","8ed1d9c4-cbdd-4adc-8411-039353418f37","7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","NarrativeContent_59","SECTION 8","df85f013-85ee-4712-ac84-c6117be61cdc","8"
"Screening/Baseline Assessments and Procedures","<div></div>","NarrativeContent_60","SECTION 8.1","0adaa1d6-f7cf-41b4-a963-bbbac798e1a3","8.1"
"Efficacy Assessments and Procedures","<div></div>","NarrativeContent_61","SECTION 8.2","389bced8-ba1a-43e5-9867-c8af6681b150","8.2"
"Safety Assessments and Procedures","<div></div>","NarrativeContent_62","SECTION 8.3","6db70c3c-6a6f-4f47-bd61-2caa3cbd5b63","8.3"
"Physical Examination","<div></div>","NarrativeContent_63","SECTION 8.3.1","f60cdfac-2610-476c-b905-537387c02106","8.3.1"
"Vital Signs","<div></div>","NarrativeContent_64","SECTION 8.3.2","bfd1150f-06fa-42ed-9a15-8c867c00903a","8.3.2"
"Electrocardiograms","<div></div>","NarrativeContent_65","SECTION 8.3.3","cf742552-f873-4a36-ab22-8b1057a237a0","8.3.3"
"Clinical Laboratory Assessments","<div></div>","NarrativeContent_66","SECTION 8.3.4","a4200103-7ad9-42d0-9ae2-9986b89f0b43","8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","NarrativeContent_67","SECTION 8.3.5","b43e2f9c-bdd1-48d3-bcbf-957737aae7cb","8.3.5"
"Adverse Events and Serious Adverse Events","<div></div>","NarrativeContent_68","SECTION 8.4","2e104058-dfd5-4c60-a9dd-b8492da0f029","8.4"
"Definitions of AE and SAE","<div></div>","NarrativeContent_69","SECTION 8.4.1","992908c7-8008-49d5-8287-a28382926e77","8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","<div></div>","NarrativeContent_70","SECTION 8.4.2","bf81e163-74d7-4ed7-bc96-92c2c75fc553","8.4.2"
"Identifying AEs and SAEs","<div></div>","NarrativeContent_71","SECTION 8.4.3","4536408f-fd33-4bc0-b615-d66ccaa205f3","8.4.3"
"Recording of AEs and SAEs","<div></div>","NarrativeContent_72","SECTION 8.4.4","c45f1916-bbe8-4ef0-9701-472f4a6295e4","8.4.4"
"Follow-up of AEs and SAEs","<div></div>","NarrativeContent_73","SECTION 8.4.5","954ec0d7-9e45-4938-b59d-337781ca6442","8.4.5"
"Reporting of SAEs","<div></div>","NarrativeContent_74","SECTION 8.4.6","648c635d-7fb2-4aa5-98e1-876cdad34f7c","8.4.6"
"Regulatory Reporting Requirements for SAEs","<div></div>","NarrativeContent_75","SECTION 8.4.7","d45a62aa-5a34-4bef-b9ce-006e161a54fb","8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","<div></div>","NarrativeContent_76","SECTION 8.4.8","dd331bf6-2186-4ae1-a7f8-2e52e79ee356","8.4.8"
"Adverse Events of Special Interest","<div></div>","NarrativeContent_77","SECTION 8.4.9","5084cd1c-80fd-4ec2-b967-a9e22872e6d2","8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","NarrativeContent_78","SECTION 8.4.10","e26fc679-be61-4b8d-b013-74b3f7e8b7a6","8.4.10"
"Pregnancy and Postpartum Information","<div></div>","NarrativeContent_79","SECTION 8.5","8260d811-ee85-46c8-96ba-2e6da4208566","8.5"
"Participants Who Become Pregnant During the Trial","<div></div>","NarrativeContent_80","SECTION 8.5.1","0f23365b-ca32-4d9e-aa65-ccfe8a4f22eb","8.5.1"
"Participants Whose Partners Become Pregnant","<div></div>","NarrativeContent_81","SECTION 8.5.2","44cee014-d0a1-4f48-b7e0-7a566931e590","8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","NarrativeContent_82","SECTION 8.6","7dad0c63-3255-418c-b6fd-b7279bcc6c96","8.6"
"Definition of Medical Device Product Complaints","<div></div>","NarrativeContent_83","SECTION 8.6.1","1f53a326-78ac-4035-aafd-b1a958fa8332","8.6.1"
"Recording of Medical Device Product Complaints","<div></div>","NarrativeContent_84","SECTION 8.6.2","fe7acecd-8ec0-41c3-bd18-60e289d5b64f","8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","NarrativeContent_85","SECTION 8.6.3","2e50952d-221f-43bc-b2f2-888a3751528f","8.6.3"
"Follow-Up of Medical Device Product Complaints","<div></div>","NarrativeContent_86","SECTION 8.6.4","572e0f5b-0a9d-4182-964d-df3c8b7a5986","8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","NarrativeContent_87","SECTION 8.6.5","304f4c79-7da7-4c12-b888-b3ce53833790","8.6.5"
"Pharmacokinetics","<div></div>","NarrativeContent_88","SECTION 8.7","21a39f7f-ffa7-4890-aa35-b31cd1a9e91d","8.7"
"Genetics","<div></div>","NarrativeContent_89","SECTION 8.8","b800dcec-37a7-4d95-b1e7-95b4fc2cc7cd","8.8"
"Biomarkers","<div></div>","NarrativeContent_90","SECTION 8.9","f160e9cc-6911-4da4-8023-d00b8e498338","8.9"
"Immunogenicity Assessments","<div></div>","NarrativeContent_91","SECTION 8.1","16b3d7f0-a31d-4adc-aaab-5a33f4d141e2","8.1"
"Medical Resource Utilisation and Health Economics","<div></div>","NarrativeContent_92","SECTION 8.1.1","5b28eb1b-03fb-4012-b2ef-cc3625fdffd7","8.1.1"
"STATISTICAL CONSIDERATIONS","<div></div>","NarrativeContent_93","SECTION 9","71bfe5f8-4bb7-4ba2-b613-5f94d4c66317","9"
"Analysis Sets","<div></div>","NarrativeContent_94","SECTION 9.1","d40bdd98-c43a-4483-9163-48da6be7236c","9.1"
"Analyses Supporting Primary Objective(s)","<div></div>","NarrativeContent_95","SECTION 9.2","59450c96-3c28-484d-b032-a68b842a2a37","9.2"
"Statistical Model, Hypothesis, and Method of Analysis","<div></div>","NarrativeContent_96","SECTION 9.2.1","bce8416d-56a0-4bb3-bcc8-739077e64aff","9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","NarrativeContent_97","SECTION 9.2.2","208eb86f-c9a8-4b76-8254-453b837f9f30","9.2.2"
"Handling of Missing Data","<div></div>","NarrativeContent_98","SECTION 9.2.3","b189848d-5139-4932-865a-3f038c6e56dd","9.2.3"
"Sensitivity Analysis","<div></div>","NarrativeContent_99","SECTION 9.2.4","94bc1e6e-cd94-4939-805a-3e23a45e2308","9.2.4"
"Supplementary Analysis","<div></div>","NarrativeContent_100","SECTION 9.2.5","f8a709f3-9658-49d7-a9bd-5e5d6d6b867c","9.2.5"
"Analysis Supporting Secondary Objective(s)","<div></div>","NarrativeContent_101","SECTION 9.3","81969dad-7e8e-475a-8744-5fb8198b0d48","9.3"
"Analysis of Exploratory Objective(s)","<div></div>","NarrativeContent_102","SECTION 9.4","3ea90e80-15fa-4ea6-919e-ed9009185876","9.4"
"Safety Analyses","<div></div>","NarrativeContent_103","SECTION 9.5","e520f873-c45e-4b0e-8766-377cda097a4a","9.5"
"Other Analyses","<div></div>","NarrativeContent_104","SECTION 9.6","5f9514d2-8d73-42c4-a1e5-a893acd295d3","9.6"
"Interim Analyses","<div></div>","NarrativeContent_105","SECTION 9.7","7bb0df5c-ae30-460c-bf6c-da1b0ac59328","9.7"
"Sample Size Determination","<div></div>","NarrativeContent_106","SECTION 9.8","db3a629c-29de-4c47-9a0b-072e12b97277","9.8"
"Protocol Deviations","<div></div>","NarrativeContent_107","SECTION 9.9","e92008ac-fec1-4265-b2f5-c5c4a51368b7","9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","NarrativeContent_108","SECTION 10","b6d19f96-7511-4a95-904f-2543cecf9e79","10"
"Regulatory and Ethical Considerations","<div></div>","NarrativeContent_109","SECTION 10.1","9e8b0498-8c21-4a7d-a65b-284c649a26c0","10.1"
"Committees","<div></div>","NarrativeContent_110","SECTION 10.2","81baddef-f552-4770-82df-a78481c69e6e","10.2"
"Informed Consent Process","<div></div>","NarrativeContent_111","SECTION 10.3","62c96a38-468c-4b54-919d-c6466a331aea","10.3"
"Data Protection","<div></div>","NarrativeContent_112","SECTION 10.4","edc19ab1-69ce-4e57-8d93-6a9064d3ed97","10.4"
"Early Site Closure or Trial Termination","<div></div>","NarrativeContent_113","SECTION 10.5","e20961a0-c287-404a-88ef-d167b61ad346","10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","NarrativeContent_114","SECTION 11","b1ce3193-b611-4bdd-9ce3-db78b4c70e1e","11"
"Quality Tolerance Limits","<div></div>","NarrativeContent_115","SECTION 11.1","18f454f8-ec3d-4070-a599-df9d6b6b9b9b","11.1"
"Data Quality Assurance","<div></div>","NarrativeContent_116","SECTION 11.2","6e03d353-7945-4f7b-8a94-a6169ebc2d5a","11.2"
"Source Data","<div></div>","NarrativeContent_117","SECTION 11.3","fb0c7a7f-1553-4783-a4e6-caa28cd51db8","11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","NarrativeContent_118","SECTION 12","4fec7f07-557d-4ad2-9e0c-55279494c03c","12"
"Further Details and Clarifications on the AE Definition","<div></div>","NarrativeContent_119","SECTION 12.1","8c9da5ad-86dd-411b-9ee2-5a391cadfb97","12.1"
"Further Details and Clarifications on the SAE Definition","<div></div>","NarrativeContent_120","SECTION 12.2","8e71707a-03f0-40aa-b3b4-3f77036a983e","12.2"
"Severity","<div></div>","NarrativeContent_121","SECTION 12.3","fc84ff36-28bd-48f2-83b5-ccdef03271ff","12.3"
"Causality","<div></div>","NarrativeContent_122","SECTION 12.4","413abb46-d337-4312-be5f-b527d9a3ffc5","12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","NarrativeContent_123","SECTION 13","af3fbbf7-39e1-48ac-b2cc-c02f7aa51573","13"
"Contraception and Pregnancy Testing","<div></div>","NarrativeContent_124","SECTION 13.1","09fbeeab-f691-4fb7-b7d5-6bc869c38267","13.1"
"Definitions Related to Childbearing Potential","<div></div>","NarrativeContent_125","SECTION 13.1.1","8e522aba-4bb6-44d0-bd4f-e868438985f3","13.1.1"
"Contraception","<div></div>","NarrativeContent_126","SECTION 13.1.2","f2e87078-9bb2-4ade-a848-65221e8883e6","13.1.2"
"Pregnancy Testing","<div></div>","NarrativeContent_127","SECTION 13.1.3","75f5c003-188b-4b51-be60-082e9849478d","13.1.3"
"Clinical Laboratory Tests","<div></div>","NarrativeContent_128","SECTION 13.2","f8ea2583-fd00-4163-bcbb-c14afd4dae38","13.2"
"Country/Region-Specific Differences","<div></div>","NarrativeContent_129","SECTION 13.3","0e700f4b-3b2e-4d01-b581-cd4cb5c11196","13.3"
"Prior Protocol Amendments","<div></div>","NarrativeContent_130","SECTION 13.4","b5f3f128-d415-4271-8650-e34f06636ad0","13.4"
"APPENDIX: GLOSSARY OF TERMS","<div></div>","NarrativeContent_131","SECTION 14","9a62f095-44f5-4dec-a6c5-ab3c748b69c7","14"
"APPENDIX: REFERENCES","<div></div>","NarrativeContent_132","SECTION 15","dd4a96ad-3e21-403e-9cf6-8a748e09378f","15"
