"sectionNumber","id","name","text","instanceType","sectionTitle","uuid:ID"
"4.1","NarrativeContent_13","SECTION 4.1","<div></div>","NarrativeContent","Description of Trial Design","4f5428a2-87e3-4e7f-be12-cec8755a2976"
"4.1.1","NarrativeContent_14","SECTION 4.1.1","<div></div>","NarrativeContent","Participant Input into Design","e3fe58f0-7646-42a1-9a99-350b6ff1cf56"
"4.2","NarrativeContent_15","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","Rationale for Trial Design","c0e6d3b6-dad2-479c-a12f-ff3082a072b4"
"4.2.1","NarrativeContent_16","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","Rationale for Comparator","a0e7845a-f032-4826-bea0-1f35e6cafe8b"
"4.2.2","NarrativeContent_17","SECTION 4.2.2","<div></div>","NarrativeContent","Rationale for Adaptive or Novel Trial Design","29a58a30-bfb9-4cbb-9631-71c3c05ca868"
"4.2.3","NarrativeContent_18","SECTION 4.2.3","<div></div>","NarrativeContent","Other Trial Design Considerations","cf6f0765-7b33-4b19-8ac3-72fe2d7828cf"
"4.3","NarrativeContent_19","SECTION 4.3","<div></div>","NarrativeContent","Access to Trial Intervention After End of Trial","438d1d6e-8bee-4d36-a3e3-9ef7fe1e5d02"
"4.4","NarrativeContent_20","SECTION 4.4","<div></div>","NarrativeContent","Start of Trial and End of Trial","7df03a2d-64e7-4cba-8772-5734c7d2204d"
"5","NarrativeContent_21","SECTION 5","<div></div>","NarrativeContent","TRIAL POPULATION","569d5eed-991a-40be-ba85-c37a124ff9f4"
"5.1","NarrativeContent_22","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","Selection of Trial Population","1ea81f8a-b67d-467e-a741-70611f8760c2"
"5.2","NarrativeContent_23","SECTION 5.2","<div></div>","NarrativeContent","Rationale for Trial Population","c2438243-f0a8-42b8-ae9d-8e558a1c2d6b"
"5.3","NarrativeContent_24","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","Inclusion Criteria","06822a03-3a3f-418c-9f6a-2cc3ad7c4428"
"5.4","NarrativeContent_25","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","Exclusion Criteria","3d333a8b-e607-4f00-b4ee-d47adc2682aa"
"5.5","NarrativeContent_26","SECTION 5.5","<div></div>","NarrativeContent","Lifestyle Considerations","f38e8607-e2fb-4574-9e34-a2f029a588c8"
"5.5.1","NarrativeContent_27","SECTION 5.5.1","<div></div>","NarrativeContent","Meals and Dietary Restrictions","0112359a-52ed-44d4-b999-4f7a2b0f61ac"
"5.5.2","NarrativeContent_28","SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","3b80cffe-abd2-483e-88cc-b6fc561cdb82"
"5.5.3","NarrativeContent_29","SECTION 5.5.3","<div></div>","NarrativeContent","Physical Activity","c54d302d-3ca4-46ad-9197-66f564dede6a"
"5.5.4","NarrativeContent_30","SECTION 5.5.4","<div></div>","NarrativeContent","Other Activity","efaa126b-3a18-412f-affc-e74125d2a086"
"5.6","NarrativeContent_31","SECTION 5.6","<div></div>","NarrativeContent","Screen Failures","857e2b2a-fb61-40f9-b56c-f51152ad2b6a"
"6","NarrativeContent_32","SECTION 6","<div></div>","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","627a8699-239e-4569-902b-4f402e5ba428"
"6.1","NarrativeContent_33","SECTION 6.1","<div></div>","NarrativeContent","Description of Trial Intervention","bec2dfd0-67b5-43f3-a8ab-b7f829cdb876"
"6.2","NarrativeContent_34","SECTION 6.2","<div></div>","NarrativeContent","Rationale for Trial Intervention","33e0ab09-dc1d-458b-8dc5-deef22598643"
"6.3","NarrativeContent_35","SECTION 6.3","<div></div>","NarrativeContent","Dosing and Administration","a7b04557-2378-42f8-be0f-7444adea1f2e"
"6.3.1","NarrativeContent_36","SECTION 6.3.1","<div></div>","NarrativeContent","Trial Intervention Dose Modification","7c1b1cc2-7fbd-4a96-b4fa-b84dbab65a25"
"6.4","NarrativeContent_37","SECTION 6.4","<div></div>","NarrativeContent","Treatment of Overdose","8a3786c6-1acc-46bd-805c-379c42c2df8b"
"6.5","NarrativeContent_38","SECTION 6.5","<div></div>","NarrativeContent","Preparation, Handling, Storage and Accountability","ca97bfeb-db3c-4c57-9a6f-d70ad868a37b"
"6.5.1","NarrativeContent_39","SECTION 6.5.1","<div></div>","NarrativeContent","Preparation of Trial Intervention","93b51e17-0c4c-43c3-9919-c5c81300ac0e"
"6.5.2","NarrativeContent_40","SECTION 6.5.2","<div></div>","NarrativeContent","Handling and Storage of Trial Intervention","b49c3677-f4ca-4825-97ce-9e265fb39199"
"6.5.3","NarrativeContent_41","SECTION 6.5.3","<div></div>","NarrativeContent","Accountability of Trial Intervention","9a6e3e67-f809-4448-bd61-5ed326da92e7"
"6.6","NarrativeContent_42","SECTION 6.6","<div></div>","NarrativeContent","Participant Assignment, Randomisation and Blinding","5f3b693b-e108-4991-84d1-892873208680"
"6.6.1","NarrativeContent_43","SECTION 6.6.1","<div></div>","NarrativeContent","Participant Assignment","184726e6-6d8b-477c-b54d-1f650cc43017"
"6.6.2","NarrativeContent_44","SECTION 6.6.2","<div></div>","NarrativeContent","Randomisation","158adff4-f7eb-4373-adda-c807682e7dc6"
"6.6.3","NarrativeContent_45","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","Blinding and Unblinding","085574b6-a048-4fce-8858-49498f9714f4"
"6.7","NarrativeContent_46","SECTION 6.7","<div></div>","NarrativeContent","Trial Intervention Compliance","0f0cfab2-4152-4f5d-9ed9-ad5ede6593bd"
"6.8","NarrativeContent_47","SECTION 6.8","<div></div>","NarrativeContent","Concomitant Therapy","3fe785dc-9c8b-49e8-93c6-a66f21f711b3"
"6.8.1","NarrativeContent_48","SECTION 6.8.1","<div></div>","NarrativeContent","Prohibited Concomitant Therapy","90cad1a5-aa4c-4f58-b51d-861d3bce37bd"
"6.8.2","NarrativeContent_49","SECTION 6.8.2","<div></div>","NarrativeContent","Permitted Concomitant Therapy","4e934385-2400-4f28-81e2-ff0a96ae2d86"
"6.8.3","NarrativeContent_50","SECTION 6.8.3","<div></div>","NarrativeContent","Rescue Therapy","467a30e6-e759-427e-bd9c-b3bfc05d3e9e"
"6.8.4","NarrativeContent_51","SECTION 6.8.4","<div></div>","NarrativeContent","Other Therapy","cd1ea085-f732-44b2-9ad7-089f479d981e"
"7","NarrativeContent_52","SECTION 7","<div></div>","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","29e75d03-4749-4b2b-957b-6dbbca1893e6"
"7.1","NarrativeContent_53","SECTION 7.1","<div></div>","NarrativeContent","Discontinuation of Trial Intervention","946bd468-0b9c-4030-9d7c-be77b4794c89"
"7.1.1","NarrativeContent_54","SECTION 7.1.1","<div></div>","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","01ec486c-85b4-465e-921f-e653117352cb"
"7.1.2","NarrativeContent_55","SECTION 7.1.2","<div></div>","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","47a6b9c0-e747-449c-8522-52de79a4a445"
"7.1.3","NarrativeContent_56","SECTION 7.1.3","<div></div>","NarrativeContent","Rechallenge","974a1f9e-bee4-4522-927d-477c8e3be379"
"7.2","NarrativeContent_57","SECTION 7.2","<div></div>","NarrativeContent","Participant Withdrawal from the Trial","4ba37ae0-eeed-48f1-968c-e2c90092042c"
"7.3","NarrativeContent_58","SECTION 7.3","<div></div>","NarrativeContent","Lost to Follow-Up","f5781d28-cd09-457b-a3ac-f40821d77ccd"
"7.4","NarrativeContent_59","SECTION 7.4","<div></div>","NarrativeContent","Trial Stopping Rules","67083556-5334-49c9-a7fd-ef3cf60329d8"
"8","NarrativeContent_60","SECTION 8","<div></div>","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","b5a4cc3a-0e3c-4052-a8f5-ee6019a8a095"
"8.1","NarrativeContent_61","SECTION 8.1","<div></div>","NarrativeContent","Screening/Baseline Assessments and Procedures","6d894a74-e9a4-47a8-8648-9dbb45bb84d8"
"8.2","NarrativeContent_62","SECTION 8.2","<div></div>","NarrativeContent","Efficacy Assessments and Procedures","c76e8232-7724-4115-aded-25a471bb57ef"
"8.3","NarrativeContent_63","SECTION 8.3","<div></div>","NarrativeContent","Safety Assessments and Procedures","cf505ca2-2804-4f36-a409-9b8e05fe50b9"
"8.3.1","NarrativeContent_64","SECTION 8.3.1","<div></div>","NarrativeContent","Physical Examination","6f9c16df-c83a-43c5-b905-37cd89d27b2f"
"8.3.2","NarrativeContent_65","SECTION 8.3.2","<div></div>","NarrativeContent","Vital Signs","56dd6222-a93d-4648-99c0-59c86fef37da"
"8.3.3","NarrativeContent_66","SECTION 8.3.3","<div></div>","NarrativeContent","Electrocardiograms","fa113490-2a6e-46de-9abd-5122a1efa684"
"8.3.4","NarrativeContent_67","SECTION 8.3.4","<div></div>","NarrativeContent","Clinical Laboratory Assessments","b58f2c53-91e1-40ec-8bde-a42ae29ca090"
"8.3.5","NarrativeContent_68","SECTION 8.3.5","<div></div>","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","009f1152-63d8-4ad4-9419-6ce00ef19217"
"8.4","NarrativeContent_69","SECTION 8.4","<div></div>","NarrativeContent","Adverse Events and Serious Adverse Events","29982184-4baa-4dca-be78-f9ed52b65b06"
"8.4.1","NarrativeContent_70","SECTION 8.4.1","<div></div>","NarrativeContent","Definitions of AE and SAE","3ab71999-30c3-435b-9f35-22905fa2ee86"
"8.4.2","NarrativeContent_71","SECTION 8.4.2","<div></div>","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","e5aa6376-007d-4b72-9ebe-37c9952ef3c4"
"8.4.3","NarrativeContent_72","SECTION 8.4.3","<div></div>","NarrativeContent","Identifying AEs and SAEs","bafcac33-5362-41d4-8a97-ab77918204e6"
"8.4.4","NarrativeContent_73","SECTION 8.4.4","<div></div>","NarrativeContent","Recording of AEs and SAEs","97b873e6-aa78-41c2-844c-63f2edc4ff62"
"8.4.5","NarrativeContent_74","SECTION 8.4.5","<div></div>","NarrativeContent","Follow-up of AEs and SAEs","07f66649-93c3-4e68-b323-36284b09342b"
"8.4.6","NarrativeContent_75","SECTION 8.4.6","<div></div>","NarrativeContent","Reporting of SAEs","9cb4de3e-67f9-4e1c-a42c-b07020b5b41e"
"8.4.7","NarrativeContent_76","SECTION 8.4.7","<div></div>","NarrativeContent","Regulatory Reporting Requirements for SAEs","58601ac8-a14f-4fad-bf46-d6d2f2ccb3a6"
"8.4.8","NarrativeContent_77","SECTION 8.4.8","<div></div>","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","03944063-f3d0-4095-8e55-8473702d9ab8"
"8.4.9","NarrativeContent_78","SECTION 8.4.9","<div></div>","NarrativeContent","Adverse Events of Special Interest","76ebb01c-babd-4dd1-93c0-7055ad9ee740"
"8.4.10","NarrativeContent_79","SECTION 8.4.10","<div></div>","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","ea806908-2df1-4adf-9c05-80f40260cc62"
"8.5","NarrativeContent_80","SECTION 8.5","<div></div>","NarrativeContent","Pregnancy and Postpartum Information","e3a5e11a-542e-4e85-9716-5c32a87daa95"
"8.5.1","NarrativeContent_81","SECTION 8.5.1","<div></div>","NarrativeContent","Participants Who Become Pregnant During the Trial","be7f849d-b835-48d6-8635-d0c04b6c952e"
"8.5.2","NarrativeContent_82","SECTION 8.5.2","<div></div>","NarrativeContent","Participants Whose Partners Become Pregnant","9730203b-5b22-4e0b-b1f1-cf272fca863b"
"8.6","NarrativeContent_83","SECTION 8.6","<div></div>","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","876972b3-39b1-47d4-9a0f-349862f52f06"
"8.6.1","NarrativeContent_84","SECTION 8.6.1","<div></div>","NarrativeContent","Definition of Medical Device Product Complaints","ced7bffb-3bf6-46b4-9447-46004f2b6ddb"
"8.6.2","NarrativeContent_85","SECTION 8.6.2","<div></div>","NarrativeContent","Recording of Medical Device Product Complaints","b7806480-4022-4737-a987-73d29d64c6f6"
"8.6.3","NarrativeContent_86","SECTION 8.6.3","<div></div>","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","1b7a4d90-66ac-43d7-b741-b96453863917"
"8.6.4","NarrativeContent_87","SECTION 8.6.4","<div></div>","NarrativeContent","Follow-Up of Medical Device Product Complaints","86f4a82c-aff2-4a61-beb8-817503379595"
"8.6.5","NarrativeContent_88","SECTION 8.6.5","<div></div>","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","23f88bb3-8962-4af2-a32a-dc7085bc1f3d"
"8.7","NarrativeContent_89","SECTION 8.7","<div></div>","NarrativeContent","Pharmacokinetics","16d59eaf-0b5a-48df-b9c8-231168715f14"
"8.8","NarrativeContent_90","SECTION 8.8","<div></div>","NarrativeContent","Genetics","83de1881-fae8-4b3d-bc53-cc0d976404c5"
"8.9","NarrativeContent_91","SECTION 8.9","<div></div>","NarrativeContent","Biomarkers","ab78ac47-b5a2-4c31-9075-d85b09d0b42d"
"8.1","NarrativeContent_92","SECTION 8.1","<div></div>","NarrativeContent","Immunogenicity Assessments","87184ade-4084-41db-94e6-24073efe97af"
"8.1.1","NarrativeContent_93","SECTION 8.1.1","<div></div>","NarrativeContent","Medical Resource Utilisation and Health Economics","c9ebc6e5-20ad-4610-8028-cb05b539023c"
"9","NarrativeContent_94","SECTION 9","<div></div>","NarrativeContent","STATISTICAL CONSIDERATIONS","64da621f-1094-4aa8-a846-cc1e006b0170"
"9.1","NarrativeContent_95","SECTION 9.1","<div></div>","NarrativeContent","Analysis Sets","fda54446-7639-4694-b912-918b1e854727"
"9.2","NarrativeContent_96","SECTION 9.2","<div></div>","NarrativeContent","Analyses Supporting Primary Objective(s)","0b421c03-b23c-4805-ae87-f0502732c323"
"9.2.1","NarrativeContent_97","SECTION 9.2.1","<div></div>","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","7193d85d-b90f-4a22-b98f-5f1b02103abe"
"9.2.2","NarrativeContent_98","SECTION 9.2.2","<div></div>","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","baf20dc9-60f1-4120-b88a-3657bcd6728a"
"9.2.3","NarrativeContent_99","SECTION 9.2.3","<div></div>","NarrativeContent","Handling of Missing Data","b99afb73-3339-4506-b250-572d5b5b2793"
"9.2.4","NarrativeContent_100","SECTION 9.2.4","<div></div>","NarrativeContent","Sensitivity Analysis","b370a7ca-d4be-478e-a0d2-09e46904a229"
"9.2.5","NarrativeContent_101","SECTION 9.2.5","<div></div>","NarrativeContent","Supplementary Analysis","ad403a51-1b7f-48b9-b85d-b1ba6e799ccb"
"9.3","NarrativeContent_102","SECTION 9.3","<div></div>","NarrativeContent","Analysis Supporting Secondary Objective(s)","5ca4176a-bc67-4f19-b0d3-90169c2b64f3"
"9.4","NarrativeContent_103","SECTION 9.4","<div></div>","NarrativeContent","Analysis of Exploratory Objective(s)","a6f9b1c2-f5b1-42cd-9af6-bcd23eff1913"
"9.5","NarrativeContent_104","SECTION 9.5","<div></div>","NarrativeContent","Safety Analyses","237ba081-fdea-4602-8c9e-d7e1ff0fd4ba"
"9.6","NarrativeContent_105","SECTION 9.6","<div></div>","NarrativeContent","Other Analyses","9d80dd1b-694e-40a5-8430-cbe8ecfc4527"
"9.7","NarrativeContent_106","SECTION 9.7","<div></div>","NarrativeContent","Interim Analyses","bd92e632-37df-4be8-b6a2-a0039f419f8f"
"9.8","NarrativeContent_107","SECTION 9.8","<div></div>","NarrativeContent","Sample Size Determination","e57ae24f-de61-4dec-b4fb-83651267cda9"
"9.9","NarrativeContent_108","SECTION 9.9","<div></div>","NarrativeContent","Protocol Deviations","f012a85f-9c78-4775-97e3-38ab457b07c3"
"10","NarrativeContent_109","SECTION 10","<div></div>","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","8a4a6105-d5c2-4f5b-b9de-fc68e57c4573"
"10.1","NarrativeContent_110","SECTION 10.1","<div></div>","NarrativeContent","Regulatory and Ethical Considerations","a95ac31f-cbcb-4d5a-acd0-06a96fde494e"
"10.2","NarrativeContent_111","SECTION 10.2","<div></div>","NarrativeContent","Committees","085d2e7f-cc43-4d96-84c6-11fd6d873d6d"
"10.3","NarrativeContent_112","SECTION 10.3","<div></div>","NarrativeContent","Informed Consent Process","492c96f0-0547-47f9-9179-e01c51426389"
"10.4","NarrativeContent_113","SECTION 10.4","<div></div>","NarrativeContent","Data Protection","ff16a6dd-5b0f-4661-b6fe-bcbae9db86ed"
"10.5","NarrativeContent_114","SECTION 10.5","<div></div>","NarrativeContent","Early Site Closure or Trial Termination","6cd1bbf6-6704-47dd-9c2e-e19028a46fe4"
"11","NarrativeContent_115","SECTION 11","<div></div>","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","fb63507b-71f4-4260-bcd6-d6032a5e2407"
"11.1","NarrativeContent_116","SECTION 11.1","<div></div>","NarrativeContent","Quality Tolerance Limits","c06bf51a-c08c-461b-84b8-4371154051a4"
"11.2","NarrativeContent_117","SECTION 11.2","<div></div>","NarrativeContent","Data Quality Assurance","68392139-3d04-49dc-8fff-9eab81c4b889"
"11.3","NarrativeContent_118","SECTION 11.3","<div></div>","NarrativeContent","Source Data","e092e9b8-6d04-48de-9efd-19a6c13d2f82"
"12","NarrativeContent_119","SECTION 12","<div></div>","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","ac7a475d-fd76-4ed5-b1e3-d711bc391c9d"
"12.1","NarrativeContent_120","SECTION 12.1","<div></div>","NarrativeContent","Further Details and Clarifications on the AE Definition","73b8644c-b7d9-42cd-8846-ef449bb657da"
"12.2","NarrativeContent_121","SECTION 12.2","<div></div>","NarrativeContent","Further Details and Clarifications on the SAE Definition","1ced19c1-9a0d-4a76-a92f-ac3a80afdc03"
"12.3","NarrativeContent_122","SECTION 12.3","<div></div>","NarrativeContent","Severity","3190ab8b-0772-4138-be4e-8e8e2466a001"
"12.4","NarrativeContent_123","SECTION 12.4","<div></div>","NarrativeContent","Causality","c5021e95-6361-49de-b23d-381320f6e52c"
"13","NarrativeContent_124","SECTION 13","<div></div>","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","60e2a92f-2e14-4d41-aeac-8d0ab29a06a8"
"13.1","NarrativeContent_125","SECTION 13.1","<div></div>","NarrativeContent","Contraception and Pregnancy Testing","7bf21f64-b952-4ddb-8ee2-3062c420c3d4"
"13.1.1","NarrativeContent_126","SECTION 13.1.1","<div></div>","NarrativeContent","Definitions Related to Childbearing Potential","e169d813-4cb6-4ef8-bb91-83411688f50a"
"13.1.2","NarrativeContent_127","SECTION 13.1.2","<div></div>","NarrativeContent","Contraception","c29d3a89-aa32-4ba8-a262-f3983773dd47"
"13.1.3","NarrativeContent_128","SECTION 13.1.3","<div></div>","NarrativeContent","Pregnancy Testing","41607547-2f7a-42ae-b41f-2f6a61fca372"
"13.2","NarrativeContent_129","SECTION 13.2","<div></div>","NarrativeContent","Clinical Laboratory Tests","dd0661cf-ae48-4b4b-8032-5a67a4bb0ef7"
"13.3","NarrativeContent_130","SECTION 13.3","<div></div>","NarrativeContent","Country/Region-Specific Differences","c44e0353-5b2c-4cca-be65-7e861ba4bd6b"
"13.4","NarrativeContent_131","SECTION 13.4","<div></div>","NarrativeContent","Prior Protocol Amendments","53c5a00a-a49e-4834-b793-9495e6774d1e"
"14","NarrativeContent_132","SECTION 14","<div></div>","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","1aafb060-e515-460c-ba43-fb6543d46889"
"15","NarrativeContent_133","SECTION 15","<div></div>","NarrativeContent","APPENDIX: REFERENCES","b697ac77-f549-4c61-bb6d-3078e7a1554a"
