"label","uuid:ID","synonyms","name","id","reference","instanceType"
"Potassium Concentration in Urine","6d9ae30f-a990-43e2-9e3c-5975dbfda835","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","e3cc2347-9033-4285-a8e5-c758218415a3","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","044f1fd2-3245-48dc-ab65-e33ae8e734fc","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept"
"Adverse Event Prespecified","fe3b2ca6-00ee-4a59-a058-fac8bf82b0d6","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept"
"Systolic Blood Pressure","4e48f4e9-c052-4108-9237-713bf5869949","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","d524181b-665e-450b-875d-c5f4f5bd5297","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Temperature","3c627d28-e099-46ae-b790-7752d8fab6f7","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","62e11941-55b2-42a2-a8e1-60510e717d15","['Weight', 'Body Weight']","Weight","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","9b8d076b-92df-4d9f-b517-269b89cdc523","['Height', 'Body Height']","Height","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","e6b0dbe8-42fb-4df9-a655-41b854c063b9","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","719d295c-d359-4eb3-9ae9-7eb0b584858e","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","0fea6789-14d3-40bb-8199-a0698a5c9202","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","df91b045-fcc4-4d7c-96fd-fa09e553973a","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","bed9188d-db9c-4197-9620-601aa22db17c","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","323f2868-91a6-465e-bfa9-635059bbf780","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","185575a9-f7ad-455c-94d4-156d76409675","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Systolic Blood Pressure","672ceed2-a5c5-414b-92c2-85f99baf76ad","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","b7643552-d172-4f09-882e-c1e9fc1d6acc","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","0b43f017-0ddf-4a7e-8a0b-37d010114275","['Heart Rate']","Heart Rate","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
"Systolic Blood Pressure","55a30c27-3d15-4e11-884e-2b61a76f919b","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","68f42720-c93a-4396-9cf0-3850c19554b7","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","50439e3f-7b4c-42ec-95c2-d7047bedcb72","['Heart Rate']","Heart Rate","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
