"id:ID","uuid","sectionNumber","name","id","text","sectionTitle"
"872","11104860-382b-4337-93cd-7fb54cb9e5cb","6.8.4","SECTION 6.8.4","NarrativeContent_51","<div></div>","Other Therapy"
"873","ae1e81d0-34b1-4c90-b337-804d04409d6d","7","SECTION 7","NarrativeContent_52","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"874","aa6a6ebb-1b8c-4f05-8b16-054b56d6aed3","7.1","SECTION 7.1","NarrativeContent_53","<div></div>","Discontinuation of Trial Intervention"
"875","28856acd-b2ee-4dcd-9da0-231c0a97ddc5","7.1.1","SECTION 7.1.1","NarrativeContent_54","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention"
"876","4248dec2-54e6-4722-929a-7401e613e227","7.1.2","SECTION 7.1.2","NarrativeContent_55","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention"
"877","be6ce201-100b-4e64-9a70-784005f76e0c","7.1.3","SECTION 7.1.3","NarrativeContent_56","<div></div>","Rechallenge"
"878","dd931ff5-67ff-43ea-85b2-8e6cab3be93b","7.2","SECTION 7.2","NarrativeContent_57","<div></div>","Participant Withdrawal from the Trial"
"879","9da58f9c-6d97-419d-bfe8-53f4a320168c","7.3","SECTION 7.3","NarrativeContent_58","<div></div>","Lost to Follow-Up"
"880","8fc699fa-fd31-4dd0-ac30-62438f403b7e","7.4","SECTION 7.4","NarrativeContent_59","<div></div>","Trial Stopping Rules"
"881","552b48fd-1690-494a-bd37-55ab9e50a9bd","8","SECTION 8","NarrativeContent_60","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES"
"882","9107696d-10d5-4372-b226-3c4b249cf865","8.1","SECTION 8.1","NarrativeContent_61","<div></div>","Screening/Baseline Assessments and Procedures"
"883","0138b01e-a0b6-4d77-b28b-8f2e1562b27a","8.2","SECTION 8.2","NarrativeContent_62","<div></div>","Efficacy Assessments and Procedures"
"884","b7f3e056-1be1-44ea-95b1-f4e2eabbaf49","8.3","SECTION 8.3","NarrativeContent_63","<div></div>","Safety Assessments and Procedures"
"885","f3e3d439-5f10-48d2-b8da-cdf7ccd2ebb9","8.3.1","SECTION 8.3.1","NarrativeContent_64","<div></div>","Physical Examination"
"886","66d75136-9de2-4be6-b870-8e1f94ae006f","8.3.2","SECTION 8.3.2","NarrativeContent_65","<div></div>","Vital Signs"
"887","ccc54e6f-97d9-4c79-a8e6-7c86cbf20cb9","8.3.3","SECTION 8.3.3","NarrativeContent_66","<div></div>","Electrocardiograms"
"888","e238c229-e99e-431d-b45c-faa1c8c0ba1e","8.3.4","SECTION 8.3.4","NarrativeContent_67","<div></div>","Clinical Laboratory Assessments"
"889","799762e0-db69-4a76-a4ec-657f7e81724a","8.3.5","SECTION 8.3.5","NarrativeContent_68","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring"
"890","327ee771-5f05-41ad-9b05-eee85790ae46","8.4","SECTION 8.4","NarrativeContent_69","<div></div>","Adverse Events and Serious Adverse Events"
"891","5866d70a-a9a9-48ef-a50c-dbe67537e9f4","8.4.1","SECTION 8.4.1","NarrativeContent_70","<div></div>","Definitions of AE and SAE"
"892","c5b581fd-c9df-4ae3-b930-c97e6cfb61c1","8.4.2","SECTION 8.4.2","NarrativeContent_71","<div></div>","Time Period and Frequency for Collecting AE and SAE Information"
"893","86f1a466-6956-4164-89c1-b073677ed167","8.4.3","SECTION 8.4.3","NarrativeContent_72","<div></div>","Identifying AEs and SAEs"
"894","13d716fc-2fd7-430c-9b15-4b581c882ff9","8.4.4","SECTION 8.4.4","NarrativeContent_73","<div></div>","Recording of AEs and SAEs"
"895","55959998-f4ef-4e36-bff1-fa823c0286ce","8.4.5","SECTION 8.4.5","NarrativeContent_74","<div></div>","Follow-up of AEs and SAEs"
"896","9a5f4bbf-6d5a-4f5e-b990-12685b0e3309","8.4.6","SECTION 8.4.6","NarrativeContent_75","<div></div>","Reporting of SAEs"
"897","3791a9ce-b9fb-4b97-957d-1addc38b163f","8.4.7","SECTION 8.4.7","NarrativeContent_76","<div></div>","Regulatory Reporting Requirements for SAEs"
"898","f791b644-013d-4eab-abea-a63b0a1abef1","8.4.8","SECTION 8.4.8","NarrativeContent_77","<div></div>","Serious and Unexpected Adverse Reaction Reporting"
"899","e7e62624-d187-4409-a296-0290646662b7","8.4.9","SECTION 8.4.9","NarrativeContent_78","<div></div>","Adverse Events of Special Interest"
"900","1e5aa0ec-9d4a-49a2-9a18-312427dd2bfe","8.4.10","SECTION 8.4.10","NarrativeContent_79","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"901","33c3f4e8-3d71-4d5b-933a-c93844e4bf17","8.5","SECTION 8.5","NarrativeContent_80","<div></div>","Pregnancy and Postpartum Information"
"902","4331e2e0-0f5e-40d9-8fc6-90ae96cb4408","8.5.1","SECTION 8.5.1","NarrativeContent_81","<div></div>","Participants Who Become Pregnant During the Trial"
"903","bacff68d-56f6-4500-bc70-be57bf3b3d52","8.5.2","SECTION 8.5.2","NarrativeContent_82","<div></div>","Participants Whose Partners Become Pregnant"
"904","99571fba-7b06-4008-aae2-eccaf872a120","8.6","SECTION 8.6","NarrativeContent_83","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products"
"905","03818674-2500-494e-ac3d-c185f6c83ec1","8.6.1","SECTION 8.6.1","NarrativeContent_84","<div></div>","Definition of Medical Device Product Complaints"
"906","cb0a425f-3d75-4f35-8440-e3f48f61d1a2","8.6.2","SECTION 8.6.2","NarrativeContent_85","<div></div>","Recording of Medical Device Product Complaints"
"907","c3d6e99e-69f5-4f2e-8bb0-32dd86019d83","8.6.3","SECTION 8.6.3","NarrativeContent_86","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"908","a0e17b4a-fe3c-48af-9d31-3929348adcf1","8.6.4","SECTION 8.6.4","NarrativeContent_87","<div></div>","Follow-Up of Medical Device Product Complaints"
"909","4b71291a-41a8-47da-aa38-ecef2a49a6bb","8.6.5","SECTION 8.6.5","NarrativeContent_88","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints"
"910","448a965d-3bf4-41d6-af46-085ea40a8355","8.7","SECTION 8.7","NarrativeContent_89","<div></div>","Pharmacokinetics"
"911","246ebd7d-e8f2-4471-bd33-ac6448b94422","8.8","SECTION 8.8","NarrativeContent_90","<div></div>","Genetics"
"912","a72aceff-0b91-4bb8-ad36-d8b44630860e","8.9","SECTION 8.9","NarrativeContent_91","<div></div>","Biomarkers"
"913","afa001f4-a909-4c80-8032-8436c0fc6435","8.1","SECTION 8.1","NarrativeContent_92","<div></div>","Immunogenicity Assessments"
"914","873a0ac8-1472-4c9a-b414-19e4f5f95491","8.1.1","SECTION 8.1.1","NarrativeContent_93","<div></div>","Medical Resource Utilisation and Health Economics"
"915","b1f3dae5-9c40-4872-8da7-5a9774ed94a1","9","SECTION 9","NarrativeContent_94","<div></div>","STATISTICAL CONSIDERATIONS"
"916","f44cf2ba-a6bb-4d9c-84ec-692806246668","9.1","SECTION 9.1","NarrativeContent_95","<div></div>","Analysis Sets"
"917","6e582113-bbf3-431b-a347-1002741330f0","9.2","SECTION 9.2","NarrativeContent_96","<div></div>","Analyses Supporting Primary Objective(s)"
"918","8dda9417-bc46-4b81-a58c-d682fe909bc4","9.2.1","SECTION 9.2.1","NarrativeContent_97","<div></div>","Statistical Model, Hypothesis, and Method of Analysis"
"919","380b98c4-b2b4-46db-b51d-c142da8135ee","9.2.2","SECTION 9.2.2","NarrativeContent_98","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)"
"920","39bea7ed-b306-4686-ac33-a859b7b3cf03","9.2.3","SECTION 9.2.3","NarrativeContent_99","<div></div>","Handling of Missing Data"
"921","74234829-4a94-4827-a27a-f8c5dad7261b","9.2.4","SECTION 9.2.4","NarrativeContent_100","<div></div>","Sensitivity Analysis"
"922","dc6f376f-191a-4868-93ca-4a19aad26068","9.2.5","SECTION 9.2.5","NarrativeContent_101","<div></div>","Supplementary Analysis"
"923","1a35a322-dada-43fc-90ec-c342755563cc","9.3","SECTION 9.3","NarrativeContent_102","<div></div>","Analysis Supporting Secondary Objective(s)"
"924","d8660099-884a-404a-a3d2-813d9dc2d6cd","9.4","SECTION 9.4","NarrativeContent_103","<div></div>","Analysis of Exploratory Objective(s)"
"925","183adef4-c977-4518-9545-fe4c021c2e5c","9.5","SECTION 9.5","NarrativeContent_104","<div></div>","Safety Analyses"
"926","9aeeed72-5df3-4d4a-9fc1-143a694302d7","9.6","SECTION 9.6","NarrativeContent_105","<div></div>","Other Analyses"
"927","46ce445e-d6c9-42bd-ab67-9ac48c61a19d","9.7","SECTION 9.7","NarrativeContent_106","<div></div>","Interim Analyses"
"928","f38c9d62-830a-48c2-b6da-bd7e44dad2f3","9.8","SECTION 9.8","NarrativeContent_107","<div></div>","Sample Size Determination"
"929","682ef6fd-77d5-4f9f-a68b-43aae00e7dc9","9.9","SECTION 9.9","NarrativeContent_108","<div></div>","Protocol Deviations"
"930","9cbed286-2c58-4145-b930-c4c119fad81d","10","SECTION 10","NarrativeContent_109","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"931","7f546e69-463d-464d-baec-7ddd5b8c3ad3","10.1","SECTION 10.1","NarrativeContent_110","<div></div>","Regulatory and Ethical Considerations"
"932","39fd97d0-6741-4d92-8e7a-9cf2a90bfd27","10.2","SECTION 10.2","NarrativeContent_111","<div></div>","Committees"
"933","a16d6838-5d9c-448a-ba2c-181746f99791","10.3","SECTION 10.3","NarrativeContent_112","<div></div>","Informed Consent Process"
"934","609052ac-072c-452f-ba30-4b8ad56ffb8b","10.4","SECTION 10.4","NarrativeContent_113","<div></div>","Data Protection"
"935","c8a14455-0bcb-464f-847a-7ac0f66d7f95","10.5","SECTION 10.5","NarrativeContent_114","<div></div>","Early Site Closure or Trial Termination"
"936","64cb8c46-d146-421f-bd97-c28889a9e315","11","SECTION 11","NarrativeContent_115","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"937","8b7cc6ec-93c4-4930-b260-4bfb277f54bd","11.1","SECTION 11.1","NarrativeContent_116","<div></div>","Quality Tolerance Limits"
"938","85fb1868-4cd1-4bb7-933d-038a6c43b5c0","11.2","SECTION 11.2","NarrativeContent_117","<div></div>","Data Quality Assurance"
"939","03e84ef6-2ac2-4ece-af74-3c861e09bbda","11.3","SECTION 11.3","NarrativeContent_118","<div></div>","Source Data"
"940","4e4a40ad-cd28-460e-9788-8a4334b84943","12","SECTION 12","NarrativeContent_119","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"941","a4c961ac-a4f1-4da4-b01c-ad89bd5e5d9a","12.1","SECTION 12.1","NarrativeContent_120","<div></div>","Further Details and Clarifications on the AE Definition"
"942","22697088-cf5e-4604-82b9-e3eabd1bfd70","12.2","SECTION 12.2","NarrativeContent_121","<div></div>","Further Details and Clarifications on the SAE Definition"
"943","8534389f-4626-411d-9d44-74edfcd9510b","12.3","SECTION 12.3","NarrativeContent_122","<div></div>","Severity"
"944","e59830db-7ca0-403f-aa8b-b735a1d11f82","12.4","SECTION 12.4","NarrativeContent_123","<div></div>","Causality"
"945","62969604-4e7a-4c8e-8913-e81fd1ddd8e3","13","SECTION 13","NarrativeContent_124","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"946","4cac6653-3ab3-4287-93c9-54eb5138d403","13.1","SECTION 13.1","NarrativeContent_125","<div></div>","Contraception and Pregnancy Testing"
"947","956b84ac-0852-4052-9adc-cc6b6a7ae940","13.1.1","SECTION 13.1.1","NarrativeContent_126","<div></div>","Definitions Related to Childbearing Potential"
"948","65065c59-ec23-4969-b262-aea48ec788fe","13.1.2","SECTION 13.1.2","NarrativeContent_127","<div></div>","Contraception"
"949","143f7463-1d86-42a6-85f3-8a0f38637b16","13.1.3","SECTION 13.1.3","NarrativeContent_128","<div></div>","Pregnancy Testing"
"950","733f222b-3b5f-4fe8-95dd-3ad56e978113","13.2","SECTION 13.2","NarrativeContent_129","<div></div>","Clinical Laboratory Tests"
"951","2cd327af-2702-4dd8-8e6e-7c23e8e79d12","13.3","SECTION 13.3","NarrativeContent_130","<div></div>","Country/Region-Specific Differences"
"952","3b10592f-2410-4fc1-97f3-380a2cc57b50","13.4","SECTION 13.4","NarrativeContent_131","<div></div>","Prior Protocol Amendments"
"953","3b93232e-c6d8-45f1-b5d4-b1cede75f903","14","SECTION 14","NarrativeContent_132","<div></div>","APPENDIX: GLOSSARY OF TERMS"
"954","8602d446-b571-4c2e-beb4-10536c0ef739","15","SECTION 15","NarrativeContent_133","<div></div>","APPENDIX: REFERENCES"
