"reference","id","synonyms","uuid:ID","name","instanceType","label"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","1e4f3496-1ce0-4152-b4e4-ca5ed2af4eb0","Adverse Event","BiomedicalConcept","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']","272c3da2-bd7a-4749-8749-df55fd5fbcd5","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']","af484613-a1fb-4b52-aac5-3623356486d5","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']","6b05ba2f-2799-43d8-ae44-818969505267","Body Temperature","BiomedicalConcept","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']","e98a46cf-2544-4f71-9d4d-0093a725d86b","Body Weight","BiomedicalConcept","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']","2c5eb840-eb44-4512-bdcc-539bfa07c916","Body Height","BiomedicalConcept","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']","b33ca6da-e5b5-4015-a161-e71a69325a8b","Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']","1099d2da-9400-4b48-bbd0-769736690765","Albumin Measurement","BiomedicalConcept","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']","aa0e1c00-d73c-479c-af9c-30dad0f03de0","Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']","d7a9dd5e-3862-47b6-8351-51186c2aca0d","Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']","727373a4-a6c5-4e5b-b4cd-43872b3313be","Creatinine Measurement","BiomedicalConcept","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']","9e4883b5-83a4-48fb-9d5b-2177a2c6cfeb","Potassium Measurement","BiomedicalConcept","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']","d4c1d776-5930-498d-85a6-3f21ca25375f","Sodium Measurement","BiomedicalConcept","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']","94b2e2d5-30f8-4deb-afe3-e41744edc97a","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']","c736ce39-02d3-4895-b743-d1f9b1c0f658","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","","f94960a7-fa38-4d0b-81fb-3775752f66a2","Heart Rate","BiomedicalConcept","Heart Rate"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","['SYSBP']","4ced7d86-8977-4cb8-b649-be52f856d74e","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","['DIABP']","15f26a4f-bb23-4bad-ab79-c7d2ddd6e29d","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","","7838a63f-8aa7-4791-bbfd-de4b0042ccfb","Heart Rate","BiomedicalConcept","Heart Rate"
