"sectionTitle","id","text","name","uuid:ID","sectionNumber"
"Start of Trial and End of Trial","NarrativeContent_19","<div></div>","SECTION 4.4","37e37423-a61b-4fd1-a5d2-d71edc0ec079","4.4"
"TRIAL POPULATION","NarrativeContent_20","<div></div>","SECTION 5","ee66037a-52f4-483b-8d56-9aa69504c054","5"
"Selection of Trial Population","NarrativeContent_21","<div></div>","SECTION 5.1","ff679be0-763d-4730-83ad-9c55aa3835cf","5.1"
"Rationale for Trial Population","NarrativeContent_22","<div></div>","SECTION 5.2","9ce202a4-c70d-4fef-8c3a-5d8da12f0fa2","5.2"
"Inclusion Criteria","NarrativeContent_23","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","SECTION 5.3","560ce7cf-0d10-4497-b20d-c5b74f58ed5f","5.3"
"Exclusion Criteria","NarrativeContent_24","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","SECTION 5.4","1748abd4-a22a-47b7-a5d7-8e754377f617","5.4"
"Lifestyle Considerations","NarrativeContent_25","<div></div>","SECTION 5.5","cf94bb38-3bdc-4820-a38e-34c764fd604d","5.5"
"Meals and Dietary Restrictions","NarrativeContent_26","<div></div>","SECTION 5.5.1","a2742a4a-e333-49e3-b3c0-9b7c96bee2c6","5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27","<div></div>","SECTION 5.5.2","0653be84-d3f3-46eb-8eb8-fd107426aed1","5.5.2"
"Physical Activity","NarrativeContent_28","<div></div>","SECTION 5.5.3","668302bb-39ba-4b92-828d-5a3102908d84","5.5.3"
"Other Activity","NarrativeContent_29","<div></div>","SECTION 5.5.4","2807118d-ad67-4a06-8078-b0880e648410","5.5.4"
"Screen Failures","NarrativeContent_30","<div></div>","SECTION 5.6","9f7b30ef-fb19-43d5-ad31-efd59ec1ab35","5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31","<div></div>","SECTION 6","ad2e4662-a014-4511-bb25-84fbc141618d","6"
"Description of Trial Intervention","NarrativeContent_32","<div></div>","SECTION 6.1","b4716e9f-a562-4220-bbc6-8b92a1383032","6.1"
"Rationale for Trial Intervention","NarrativeContent_33","<div></div>","SECTION 6.2","6b08d6a2-636a-4796-89d3-f697a225ba5c","6.2"
"Dosing and Administration","NarrativeContent_34","<div></div>","SECTION 6.3","c7f0e7d6-b8d2-42c5-8e91-37c217260768","6.3"
"Trial Intervention Dose Modification","NarrativeContent_35","<div></div>","SECTION 6.3.1","44302e3b-8213-4236-b4e8-c47304480ddf","6.3.1"
"Treatment of Overdose","NarrativeContent_36","<div></div>","SECTION 6.4","f1c1cc8e-784a-41d9-8f37-2ec71728c0fe","6.4"
"Preparation, Handling, Storage and Accountability","NarrativeContent_37","<div></div>","SECTION 6.5","b589edaa-effc-4dfa-be4f-7c1fba5c802b","6.5"
"Preparation of Trial Intervention","NarrativeContent_38","<div></div>","SECTION 6.5.1","4b20a9dc-4aeb-498a-87c8-83cf439d68cb","6.5.1"
"Handling and Storage of Trial Intervention","NarrativeContent_39","<div></div>","SECTION 6.5.2","e09e3b82-7f0b-4fee-b9f8-1f2cf5ca47da","6.5.2"
"Accountability of Trial Intervention","NarrativeContent_40","<div></div>","SECTION 6.5.3","60cab62d-69b9-4d03-a59f-788b59f04c13","6.5.3"
"Participant Assignment, Randomisation and Blinding","NarrativeContent_41","<div></div>","SECTION 6.6","eb7a685d-e52e-4fb3-9dce-8215f8606004","6.6"
"Participant Assignment","NarrativeContent_42","<div></div>","SECTION 6.6.1","b5723e94-dcb0-4922-83da-3d0b17cde87a","6.6.1"
"Randomisation","NarrativeContent_43","<div></div>","SECTION 6.6.2","c9a4e03c-d22f-4bcf-899f-cf0afaa21844","6.6.2"
"Blinding and Unblinding","NarrativeContent_44","<div><p>Blinding and unblinding text here please</p></div>","SECTION 6.6.3","7b4241a1-dcf9-4c01-bd31-187f07219748","6.6.3"
"Trial Intervention Compliance","NarrativeContent_45","<div></div>","SECTION 6.7","90728b37-1cd1-4534-bedf-f0cdb826d8a9","6.7"
"Concomitant Therapy","NarrativeContent_46","<div></div>","SECTION 6.8","833bc089-98fe-42d0-8700-8776b0780135","6.8"
"Prohibited Concomitant Therapy","NarrativeContent_47","<div></div>","SECTION 6.8.1","7373aa09-134d-40ea-ab50-264034893929","6.8.1"
"Permitted Concomitant Therapy","NarrativeContent_48","<div></div>","SECTION 6.8.2","25139f69-58a3-47cc-9001-c3ec4e9a6ee2","6.8.2"
"Rescue Therapy","NarrativeContent_49","<div></div>","SECTION 6.8.3","24033acc-2601-476b-876d-c246fc08245d","6.8.3"
"Other Therapy","NarrativeContent_50","<div></div>","SECTION 6.8.4","febd372c-c4d0-4df0-bb99-452960866a13","6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_51","<div></div>","SECTION 7","04e4935a-cc92-4e71-877a-1e6a5bb0b27a","7"
"Discontinuation of Trial Intervention","NarrativeContent_52","<div></div>","SECTION 7.1","a33b57ed-936e-4ee1-a964-134c19d8902c","7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_53","<div></div>","SECTION 7.1.1","af4de646-4260-4c51-ad01-1a1c95307405","7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_54","<div></div>","SECTION 7.1.2","e7008d84-9d92-478e-aba0-f1e0a9103870","7.1.2"
"Rechallenge","NarrativeContent_55","<div></div>","SECTION 7.1.3","fa803a7c-3eb9-48c1-b2c6-fbdc35050213","7.1.3"
"Participant Withdrawal from the Trial","NarrativeContent_56","<div></div>","SECTION 7.2","749ae20c-33a7-48a5-a091-6f03d0eec6e8","7.2"
"Lost to Follow-Up","NarrativeContent_57","<div></div>","SECTION 7.3","cd319083-6542-4b28-a098-8b19e8d13792","7.3"
"Trial Stopping Rules","NarrativeContent_58","<div></div>","SECTION 7.4","88eddf5c-c372-4218-803f-8ed4cf7e6096","7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_59","<div></div>","SECTION 8","fe75c108-d4c3-4d24-bfd3-50459d51783f","8"
"Screening/Baseline Assessments and Procedures","NarrativeContent_60","<div></div>","SECTION 8.1","93b92908-1b6f-4989-8d75-ae8abe7c280a","8.1"
"Efficacy Assessments and Procedures","NarrativeContent_61","<div></div>","SECTION 8.2","de837c5e-c52f-4c50-8bee-3de215bb0dad","8.2"
"Safety Assessments and Procedures","NarrativeContent_62","<div></div>","SECTION 8.3","55bba66b-809b-42b9-b90f-620aa2183d1e","8.3"
"Physical Examination","NarrativeContent_63","<div></div>","SECTION 8.3.1","56f609e3-de09-4354-90bb-db8859acc674","8.3.1"
"Vital Signs","NarrativeContent_64","<div></div>","SECTION 8.3.2","a4381e83-a409-4e14-8349-6c752d84fe09","8.3.2"
"Electrocardiograms","NarrativeContent_65","<div></div>","SECTION 8.3.3","56dc795e-28de-4a32-81d7-274c21b392df","8.3.3"
"Clinical Laboratory Assessments","NarrativeContent_66","<div></div>","SECTION 8.3.4","a2be1203-61d6-4fb8-8d28-8276dfae4fe1","8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_67","<div></div>","SECTION 8.3.5","6ddd2cda-63f2-4940-bfca-65fa1112c2f8","8.3.5"
"Adverse Events and Serious Adverse Events","NarrativeContent_68","<div></div>","SECTION 8.4","40b72ec3-fbc7-4125-99b1-5e826ac58a00","8.4"
"Definitions of AE and SAE","NarrativeContent_69","<div></div>","SECTION 8.4.1","5e0f9f8a-89dc-490b-baec-f264e68780d6","8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_70","<div></div>","SECTION 8.4.2","b36b3b65-ab2c-41bf-96f2-0d6eb4a6eb2f","8.4.2"
"Identifying AEs and SAEs","NarrativeContent_71","<div></div>","SECTION 8.4.3","9a1055ed-7f26-43b5-9afc-6a7f69447d1c","8.4.3"
"Recording of AEs and SAEs","NarrativeContent_72","<div></div>","SECTION 8.4.4","165a602e-b7a4-49a9-a367-4dc70a9f7573","8.4.4"
"Follow-up of AEs and SAEs","NarrativeContent_73","<div></div>","SECTION 8.4.5","62a0cdbc-fd88-41f9-b720-0388fd5994b5","8.4.5"
"Reporting of SAEs","NarrativeContent_74","<div></div>","SECTION 8.4.6","dc63a8fe-c99c-49ab-bf23-59a28e1905f1","8.4.6"
"Regulatory Reporting Requirements for SAEs","NarrativeContent_75","<div></div>","SECTION 8.4.7","b31185b6-7097-4a88-a777-dcb407498b68","8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_76","<div></div>","SECTION 8.4.8","4736d912-693b-4fbc-a9f6-9c6b5d33d59b","8.4.8"
"Adverse Events of Special Interest","NarrativeContent_77","<div></div>","SECTION 8.4.9","fe9d760c-88fe-48b3-863c-5aae02994f42","8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_78","<div></div>","SECTION 8.4.10","4209dcb9-f77d-4655-b8c3-fa113591785d","8.4.10"
"Pregnancy and Postpartum Information","NarrativeContent_79","<div></div>","SECTION 8.5","5fd91b31-b04d-41db-a5f0-c7d401485a18","8.5"
"Participants Who Become Pregnant During the Trial","NarrativeContent_80","<div></div>","SECTION 8.5.1","fcb1c8de-f970-419d-ae27-0346d3aaee2d","8.5.1"
"Participants Whose Partners Become Pregnant","NarrativeContent_81","<div></div>","SECTION 8.5.2","3f59471b-04b9-4abe-b3f8-5ab94844303f","8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_82","<div></div>","SECTION 8.6","ce643965-8552-4f8e-98bd-fb6d0457cc0e","8.6"
"Definition of Medical Device Product Complaints","NarrativeContent_83","<div></div>","SECTION 8.6.1","c0855a67-0618-4b97-b763-52ff3b755acc","8.6.1"
"Recording of Medical Device Product Complaints","NarrativeContent_84","<div></div>","SECTION 8.6.2","0fa25541-19d6-4d42-bbb2-173ed85215c4","8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_85","<div></div>","SECTION 8.6.3","3097817f-e7b1-4248-8775-fc124557ba1c","8.6.3"
"Follow-Up of Medical Device Product Complaints","NarrativeContent_86","<div></div>","SECTION 8.6.4","acbb512b-5a4e-40e4-9ac3-839f9705e045","8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_87","<div></div>","SECTION 8.6.5","2bf89693-1af5-40ae-a773-b4abd4f50aba","8.6.5"
"Pharmacokinetics","NarrativeContent_88","<div></div>","SECTION 8.7","aa8fc0a9-9fcd-4e2d-afb6-c313795109de","8.7"
"Genetics","NarrativeContent_89","<div></div>","SECTION 8.8","f3d4da46-d1dd-4684-a827-e2e077e134b2","8.8"
"Biomarkers","NarrativeContent_90","<div></div>","SECTION 8.9","b23af427-d0d6-4cdd-91b3-d3cca0a5ea67","8.9"
"Immunogenicity Assessments","NarrativeContent_91","<div></div>","SECTION 8.1","d986edfb-d23c-4ca7-9048-ba10198f4b99","8.1"
"Medical Resource Utilisation and Health Economics","NarrativeContent_92","<div></div>","SECTION 8.1.1","c510465a-0002-4b84-b351-38884279bde8","8.1.1"
"STATISTICAL CONSIDERATIONS","NarrativeContent_93","<div></div>","SECTION 9","6500ea52-df71-4b44-a337-899cf9400e4c","9"
"Analysis Sets","NarrativeContent_94","<div></div>","SECTION 9.1","63078c5b-3e9b-4256-80c6-5f8d7fcfc21a","9.1"
"Analyses Supporting Primary Objective(s)","NarrativeContent_95","<div></div>","SECTION 9.2","89586ed9-4501-40ff-882d-6054c7f8eda9","9.2"
"Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_96","<div></div>","SECTION 9.2.1","48feda41-4982-49c1-9bac-81a4a714f2a8","9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_97","<div></div>","SECTION 9.2.2","d28c2e6a-4fcd-45a5-a479-a448c2348ca9","9.2.2"
"Handling of Missing Data","NarrativeContent_98","<div></div>","SECTION 9.2.3","5f737c98-2e02-45be-820a-afea9bcd4290","9.2.3"
"Sensitivity Analysis","NarrativeContent_99","<div></div>","SECTION 9.2.4","b939f825-2fb3-45ad-b092-d65fdd0b1193","9.2.4"
"Supplementary Analysis","NarrativeContent_100","<div></div>","SECTION 9.2.5","890709c9-1368-47e7-bf1e-5ca9bcc15917","9.2.5"
"Analysis Supporting Secondary Objective(s)","NarrativeContent_101","<div></div>","SECTION 9.3","1fdeffca-b72b-4437-b518-7cab1f115e33","9.3"
"Analysis of Exploratory Objective(s)","NarrativeContent_102","<div></div>","SECTION 9.4","fd1c1da8-21dc-41d4-815e-7945b598bf9c","9.4"
"Safety Analyses","NarrativeContent_103","<div></div>","SECTION 9.5","0e46495f-1149-46f9-9de1-9dd6bf254bb3","9.5"
"Other Analyses","NarrativeContent_104","<div></div>","SECTION 9.6","5d31486c-f447-4cc5-96ea-a10b1b1b4e03","9.6"
"Interim Analyses","NarrativeContent_105","<div></div>","SECTION 9.7","4b144333-1319-49a0-8f81-29a2aec6930d","9.7"
"Sample Size Determination","NarrativeContent_106","<div></div>","SECTION 9.8","ff905554-c5df-4818-8252-a9af00730f17","9.8"
"Protocol Deviations","NarrativeContent_107","<div></div>","SECTION 9.9","954d11c2-1ec0-4db0-a386-e0959af38bcf","9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_108","<div></div>","SECTION 10","af04b4b8-0ee2-41e0-904e-548747c6921a","10"
"Regulatory and Ethical Considerations","NarrativeContent_109","<div></div>","SECTION 10.1","10002be5-da6f-4b1e-838f-2e569664cdce","10.1"
"Committees","NarrativeContent_110","<div></div>","SECTION 10.2","9a604e7f-efd5-4299-978d-9d8f1d961fec","10.2"
"Informed Consent Process","NarrativeContent_111","<div></div>","SECTION 10.3","d74bd2f0-a180-435c-8428-f371c6e80b7d","10.3"
"Data Protection","NarrativeContent_112","<div></div>","SECTION 10.4","fd768395-dd26-43ae-bf25-bbdc06fffa16","10.4"
"Early Site Closure or Trial Termination","NarrativeContent_113","<div></div>","SECTION 10.5","d6fc7b49-b82f-491c-a66e-097afd91f680","10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_114","<div></div>","SECTION 11","7160fdc0-ec69-4a46-a6dd-ff5e76b35c92","11"
"Quality Tolerance Limits","NarrativeContent_115","<div></div>","SECTION 11.1","2d0f946e-2331-40e2-afa2-95d42781334e","11.1"
"Data Quality Assurance","NarrativeContent_116","<div></div>","SECTION 11.2","7ff01a91-8ce6-4ce1-807d-d4b6c3b7846f","11.2"
"Source Data","NarrativeContent_117","<div></div>","SECTION 11.3","aa77101d-e11c-470d-b6d1-e9d3c4d29809","11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_118","<div></div>","SECTION 12","aeee1603-3754-417a-9b90-75e36961e39c","12"
"Further Details and Clarifications on the AE Definition","NarrativeContent_119","<div></div>","SECTION 12.1","523f39bf-6779-47ad-94d2-38b178b65834","12.1"
"Further Details and Clarifications on the SAE Definition","NarrativeContent_120","<div></div>","SECTION 12.2","4fd690c6-5839-4bde-891b-c4679a5a9cec","12.2"
"Severity","NarrativeContent_121","<div></div>","SECTION 12.3","ac1b22ee-c72c-4826-9f7b-38ddfffe897b","12.3"
"Causality","NarrativeContent_122","<div></div>","SECTION 12.4","e29307b9-19e2-48e0-a2be-271a00ce3bf2","12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_123","<div></div>","SECTION 13","a2b73d10-b469-48e9-9970-b8cd2a31f248","13"
"Contraception and Pregnancy Testing","NarrativeContent_124","<div></div>","SECTION 13.1","c7aec4ab-d8fb-4614-889b-4009c0ce3898","13.1"
"Definitions Related to Childbearing Potential","NarrativeContent_125","<div></div>","SECTION 13.1.1","7eeaea13-205c-4b55-8114-2e02f0dd4702","13.1.1"
"Contraception","NarrativeContent_126","<div></div>","SECTION 13.1.2","c61f4751-137c-4359-b12c-b68aa48e881e","13.1.2"
"Pregnancy Testing","NarrativeContent_127","<div></div>","SECTION 13.1.3","64e4e48d-7293-4bd4-939a-140e8347fa15","13.1.3"
"Clinical Laboratory Tests","NarrativeContent_128","<div></div>","SECTION 13.2","250a8dce-c6fd-4b3a-9847-c6e375977da3","13.2"
"Country/Region-Specific Differences","NarrativeContent_129","<div></div>","SECTION 13.3","180a6c9b-961b-462b-970c-ccc459beee32","13.3"
"Prior Protocol Amendments","NarrativeContent_130","<div></div>","SECTION 13.4","3bfb8f87-9e86-4fe6-94de-2c95e8b35e48","13.4"
"APPENDIX: GLOSSARY OF TERMS","NarrativeContent_131","<div></div>","SECTION 14","81cd219b-6d78-422a-8e4d-4871d7ecea8a","14"
"APPENDIX: REFERENCES","NarrativeContent_132","<div></div>","SECTION 15","ed3a18b3-8100-447c-b274-54bb4b35bcc7","15"
