"code","codeSystem","id","decode","codeSystemVersion","uuid:ID"
"C174268","http://www.cdisc.org","Code_33","Placebo Comparator Arm","2023-09-29","9dc5837f-1223-4958-ac44-6e806dae36ca"
"C188866","http://www.cdisc.org","Code_34","Data Generated Within Study","2023-09-29","e5da5e7e-efe3-4c9c-973e-3ce601a2f68a"
"C49659","http://www.cdisc.org","Code_41","Open Label Study","2023-09-29","17a9edd9-1f0e-4277-b189-333f9f0c6b11"
"C48262","http://www.cdisc.org","Code_35","Trial Screening","2023-09-29","e0ae6d2f-8df0-47a9-be83-e28fd2e59e6b"
"C125938","http://www.cdisc.org","Code_36","Baseline Epoch","2023-09-29","5b3c4e07-b439-459a-8681-8380d68110b3"
"C101526","http://www.cdisc.org","Code_37","Treatment Epoch","2023-09-29","c157b10e-9d5d-4adf-b4c8-44b9d51cb7e9"
"C99158","http://www.cdisc.org","Code_38","Clinical Study Follow-up","2023-09-29","c6d62d6a-32fa-4eff-925e-fc9b8430f27a"
"12345","SNOMED","Code_83","Indication1","January 31, 2018","237d52b8-b1d0-4488-b7dd-88b50655f15f"
"345678","SNOMED","Code_84","Indication2","January 31, 2018","e709a0f1-f574-44d8-a2e8-fa6199ab9d90"
"role1","M11","Code_90","role1","None set","94619d8e-a4b0-4641-b77d-0161a9fd3007"
"C1909","http://www.cdisc.org","Code_91","Pharmacologic Substance","2023-09-29","929cd146-aea6-4011-9b77-df1204c43e3a"
"C25301","http://www.cdisc.org","Code_94","Day","2023-09-29","737c9f27-46af-4d57-8fdd-073f0308cbc5"
"A","SPONSOR","Code_89","B","12","d7610726-9c59-40c1-9148-dba701745c6a"
"C25613","http://www.cdisc.org","Code_85","Percentage","2023-09-29","a425112b-b6fe-48a7-bad9-b50cc27295a1"
"C28253","http://www.cdisc.org","Code_87","Milligram","2023-09-29","9a015119-44e5-4a27-ba4c-ee834ec8d9c3"
"C38197","http://www.cdisc.org","Code_86","Dental Route of Administration","2023-09-29","ad94d109-8357-4a20-9f55-55dc5b25ddcf"
"C139179","http://www.cdisc.org","Code_88","Ten Days Per Month","2023-09-29","bb666e1e-ad68-48da-bae7-27ef87d7d9a9"
"desig1","M11","Code_93","desig_1","None set","5d2790cd-eefb-4fe4-bbda-638d0e700652"
"A","FDA","Code_92","B","None set","8137680b-f385-4769-bd3e-012b228c54f7"
"role2","M11","Code_100","role2","None set","ef031cba-3217-478e-a0ba-a65810dd2231"
"C1909","http://www.cdisc.org","Code_101","Pharmacologic Substance","2023-09-29","6b63a3a9-4017-4520-9877-4d7ff4e76134"
"C25301","http://www.cdisc.org","Code_104","Day","2023-09-29","caf8f7a8-55ad-4450-bf04-1a919eab7c81"
"A","SPONSOR","Code_99","B","12","2e064347-f772-4053-bc0c-8a9ce5a5dd70"
"C25613","http://www.cdisc.org","Code_95","Percentage","2023-09-29","73f677a5-d8e5-4cfb-be7e-b0f306ced7f3"
"C28253","http://www.cdisc.org","Code_97","Milligram","2023-09-29","6587ecbd-c2c8-4341-88e2-6c9429973851"
"C38197","http://www.cdisc.org","Code_96","Dental Route of Administration","2023-09-29","0a383656-8874-4f9e-a2e7-289f3f23b3ec"
"C139179","http://www.cdisc.org","Code_98","Ten Days Per Month","2023-09-29","cd951575-1cf8-4727-b4cd-6ec8edfd1957"
"desig2","M11","Code_103","desig_2","None set","9f9525f0-e340-4111-8538-6784ad64781b"
"A","FDA","Code_102","B","None set","c62fa44c-8885-4bde-9f8d-9d776186f5a7"
"C85826","http://www.cdisc.org","Code_111","Trial Primary Objective","2023-09-29","95056407-7a4e-4bba-b16c-aeef313e1364"
"C94496","http://www.cdisc.org","Code_110","Primary Endpoint","2023-09-29","e8ccb113-e6f1-4b32-a7af-c0b4fb307940"
"C85827","http://www.cdisc.org","Code_113","Trial Secondary Objective","2023-09-29","500f7f2a-936d-421d-b769-98d60d26d806"
"C139173","http://www.cdisc.org","Code_112","Secondary Endpoint","2023-09-29","9fc7874e-7222-469a-8a21-3630b94b0844"
"C139173","http://www.cdisc.org","Code_114","Secondary Endpoint","2023-09-29","8d76ed48-6d2c-475b-b0d9-ab2c03a642c8"
"C139173","http://www.cdisc.org","Code_115","Secondary Endpoint","2023-09-29","f3766f14-48ed-4ce2-afda-9dbeaf603b58"
"C139173","http://www.cdisc.org","Code_116","Secondary Endpoint","2023-09-29","eb13b2e3-d390-4f75-8699-4a7fd2f74fc1"
"C139173","http://www.cdisc.org","Code_117","Secondary Endpoint","2023-09-29","9b92a0d7-e26e-4143-88ad-96a604382334"
"C139173","http://www.cdisc.org","Code_118","Secondary Endpoint","2023-09-29","41ff84ec-371f-4cc2-8a90-e25c5ed03672"
"C139173","http://www.cdisc.org","Code_119","Secondary Endpoint","2023-09-29","237a453e-1a13-4a01-9330-8372da9b370a"
"C139173","http://www.cdisc.org","Code_120","Secondary Endpoint","2023-09-29","8c5e883d-a77c-42f3-86b3-33a72a866f46"
"C139173","http://www.cdisc.org","Code_121","Secondary Endpoint","2023-09-29","38714619-11e5-4924-9999-114177123ce0"
"C139173","http://www.cdisc.org","Code_122","Secondary Endpoint","2023-09-29","d70c981b-55fb-4f61-9cdf-265d5005c2db"
"C139173","http://www.cdisc.org","Code_123","Secondary Endpoint","2023-09-29","23d770c6-c1f0-48d3-94ca-e43f54f6cc78"
"C201264","http://www.cdisc.org","Code_48","Before","2023-09-29","ce7ffe27-4aa2-45da-bb96-1f823c316323"
"C201265","http://www.cdisc.org","Code_50","Start to Start","2023-09-29","53324667-7d8e-43f8-8751-0b7e5db00699"
"C201264","http://www.cdisc.org","Code_53","Before","2023-09-29","cdf96ab8-6c68-45ec-9fea-6aec7216f74a"
"C201265","http://www.cdisc.org","Code_55","Start to Start","2023-09-29","bd9e864e-1eb8-413c-9e13-695363162160"
"C201264","http://www.cdisc.org","Code_56","Fixed Reference","2023-09-29","6eb6c3a1-a029-400f-a715-69343dc30d5f"
"C201265","http://www.cdisc.org","Code_60","Start to Start","2023-09-29","36d5040e-add1-4780-bf39-b5940a901efe"
"C201264","http://www.cdisc.org","Code_62","After","2023-09-29","4fa48897-2cbf-4d9d-b5c3-97df9eb82750"
"C201265","http://www.cdisc.org","Code_65","Start to Start","2023-09-29","791e6f1a-09cc-4852-92d6-f819ae4173a5"
"C201264","http://www.cdisc.org","Code_67","After","2023-09-29","666fbc0c-5fb5-4f80-921f-3c700696058b"
"C201265","http://www.cdisc.org","Code_70","Start to Start","2023-09-29","99b33446-82ae-4834-87fe-6d9a3e3ecdc7"
"C85255","http://www.cdisc.org","Code_5","Draft","2023-09-29","9e2ca330-7f59-467c-98d2-7292048095ac"
"C99903x1","http://www.cdisc.org","Code_8","Protocol Effective Date","2023-09-29","b89d405c-689f-449e-ad02-dfc24dc85e5b"
"C68846","http://www.cdisc.org","Code_9","Global","2023-09-29","924779fc-3316-4742-a800-a7d927675ccc"
