"id","name","instanceType","sectionTitle","sectionNumber","uuid:ID","text"
"NarrativeContent_42","SECTION 6.6","NarrativeContent","Participant Assignment, Randomisation and Blinding","6.6","da8935f3-3ed0-4b2f-b6ff-637c09bb7d8f","<div></div>"
"NarrativeContent_43","SECTION 6.6.1","NarrativeContent","Participant Assignment","6.6.1","7ef51170-299f-4c62-acd3-d0e3c6fc764e","<div></div>"
"NarrativeContent_44","SECTION 6.6.2","NarrativeContent","Randomisation","6.6.2","46434c35-d8ab-45d9-a3bc-ba416fa71aeb","<div></div>"
"NarrativeContent_45","SECTION 6.6.3","NarrativeContent","Blinding and Unblinding","6.6.3","36ec8d10-407c-402b-aa95-eebaedc1111f","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"NarrativeContent_46","SECTION 6.7","NarrativeContent","Trial Intervention Compliance","6.7","6b5c2224-9dfd-42c8-a494-118b2245326c","<div></div>"
"NarrativeContent_47","SECTION 6.8","NarrativeContent","Concomitant Therapy","6.8","a1786b88-4355-47f2-ba4d-d2fc2d601d3a","<div></div>"
"NarrativeContent_48","SECTION 6.8.1","NarrativeContent","Prohibited Concomitant Therapy","6.8.1","e8779c1b-514f-4692-b226-9d76b432f882","<div></div>"
"NarrativeContent_49","SECTION 6.8.2","NarrativeContent","Permitted Concomitant Therapy","6.8.2","d329fef1-c8c3-490e-9966-d02e3f2db498","<div></div>"
"NarrativeContent_50","SECTION 6.8.3","NarrativeContent","Rescue Therapy","6.8.3","4f14026f-0b45-4eb5-b537-bfde8edf6d0f","<div></div>"
"NarrativeContent_51","SECTION 6.8.4","NarrativeContent","Other Therapy","6.8.4","c54dc878-8e84-4038-bd17-9ac6f63a1bb4","<div></div>"
"NarrativeContent_52","SECTION 7","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","ed48ee7a-529b-4c65-ac9d-7a5475b3d469","<div></div>"
"NarrativeContent_53","SECTION 7.1","NarrativeContent","Discontinuation of Trial Intervention","7.1","2bf94452-75c4-4cc3-8637-d10d49a164c1","<div></div>"
"NarrativeContent_54","SECTION 7.1.1","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","c839705a-caf7-46ef-a36e-6c7dbb6beec8","<div></div>"
"NarrativeContent_55","SECTION 7.1.2","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","944e26e9-7c71-4233-bf74-c3cce4c29117","<div></div>"
"NarrativeContent_56","SECTION 7.1.3","NarrativeContent","Rechallenge","7.1.3","961357bc-052d-46ab-89dd-af8dc5efd22e","<div></div>"
"NarrativeContent_57","SECTION 7.2","NarrativeContent","Participant Withdrawal from the Trial","7.2","e8c8dc48-311e-40f7-b41e-e5be7cf85e48","<div></div>"
"NarrativeContent_58","SECTION 7.3","NarrativeContent","Lost to Follow-Up","7.3","436a510d-21cf-4e56-87e3-610c0fe26f65","<div></div>"
"NarrativeContent_59","SECTION 7.4","NarrativeContent","Trial Stopping Rules","7.4","34e32e8e-47ce-4c64-a9c6-694fd627af87","<div></div>"
"NarrativeContent_60","SECTION 8","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","8","86fb9d3e-7f27-40d3-876a-c955833c59f0","<div></div>"
"NarrativeContent_61","SECTION 8.1","NarrativeContent","Screening/Baseline Assessments and Procedures","8.1","6a9bbbc3-4fc1-4340-8119-e8dbf8a97a8e","<div></div>"
"NarrativeContent_62","SECTION 8.2","NarrativeContent","Efficacy Assessments and Procedures","8.2","20d67fb1-fe3a-46b2-84b3-089d4b76a6cd","<div></div>"
"NarrativeContent_63","SECTION 8.3","NarrativeContent","Safety Assessments and Procedures","8.3","4b3927be-a11d-4bd1-99cb-e78305db56ae","<div></div>"
"NarrativeContent_64","SECTION 8.3.1","NarrativeContent","Physical Examination","8.3.1","b852ccbc-4048-48a2-b6da-1585f86e35a1","<div></div>"
"NarrativeContent_65","SECTION 8.3.2","NarrativeContent","Vital Signs","8.3.2","a290ff39-51b2-4db0-8608-698856c8036a","<div></div>"
"NarrativeContent_66","SECTION 8.3.3","NarrativeContent","Electrocardiograms","8.3.3","7dcf50dc-1edf-4862-ba4a-de672fe8f085","<div></div>"
"NarrativeContent_67","SECTION 8.3.4","NarrativeContent","Clinical Laboratory Assessments","8.3.4","4976759d-b50a-4e09-a568-8cf28b0ac5ce","<div></div>"
"NarrativeContent_68","SECTION 8.3.5","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","9698a990-f797-4405-9e31-952bfc510f86","<div></div>"
"NarrativeContent_69","SECTION 8.4","NarrativeContent","Adverse Events and Serious Adverse Events","8.4","57e10265-2607-4a83-b72a-9dec74c07199","<div></div>"
"NarrativeContent_70","SECTION 8.4.1","NarrativeContent","Definitions of AE and SAE","8.4.1","9875d86c-2505-439f-8a88-23a2a04b882e","<div></div>"
"NarrativeContent_71","SECTION 8.4.2","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","0ff0340f-a26b-4fff-b1a2-60f757ada28a","<div></div>"
"NarrativeContent_72","SECTION 8.4.3","NarrativeContent","Identifying AEs and SAEs","8.4.3","53d9271f-311d-47a4-8856-2a00c4ff8b4d","<div></div>"
"NarrativeContent_73","SECTION 8.4.4","NarrativeContent","Recording of AEs and SAEs","8.4.4","b8756bdc-8851-45ee-9357-a37dd2b7cb9a","<div></div>"
"NarrativeContent_74","SECTION 8.4.5","NarrativeContent","Follow-up of AEs and SAEs","8.4.5","5438325f-89f3-4207-8a6d-905f2446664d","<div></div>"
"NarrativeContent_75","SECTION 8.4.6","NarrativeContent","Reporting of SAEs","8.4.6","14df902a-3f18-444b-b372-cafb83950083","<div></div>"
"NarrativeContent_76","SECTION 8.4.7","NarrativeContent","Regulatory Reporting Requirements for SAEs","8.4.7","f15464f6-4ec2-43a7-a98a-8683cbb81e4a","<div></div>"
"NarrativeContent_77","SECTION 8.4.8","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","8.4.8","adebf7b6-0ed7-4a17-ae64-359821e19acf","<div></div>"
"NarrativeContent_78","SECTION 8.4.9","NarrativeContent","Adverse Events of Special Interest","8.4.9","4acb7292-b4f7-48fb-9d7e-b4bff9b1d142","<div></div>"
"NarrativeContent_79","SECTION 8.4.10","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","ea01f17f-e032-4434-aaf6-73fe6ccd10e2","<div></div>"
"NarrativeContent_80","SECTION 8.5","NarrativeContent","Pregnancy and Postpartum Information","8.5","023d2e8c-f723-4dd6-b6ba-0e93ae492b2a","<div></div>"
"NarrativeContent_81","SECTION 8.5.1","NarrativeContent","Participants Who Become Pregnant During the Trial","8.5.1","bb45db09-6b7f-47e0-b149-ae704b255bc1","<div></div>"
"NarrativeContent_82","SECTION 8.5.2","NarrativeContent","Participants Whose Partners Become Pregnant","8.5.2","3e67c256-339f-4da8-991e-0e801dafdad5","<div></div>"
"NarrativeContent_83","SECTION 8.6","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","8.6","a38267b0-1f83-489d-a695-b803356662e0","<div></div>"
"NarrativeContent_84","SECTION 8.6.1","NarrativeContent","Definition of Medical Device Product Complaints","8.6.1","d8e6b576-fbf1-4072-adbd-991dae275f1a","<div></div>"
"NarrativeContent_85","SECTION 8.6.2","NarrativeContent","Recording of Medical Device Product Complaints","8.6.2","70447555-ccea-4b8b-8490-704f3b58e58d","<div></div>"
"NarrativeContent_86","SECTION 8.6.3","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","d939fbe0-d15c-49d8-918a-6d29405fc204","<div></div>"
"NarrativeContent_87","SECTION 8.6.4","NarrativeContent","Follow-Up of Medical Device Product Complaints","8.6.4","d28c4fab-9e40-47a1-9e6b-85de88a10155","<div></div>"
"NarrativeContent_88","SECTION 8.6.5","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","789fe7b5-70c9-4bcd-a6b9-e15d94929493","<div></div>"
"NarrativeContent_89","SECTION 8.7","NarrativeContent","Pharmacokinetics","8.7","0f8712b8-609a-4966-b1f5-172bb313fb9f","<div></div>"
"NarrativeContent_90","SECTION 8.8","NarrativeContent","Genetics","8.8","bec27ff9-3d92-4456-be4c-aee9c88913c0","<div></div>"
"NarrativeContent_91","SECTION 8.9","NarrativeContent","Biomarkers","8.9","82b8f52b-aa56-4cf3-a910-b4753ef43067","<div></div>"
"NarrativeContent_92","SECTION 8.1","NarrativeContent","Immunogenicity Assessments","8.1","516735bc-db79-4bb6-a14b-8fce72bf233f","<div></div>"
"NarrativeContent_93","SECTION 8.1.1","NarrativeContent","Medical Resource Utilisation and Health Economics","8.1.1","0de9fdd1-36e3-4ea3-9454-2b42b0a170fd","<div></div>"
"NarrativeContent_94","SECTION 9","NarrativeContent","STATISTICAL CONSIDERATIONS","9","4181bb04-0c11-4e66-988c-7602c5850973","<div></div>"
"NarrativeContent_95","SECTION 9.1","NarrativeContent","Analysis Sets","9.1","a6d24032-a959-45f5-9efe-3d01db43d164","<div></div>"
"NarrativeContent_96","SECTION 9.2","NarrativeContent","Analyses Supporting Primary Objective(s)","9.2","363ee4d6-00b8-431f-80a1-4598f30f2a18","<div></div>"
"NarrativeContent_97","SECTION 9.2.1","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","215ab675-58e7-4b00-b277-74e020850867","<div></div>"
"NarrativeContent_98","SECTION 9.2.2","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","def342e3-e706-47aa-94f6-589698d0e754","<div></div>"
"NarrativeContent_99","SECTION 9.2.3","NarrativeContent","Handling of Missing Data","9.2.3","1197dbb9-87c8-476a-b53d-5b30d8ea56b6","<div></div>"
"NarrativeContent_100","SECTION 9.2.4","NarrativeContent","Sensitivity Analysis","9.2.4","c12e3955-57eb-406c-aa46-82cd09f8ad42","<div></div>"
"NarrativeContent_101","SECTION 9.2.5","NarrativeContent","Supplementary Analysis","9.2.5","8e1c36f7-b0ac-4cd8-966e-0cfc9e84e38b","<div></div>"
"NarrativeContent_102","SECTION 9.3","NarrativeContent","Analysis Supporting Secondary Objective(s)","9.3","c56e0423-3514-474b-8e94-d2137cc45f37","<div></div>"
"NarrativeContent_103","SECTION 9.4","NarrativeContent","Analysis of Exploratory Objective(s)","9.4","3f126ca0-651a-434f-9d0f-740239e33edf","<div></div>"
"NarrativeContent_104","SECTION 9.5","NarrativeContent","Safety Analyses","9.5","fcda2f90-21ee-4c5d-a126-6df07712287f","<div></div>"
"NarrativeContent_105","SECTION 9.6","NarrativeContent","Other Analyses","9.6","0d26259d-ca6e-4c15-8894-34f68e9faf5a","<div></div>"
"NarrativeContent_106","SECTION 9.7","NarrativeContent","Interim Analyses","9.7","58ca2b87-cb00-44dc-8abc-e955315513fa","<div></div>"
"NarrativeContent_107","SECTION 9.8","NarrativeContent","Sample Size Determination","9.8","9ef3d4fd-fd74-4286-ad84-a1c686f11d7d","<div></div>"
"NarrativeContent_108","SECTION 9.9","NarrativeContent","Protocol Deviations","9.9","5b901725-7437-4443-893c-60873c6b0a2a","<div></div>"
"NarrativeContent_109","SECTION 10","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","815a5788-712c-4dc2-9e31-84875359f57e","<div></div>"
"NarrativeContent_110","SECTION 10.1","NarrativeContent","Regulatory and Ethical Considerations","10.1","0f10d2f3-be38-4f75-a019-120f8a706dfc","<div></div>"
"NarrativeContent_111","SECTION 10.2","NarrativeContent","Committees","10.2","108a4d9b-40e8-4fca-bebd-18a1230d078d","<div></div>"
"NarrativeContent_112","SECTION 10.3","NarrativeContent","Informed Consent Process","10.3","e70d15bf-61e7-4c24-b94d-924bdbef7582","<div></div>"
"NarrativeContent_113","SECTION 10.4","NarrativeContent","Data Protection","10.4","90de28aa-4222-44ff-a7e6-0618c08f0b8e","<div></div>"
"NarrativeContent_114","SECTION 10.5","NarrativeContent","Early Site Closure or Trial Termination","10.5","bafc0506-651a-42e5-860f-d67102b0401f","<div></div>"
"NarrativeContent_115","SECTION 11","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","e1bd32fa-5523-4b11-87bf-28c00a7aef9d","<div></div>"
"NarrativeContent_116","SECTION 11.1","NarrativeContent","Quality Tolerance Limits","11.1","95c1e0b8-1609-4cf8-b2f0-a3451d5e4868","<div></div>"
"NarrativeContent_117","SECTION 11.2","NarrativeContent","Data Quality Assurance","11.2","cfe070b2-c78f-4189-941e-fb7f82c6beea","<div></div>"
"NarrativeContent_118","SECTION 11.3","NarrativeContent","Source Data","11.3","2c28329c-90b3-4ae5-88f5-db27343afd54","<div></div>"
"NarrativeContent_119","SECTION 12","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","61290275-8624-4ace-b727-870b38ac0d2d","<div></div>"
"NarrativeContent_120","SECTION 12.1","NarrativeContent","Further Details and Clarifications on the AE Definition","12.1","afdbfee2-e482-49a3-bf3e-57c17934ccf2","<div></div>"
"NarrativeContent_121","SECTION 12.2","NarrativeContent","Further Details and Clarifications on the SAE Definition","12.2","07210be0-bc20-48a5-bf0f-7622ccfc3a66","<div></div>"
"NarrativeContent_122","SECTION 12.3","NarrativeContent","Severity","12.3","a62647e4-4cf7-44eb-8c8d-197c43ecaa33","<div></div>"
"NarrativeContent_123","SECTION 12.4","NarrativeContent","Causality","12.4","86ff4911-3bb3-4cae-b69f-fb90f0a17a39","<div></div>"
"NarrativeContent_124","SECTION 13","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","3ee40a48-54eb-489c-bd10-d3bb0bb28a8f","<div></div>"
"NarrativeContent_125","SECTION 13.1","NarrativeContent","Contraception and Pregnancy Testing","13.1","02887794-4d29-4b4b-983e-503b6513547b","<div></div>"
"NarrativeContent_126","SECTION 13.1.1","NarrativeContent","Definitions Related to Childbearing Potential","13.1.1","0b1eb814-78c9-4542-903b-08cd5faa399b","<div></div>"
"NarrativeContent_127","SECTION 13.1.2","NarrativeContent","Contraception","13.1.2","fe14f2cd-e466-40ab-9b43-c23dbc42763d","<div></div>"
"NarrativeContent_128","SECTION 13.1.3","NarrativeContent","Pregnancy Testing","13.1.3","ef5cdbca-c02a-4264-afb5-fc676cf2a79e","<div></div>"
"NarrativeContent_129","SECTION 13.2","NarrativeContent","Clinical Laboratory Tests","13.2","8fa3f653-8985-4378-b803-a74433432b9f","<div></div>"
"NarrativeContent_130","SECTION 13.3","NarrativeContent","Country/Region-Specific Differences","13.3","74270237-f926-4637-987b-fd8a6389b597","<div></div>"
"NarrativeContent_131","SECTION 13.4","NarrativeContent","Prior Protocol Amendments","13.4","1510e121-b24e-4b89-8bde-3951fad9076a","<div></div>"
"NarrativeContent_132","SECTION 14","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","14","f814ad38-0557-4c73-8533-d17d900222c3","<div></div>"
"NarrativeContent_133","SECTION 15","NarrativeContent","APPENDIX: REFERENCES","15","90460315-71c1-4bd9-865e-6578feac474d","<div></div>"
