"label","instanceType","id","uuid:ID","synonyms","name","reference"
"Body Weight","BiomedicalConcept","BiomedicalConcept_5","e41fd966-0de8-47f8-95c0-b6569ea4ad10","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept","BiomedicalConcept_6","0b0a7617-93a0-4f36-9041-64e44924fd4c","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_7","eab1391e-693a-4758-8abc-b1e5885b97c0","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept","BiomedicalConcept_8","0d20368f-e9d4-4390-a5b1-142da53537a0","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","BiomedicalConcept","BiomedicalConcept_9","98280b67-2ebc-4f60-a786-e0d771dee155","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_10","d6b61bfa-b5de-4b9c-b2fe-69990f5a10d0","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","BiomedicalConcept","BiomedicalConcept_11","be2c80b6-0463-44de-9d0b-0902557c8348","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","BiomedicalConcept","BiomedicalConcept_12","b031d1c5-9475-44b4-a941-0089a4af15f6","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","BiomedicalConcept","BiomedicalConcept_13","792fdd8f-9058-4252-a3d5-3e4f8364fc43","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_14","bf6a81e6-9f47-4fee-a962-1bf34a86aceb","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_15","650fded6-97f3-41c7-be07-46de716faf59","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_16","2655e15f-75bb-4796-8d91-19fb6d87f6bd","","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_17","3aeb031d-107e-4edc-a693-934442d672c2","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_18","8982ccc3-a541-4e79-8823-6a2135124206","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_19","848308a6-06d0-45f4-bd5b-175acd29a9bc","","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677"
