"sectionTitle","instanceType","id","uuid:ID","name","sectionNumber","text"
"Adverse Events and Serious Adverse Events","NarrativeContent","NarrativeContent_69","edeab531-f629-4d64-b5e0-cdc3d2419cb8","SECTION 8.4","8.4","<div></div>"
"Definitions of AE and SAE","NarrativeContent","NarrativeContent_70","efa685e4-1cd6-4cb0-a47b-cfd93ca01109","SECTION 8.4.1","8.4.1","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent","NarrativeContent_71","2b4c974a-0a85-4145-8e23-cfa1f741586c","SECTION 8.4.2","8.4.2","<div></div>"
"Identifying AEs and SAEs","NarrativeContent","NarrativeContent_72","60f05b48-7a3f-4964-b040-590dc994a5dc","SECTION 8.4.3","8.4.3","<div></div>"
"Recording of AEs and SAEs","NarrativeContent","NarrativeContent_73","936f8637-2769-4026-a1a3-cbf335b0a1d6","SECTION 8.4.4","8.4.4","<div></div>"
"Follow-up of AEs and SAEs","NarrativeContent","NarrativeContent_74","f0f0d3df-48b1-4e8d-966e-5ba059c876c8","SECTION 8.4.5","8.4.5","<div></div>"
"Reporting of SAEs","NarrativeContent","NarrativeContent_75","2e6a7f0a-d170-4177-a923-4ac04dede0e0","SECTION 8.4.6","8.4.6","<div></div>"
"Regulatory Reporting Requirements for SAEs","NarrativeContent","NarrativeContent_76","067bfb8b-3a0f-44f4-bbd3-5e00eaa7acc3","SECTION 8.4.7","8.4.7","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","NarrativeContent","NarrativeContent_77","86ab9286-c02d-44ae-baa4-53234404d199","SECTION 8.4.8","8.4.8","<div></div>"
"Adverse Events of Special Interest","NarrativeContent","NarrativeContent_78","3dc32822-1a12-4900-b12d-80362ffe01b1","SECTION 8.4.9","8.4.9","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent","NarrativeContent_79","5e508cf3-abac-4dd1-a411-feccb13308e4","SECTION 8.4.10","8.4.10","<div></div>"
"Pregnancy and Postpartum Information","NarrativeContent","NarrativeContent_80","0f2c25cf-29d4-4410-9c66-b6806108e1af","SECTION 8.5","8.5","<div></div>"
"Participants Who Become Pregnant During the Trial","NarrativeContent","NarrativeContent_81","d1411b9f-78d6-4beb-89b6-085b6ad5a09d","SECTION 8.5.1","8.5.1","<div></div>"
"Participants Whose Partners Become Pregnant","NarrativeContent","NarrativeContent_82","8e1652c0-00a2-4e44-9a52-efc5ee3068ef","SECTION 8.5.2","8.5.2","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent","NarrativeContent_83","3362b050-f49d-4a23-b59e-73ac363d336f","SECTION 8.6","8.6","<div></div>"
"Definition of Medical Device Product Complaints","NarrativeContent","NarrativeContent_84","9d96ae50-5c58-4235-8ad6-18cebfc39441","SECTION 8.6.1","8.6.1","<div></div>"
"Recording of Medical Device Product Complaints","NarrativeContent","NarrativeContent_85","4d6b4fdd-a3be-4be2-af2b-5e06dd36e4b9","SECTION 8.6.2","8.6.2","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent","NarrativeContent_86","61d80c06-bc32-4d1d-97f4-afd8ae1193ef","SECTION 8.6.3","8.6.3","<div></div>"
"Follow-Up of Medical Device Product Complaints","NarrativeContent","NarrativeContent_87","68340529-39e3-49e7-91ca-992137d1041f","SECTION 8.6.4","8.6.4","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent","NarrativeContent_88","c2fec066-ed6e-44ff-80be-a7741c07e221","SECTION 8.6.5","8.6.5","<div></div>"
"Pharmacokinetics","NarrativeContent","NarrativeContent_89","7f2293df-06b5-4bdd-98aa-b7ce1a394033","SECTION 8.7","8.7","<div></div>"
"Genetics","NarrativeContent","NarrativeContent_90","ea7fd02e-35f1-4479-8e13-36c03433c2d6","SECTION 8.8","8.8","<div></div>"
"Biomarkers","NarrativeContent","NarrativeContent_91","1d9477f5-4801-41a7-9d07-b2e4fe658362","SECTION 8.9","8.9","<div></div>"
"Immunogenicity Assessments","NarrativeContent","NarrativeContent_92","a651534a-50ca-4cea-be0f-c39a09faa6cd","SECTION 8.1","8.1","<div></div>"
"Medical Resource Utilisation and Health Economics","NarrativeContent","NarrativeContent_93","563a9f4f-51b0-48d6-8718-b630e6e85444","SECTION 8.1.1","8.1.1","<div></div>"
"STATISTICAL CONSIDERATIONS","NarrativeContent","NarrativeContent_94","0b6ef7b5-4413-48b7-982c-07f8697ba06d","SECTION 9","9","<div></div>"
"Analysis Sets","NarrativeContent","NarrativeContent_95","d02e4a74-ef31-4456-842c-6b00dfd2f162","SECTION 9.1","9.1","<div></div>"
"Analyses Supporting Primary Objective(s)","NarrativeContent","NarrativeContent_96","251c4f3e-b6bf-4ca4-a883-a5be60a56bac","SECTION 9.2","9.2","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent","NarrativeContent_97","75d98c92-4f62-4a0e-a1da-a362cc32a2ba","SECTION 9.2.1","9.2.1","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent","NarrativeContent_98","a0b7363a-1da5-4aa4-a297-df1e756ab17b","SECTION 9.2.2","9.2.2","<div></div>"
"Handling of Missing Data","NarrativeContent","NarrativeContent_99","e6c06665-1792-4d57-a0e2-573def3bf275","SECTION 9.2.3","9.2.3","<div></div>"
"Sensitivity Analysis","NarrativeContent","NarrativeContent_100","a8b6b96f-5814-47ba-acef-1ae970ac9077","SECTION 9.2.4","9.2.4","<div></div>"
"Supplementary Analysis","NarrativeContent","NarrativeContent_101","4ef6cae6-fa8b-4901-8985-e743b1691a32","SECTION 9.2.5","9.2.5","<div></div>"
"Analysis Supporting Secondary Objective(s)","NarrativeContent","NarrativeContent_102","09239a0e-d522-4e41-ab9c-58a682c387d3","SECTION 9.3","9.3","<div></div>"
"Analysis of Exploratory Objective(s)","NarrativeContent","NarrativeContent_103","4845cfc9-d840-4710-996c-d168db4ccf63","SECTION 9.4","9.4","<div></div>"
"Safety Analyses","NarrativeContent","NarrativeContent_104","ea529c83-febb-42bc-8001-9f7014787f80","SECTION 9.5","9.5","<div></div>"
"Other Analyses","NarrativeContent","NarrativeContent_105","8578caf3-0ece-4258-8c56-30164fe8faea","SECTION 9.6","9.6","<div></div>"
"Interim Analyses","NarrativeContent","NarrativeContent_106","2b8870e3-e0f5-4b8b-b05b-62f8d6e6c0f6","SECTION 9.7","9.7","<div></div>"
"Sample Size Determination","NarrativeContent","NarrativeContent_107","5a315dad-e6fe-45a6-b431-c34453ba00f6","SECTION 9.8","9.8","<div></div>"
"Protocol Deviations","NarrativeContent","NarrativeContent_108","1e9631e9-0eeb-4de3-9736-a1af2c6f590c","SECTION 9.9","9.9","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent","NarrativeContent_109","13bc45f6-fa01-4d21-ac23-cbec36634fc4","SECTION 10","10","<div></div>"
"Regulatory and Ethical Considerations","NarrativeContent","NarrativeContent_110","8aa8ae9e-03a3-4026-a6ad-ebdd8beabf34","SECTION 10.1","10.1","<div></div>"
"Committees","NarrativeContent","NarrativeContent_111","9b5d8d22-4a72-404d-967b-5ffee1591174","SECTION 10.2","10.2","<div></div>"
"Informed Consent Process","NarrativeContent","NarrativeContent_112","349e5e36-d406-40c1-8eae-1f5dfbb443f8","SECTION 10.3","10.3","<div></div>"
"Data Protection","NarrativeContent","NarrativeContent_113","cf79f1bc-a58f-4d22-a5bf-fd8da2967b15","SECTION 10.4","10.4","<div></div>"
"Early Site Closure or Trial Termination","NarrativeContent","NarrativeContent_114","85fd35ce-d50b-4b62-a68d-a6558f0039a0","SECTION 10.5","10.5","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent","NarrativeContent_115","4cb29a26-a79f-4f91-a4c1-5a811e16594f","SECTION 11","11","<div></div>"
"Quality Tolerance Limits","NarrativeContent","NarrativeContent_116","bfddaf1d-9b15-46ee-8254-dbe9540eaae4","SECTION 11.1","11.1","<div></div>"
"Data Quality Assurance","NarrativeContent","NarrativeContent_117","cd60f186-9cc5-404d-b0bf-30931613e076","SECTION 11.2","11.2","<div></div>"
"Source Data","NarrativeContent","NarrativeContent_118","01a0fe94-0118-48c4-8eaf-98b3698c2a66","SECTION 11.3","11.3","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent","NarrativeContent_119","32025387-b8eb-448d-96d7-4f6177471b76","SECTION 12","12","<div></div>"
"Further Details and Clarifications on the AE Definition","NarrativeContent","NarrativeContent_120","da2e0fdf-ebf7-4a5b-bb8f-56a60bbcfa48","SECTION 12.1","12.1","<div></div>"
"Further Details and Clarifications on the SAE Definition","NarrativeContent","NarrativeContent_121","b10aba6c-fcf2-4c17-9290-6bf63e0d780c","SECTION 12.2","12.2","<div></div>"
"Severity","NarrativeContent","NarrativeContent_122","6461ac8a-249e-40fa-b06f-f63570e62009","SECTION 12.3","12.3","<div></div>"
"Causality","NarrativeContent","NarrativeContent_123","1c2013a5-567c-45cf-81fc-bbe0cffa0c35","SECTION 12.4","12.4","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent","NarrativeContent_124","79bb867a-1460-4175-a298-67b0681ab7c6","SECTION 13","13","<div></div>"
"Contraception and Pregnancy Testing","NarrativeContent","NarrativeContent_125","50f65321-1f1d-4229-9e89-f1621d846591","SECTION 13.1","13.1","<div></div>"
"Definitions Related to Childbearing Potential","NarrativeContent","NarrativeContent_126","0c40a748-34d9-4e16-ab64-0726e7b4c804","SECTION 13.1.1","13.1.1","<div></div>"
"Contraception","NarrativeContent","NarrativeContent_127","738529df-4204-4853-8b3c-e57fee63a6b0","SECTION 13.1.2","13.1.2","<div></div>"
"Pregnancy Testing","NarrativeContent","NarrativeContent_128","2cd675df-7307-4a7b-9967-81860f88c716","SECTION 13.1.3","13.1.3","<div></div>"
"Clinical Laboratory Tests","NarrativeContent","NarrativeContent_129","0920ac2a-ce65-4d3c-a0f9-0678a9d23f0a","SECTION 13.2","13.2","<div></div>"
"Country/Region-Specific Differences","NarrativeContent","NarrativeContent_130","800af1e6-d1ad-4de0-87c9-6c7b69863172","SECTION 13.3","13.3","<div></div>"
"Prior Protocol Amendments","NarrativeContent","NarrativeContent_131","e6bcedfb-9cf8-481c-9fe6-482637a04e09","SECTION 13.4","13.4","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","NarrativeContent","NarrativeContent_132","560f5f52-3151-4d75-91b4-a9216e29788f","SECTION 14","14","<div></div>"
"APPENDIX: REFERENCES","NarrativeContent","NarrativeContent_133","81b44a9e-f6a6-4909-8a33-d477e2d8c059","SECTION 15","15","<div></div>"
