"decode","instanceType","code","id","codeSystemVersion","uuid:ID","codeSystem"
"EXTENSION","Code","C99907x1","Code_142","2023-09-29","8a367178-7331-4f54-8e62-badc2684136d","http://www.cdisc.org"
"ADAPTIVE","Code","C98704","Code_143","2023-09-29","1d4b17f3-3df8-4e67-9305-c7f741fe75ac","http://www.cdisc.org"
"Parallel Study","Code","C82639","Code_140","2023-09-29","f73f85ee-3a21-47de-9d4f-5e1788f96849","http://www.cdisc.org"
"Visit","Code","C25716","Code_82","2023-09-29","9ad49c44-06b0-4d6e-b204-eb01f97071a1","http://www.cdisc.org"
"Clinic","Code","C51282","Code_83","2023-09-29","f64986e3-71a0-4c71-a7f7-458c5c6916f7","http://www.cdisc.org"
"In Person","Code","C175574","Code_84","2023-09-29","7b465e02-2199-42f6-a549-e8dd56a03f59","http://www.cdisc.org"
"Visit","Code","C25716","Code_85","2023-09-29","28c96133-fc7c-43fc-b882-9bac1f87a9a0","http://www.cdisc.org"
"Clinic","Code","C51282","Code_86","2023-09-29","edba5005-9c29-47b2-b454-fb891fd33fa2","http://www.cdisc.org"
"In Person","Code","C175574","Code_87","2023-09-29","0a9d1647-5d05-4c54-9470-11cdc5172c09","http://www.cdisc.org"
"Visit","Code","C25716","Code_88","2023-09-29","6f9cde81-97f0-40a3-bff0-ef05e07388c2","http://www.cdisc.org"
"Clinic","Code","C51282","Code_89","2023-09-29","c6948ca6-1ec2-4ed8-ae4b-2a56c1d780a8","http://www.cdisc.org"
"In Person","Code","C175574","Code_90","2023-09-29","c05b017c-0cb3-43a6-9ce8-97d747bd58ec","http://www.cdisc.org"
"Visit","Code","C25716","Code_91","2023-09-29","66a8ec23-9e25-40db-9ce6-7bfe7e9c75c2","http://www.cdisc.org"
"Clinic","Code","C51282","Code_92","2023-09-29","51426a14-1872-4c36-a7fb-ccb2b23667fc","http://www.cdisc.org"
"In Person","Code","C175574","Code_93","2023-09-29","9574442f-d8d7-446d-b1b5-84d4840dd15b","http://www.cdisc.org"
"Visit","Code","C25716","Code_94","2023-09-29","6737d48b-e4a9-4013-bfe1-aff10fd04cde","http://www.cdisc.org"
"Clinic","Code","C51282","Code_95","2023-09-29","0092e19f-1e15-4618-9ad5-5ab6626ed0b9","http://www.cdisc.org"
"In Person","Code","C175574","Code_96","2023-09-29","ee0a382f-e820-45b6-bb76-5bc39cfdd3a2","http://www.cdisc.org"
"Visit","Code","C25716","Code_97","2023-09-29","b0f4a23a-e781-4b87-87c3-b318da908b57","http://www.cdisc.org"
"Clinic","Code","C51282","Code_98","2023-09-29","626023fa-cb4f-4051-9484-3a815297cbc5","http://www.cdisc.org"
"In Person","Code","C175574","Code_99","2023-09-29","2e420a84-3269-48dd-b76a-6f0c2292ea4d","http://www.cdisc.org"
"Visit","Code","C25716","Code_100","2023-09-29","0d2d8e0b-1508-4462-bb7e-0bdc2d63fce3","http://www.cdisc.org"
"Clinic","Code","C51282","Code_101","2023-09-29","503aaf42-296a-458a-ab4b-f057dee22a2b","http://www.cdisc.org"
"In Person","Code","C175574","Code_102","2023-09-29","2a4c282c-caff-42c3-a7f2-d477d7126c0a","http://www.cdisc.org"
"Telephone Call","Code","C171537","Code_103","2023-09-29","71c243e8-0ff1-416c-b90f-6e0f0383105e","http://www.cdisc.org"
"Visit","Code","C25716","Code_104","2023-09-29","19ed50b9-623a-45fa-8421-50caa52bcb08","http://www.cdisc.org"
"Clinic","Code","C51282","Code_105","2023-09-29","902991d6-3f34-40f8-a251-bb4f9ed81ba2","http://www.cdisc.org"
"In Person","Code","C175574","Code_106","2023-09-29","93671963-4cc1-4bb8-aa76-92eca2364125","http://www.cdisc.org"
"Telephone Call","Code","C171537","Code_107","2023-09-29","b39bc4dc-a16b-4a18-8670-02039495d010","http://www.cdisc.org"
"Visit","Code","C25716","Code_108","2023-09-29","92280542-7f34-4462-a474-93e32486bff0","http://www.cdisc.org"
"Clinic","Code","C51282","Code_109","2023-09-29","305942ea-56cf-4701-88de-a42768569fd5","http://www.cdisc.org"
"In Person","Code","C175574","Code_110","2023-09-29","2909bd3e-ba78-403e-b69e-7e55023c0338","http://www.cdisc.org"
"Telephone Call","Code","C171537","Code_111","2023-09-29","f0e219c5-353d-4ed0-a97a-df99ac33cdd6","http://www.cdisc.org"
"Visit","Code","C25716","Code_112","2023-09-29","d354be18-c206-4d07-b50b-7fb6e74174d2","http://www.cdisc.org"
"Clinic","Code","C51282","Code_113","2023-09-29","2b63b28f-d7d6-4f58-94e4-517d3562e5bb","http://www.cdisc.org"
"In Person","Code","C175574","Code_114","2023-09-29","858da178-1d13-47b6-a877-e178c38fddb9","http://www.cdisc.org"
"Telephone Call","Code","C171537","Code_115","2023-09-29","7cca6f81-b5b9-41d8-b61c-926978471936","http://www.cdisc.org"
"Visit","Code","C25716","Code_116","2023-09-29","5a1b7f15-088c-4088-8d43-f9709fc8e8de","http://www.cdisc.org"
"Clinic","Code","C51282","Code_117","2023-09-29","5dfa2d8f-7a8f-4eff-813b-794e00ce46a3","http://www.cdisc.org"
"In Person","Code","C175574","Code_118","2023-09-29","233d7aa3-af13-4fac-bfd9-984b8205103e","http://www.cdisc.org"
"Visit","Code","C25716","Code_119","2023-09-29","a0b2f684-4076-41d3-957b-64e66bf9c0af","http://www.cdisc.org"
"Clinic","Code","C51282","Code_120","2023-09-29","26e1d2dd-c4a9-4eff-8640-a2d0c690e83c","http://www.cdisc.org"
"In Person","Code","C175574","Code_121","2023-09-29","8cd32ddd-fdab-44c5-b5f3-9d60b6bb333e","http://www.cdisc.org"
"CT of head without contrast","Code","383371000119108","Code_79","January 31, 2018","050abdd7-6635-44c3-ad9a-4d4830791f2d","SNOMED"
"Subject Supine","Code","123","Code_80","12","995f5134-cbe9-4e05-b37c-d477e22c9768","SPONSOR"
"Subject Standing","Code","124","Code_81","12","37eec890-26fd-4925-9fcf-0fec6737b97e","SPONSOR"
"Vital Signs Result","Code","C173522","Code_278","","237065a3-578c-4a4c-81ff-91af04d4e44a","NCI Thesaurus"
"Kelvin","Code","C42537","Code_279","2023-09-29","af565268-43f9-433f-aa9c-17127bae5d3f","http://www.cdisc.org"
"Unit of Temperature","Code","C44276","Code_280","","ff50a0b6-173e-4582-9276-ca17d50105a1","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_281","","0ca26ec7-a2bd-4a48-bc4a-0ba4232fd464","NCI Thesaurus"
"Body Temperature","Code","C174446","Code_277","","b5849920-099d-4d52-a5ea-a03f296febe6","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_283","","78144215-9ac1-42f7-8014-4ced986576a8","NCI Thesaurus"
"Kilogram","Code","C28252","Code_284","2023-09-29","8a58352d-7a60-4c43-88fa-1828d8bff598","http://www.cdisc.org"
"Gram","Code","C48155","Code_285","2023-09-29","e7008494-976d-4a53-af4a-eb4ea62beeed","http://www.cdisc.org"
"Pound","Code","C48531","Code_286","2023-09-29","211d879f-a0e5-4f8d-8b13-30d28b09b3d3","http://www.cdisc.org"
"Unit of Weight","Code","C48208","Code_287","","a5f203d6-7f52-48df-a9e9-6c4307bcdf2b","NCI Thesaurus"
"Body Weight","Code","C81328","Code_282","","5be71ad3-9fc4-49fe-89a9-c13969591737","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_289","","0d5e5de3-fe88-4efb-8b26-1a427c6346f4","NCI Thesaurus"
"Centimeter","Code","C49668","Code_290","2023-09-29","8b6259e6-ab3e-4029-967b-b823d1165c47","http://www.cdisc.org"
"Inch","Code","C48500","Code_291","2023-09-29","0d90b52f-aa1c-42ae-8d34-cf107cc8795d","http://www.cdisc.org"
"Millimeter","Code","C28251","Code_292","2023-09-29","030307a9-502f-4ac4-9f68-bcae0296efff","http://www.cdisc.org"
"Meter","Code","C41139","Code_293","2023-09-29","b54cf717-49d8-4846-a35b-09e5dfb47f92","http://www.cdisc.org"
"Unit of Height","Code","C168688","Code_294","","1f7a46d0-4329-4767-8a5c-da1c76e013bc","NCI Thesaurus"
"Body Height","Code","C164634","Code_288","","b07ab0e1-bb1b-476a-8ec0-96e54557c7a3","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_296","","494d7741-e237-4a7f-a62d-0d9cde926639","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_297","","4f84c4c7-965c-4f9b-8cd0-72c8c89bad47","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","Code_298","","26b433ff-b8b0-4c92-b33b-8878a23f70d7","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_299","","216b0343-b392-4358-9af2-6efc618a7624","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code","C64433","Code_295","","95d8b66c-ce75-4475-8ac1-4e9e584e7922","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_301","","cfe4f115-a419-4786-914e-c690c7e7802b","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_302","","3b7ef779-7260-4d9c-a093-419a907bdfd7","NCI Thesaurus"
"Unit of Concentration","Code","C48207","Code_303","","82727183-251c-49b0-ad8c-8442f2190f88","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_304","","4178af39-053c-4e1d-9f7f-17ec1d50d062","NCI Thesaurus"
"Albumin Measurement","Code","C64431","Code_300","","3f03385d-0348-42bf-b89e-35bd3847d106","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_306","","ade4e916-be8f-458d-8dc6-7304657f1a02","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_307","","56d22eb3-4d3a-408b-ad21-4b5d95f61659","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","Code_308","","19d4575a-4e43-474e-a94b-dfdcee09be94","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_309","","e7ad6b2f-0dc8-4150-b7ce-512424701d07","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code","C64432","Code_305","","58756a94-c6fd-4ce9-84b7-09703ba84a65","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_311","","b26064ae-e203-499a-b369-13ec5cf35ead","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_312","","150b5d66-1363-4953-a883-24bb58414df3","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","Code_313","","280922e4-11cf-4e73-8029-eba872f85b24","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_314","","fe912e4a-3764-4435-8f65-8326c49f553b","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code","C64467","Code_310","","2b3878de-b628-4d6f-914d-e0a6b9a3873c","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_316","","b19121f3-fd47-4e6f-a7f7-e416feae863f","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_317","","d7164a17-3918-4f64-80b6-faed159c779d","NCI Thesaurus"
"Unit of Concentration","Code","C48207","Code_318","","266fc896-501b-4636-a6e8-78c45bf263ba","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_319","","4532ba29-a9af-4cca-bac3-6915ed694be5","NCI Thesaurus"
"Creatinine Measurement","Code","C64547","Code_315","","e356d7f3-0430-4d03-b707-d7864af6cce6","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_321","","f246cdb0-fa98-4308-b02d-4d5cec82a6eb","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_322","","2b0f2259-92c7-4271-bf66-c53584e55431","NCI Thesaurus"
"Molarity Unit","Code","C64567","Code_323","","b0bd7160-99f2-4431-838f-dce7dd75c6a2","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_324","","ec188827-bf64-4622-8775-5638b294d5db","NCI Thesaurus"
"Potassium Measurement","Code","C64853","Code_320","","dddd2ba0-7f07-4550-9d24-c424c1186738","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_326","","6966a9af-a314-40cf-9806-55b0af0a7149","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_327","","9d238054-3eba-4fcd-8503-14402cf62282","NCI Thesaurus"
"Molarity Unit","Code","C64567","Code_328","","97d91e27-cdc3-482d-ae58-3a7f4a37dec4","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_329","","d2397d65-ebef-4f26-a3be-b3d6a2ca5365","NCI Thesaurus"
"Sodium Measurement","Code","C64809","Code_325","","36be8e7e-b4ad-47e2-85e6-14efd6b4d841","NCI Thesaurus"
"Adverse Event Verbatim Description","Code","C78541","Code_145","","07cec79e-acaa-42ec-995d-2b3f384bf583","NCI Thesaurus"
"Adverse Event Dictionary Derived Term","Code","C83344","Code_146","","f7baf4f2-4716-450a-8c72-2ce05195d310","NCI Thesaurus"
"Adverse Event Category","Code","C83198","Code_147","","5fe302af-ed5c-4768-bab8-06def5e7b099","NCI Thesaurus"
"Adverse Event Subcategory","Code","C83212","Code_148","","fef20469-2d5a-4290-b169-c776b2c957c6","NCI Thesaurus"
"Adverse Event Pre-specified","Code","C87840","Code_149","","3414f92c-b5f1-43e9-b88d-8869253a04ac","NCI Thesaurus"
"Severity of Adverse Event","Code","C53253","Code_150","","f8b9d51c-ea7e-4e04-b402-e7734c765a63","NCI Thesaurus"
"Adverse Event Toxicity Grade","Code","C78605","Code_151","","27fc80cd-47c4-40de-bed9-1f0e99e3c89d","NCI Thesaurus"
"Seriousness of Adverse Event","Code","C53252","Code_152","","c5bd2508-f149-404d-abb7-4ea81c5ec8e9","NCI Thesaurus"
"Adverse Event Action Taken with Study Treatment","Code","C83013","Code_153","","a8bb5fc6-3695-4b36-bc2c-88f08e6bf255","NCI Thesaurus"
"Adverse Event Attribution to Product or Procedure","Code","C41358","Code_154","","43058eb4-bef8-416d-b848-200fabf9818b","NCI Thesaurus"
"Intermittent","Code","C71325","Code_155","2023-09-29","2dc0925e-e65e-4640-8f90-2f3b4c38c96a","http://www.cdisc.org"
"Adverse Event Pattern","Code","C83208","Code_156","","3c0fb38f-6f1c-4901-96c5-48b3fd290b3b","NCI Thesaurus"
"Adverse Event Outcome","Code","C49489","Code_157","","8efd521c-1434-4dbf-bb8f-bca6a87730c5","NCI Thesaurus"
"Adverse Event Start Date Time","Code","C83215","Code_158","","223c4f3a-8298-4cce-a912-2320d76e56df","NCI Thesaurus"
"Adverse Event End Date Time","Code","C83201","Code_159","","3a78ea0e-6e51-4416-809b-3161fbb603e1","NCI Thesaurus"
"Adverse Event","Code","C41331","Code_144","","99360657-400f-4d13-a3c4-dfb4b485e28e","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_161","","c8bc6f98-8309-401f-86a5-ddc8e54f84a8","NCI Thesaurus"
"Pascal","Code","C42547","Code_162","2023-09-29","51d34330-a73e-4143-8d36-41cc3705b879","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","Code_163","","419efa9f-f88c-43e5-b6d9-488e206bdeac","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_164","","c5596460-50cb-479b-9719-eba196673d5f","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_165","","6748a0fe-51a2-4e3d-b0c9-3354a20c7f01","NCI Thesaurus"
"Test Method","Code","C82535","Code_166","","b31198c2-55d7-4cb2-8f10-245af52e9143","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_167","","d928d1b4-ddae-4c20-895b-da8d0b425c78","NCI Thesaurus"
"Systolic Blood Pressure","Code","C25298","Code_160","","2e3d7adf-c70c-4984-bc39-e6bc8955e835","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_169","","44aca00a-7a95-4f5e-850c-cc8f74d5d1d2","NCI Thesaurus"
"Pascal","Code","C42547","Code_170","2023-09-29","c9330d0a-662a-4066-a432-579fda0af07a","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","Code_171","","264a7b90-502e-4e03-b126-de61db02bfe5","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_172","","72ce3b11-ed5a-4d90-b93e-45ab40afb0b1","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_173","","e479d248-b60b-4bea-8fec-4de4a69735a5","NCI Thesaurus"
"Test Method","Code","C82535","Code_174","","ee3cd715-dd06-4ad0-ab08-fcc08dcf91ff","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_175","","48c9d8b5-41bf-4b8e-9450-e86581c0dac8","NCI Thesaurus"
"Diastolic Blood Pressure","Code","C25299","Code_168","","154947e3-c2c5-4935-b54f-c61163cecc67","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_177","","4719d3f7-9a27-422d-a3c7-8b370d8123cb","NCI Thesaurus"
"Kelvin","Code","C42537","Code_178","2023-09-29","c6252951-56be-4349-bd93-08e7a77f3401","http://www.cdisc.org"
"Unit of Temperature","Code","C44276","Code_179","","44a92c94-2a8b-4814-b00d-b257af10cb89","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_180","","a952d3ab-ebe3-4560-9b54-d27e7580804f","NCI Thesaurus"
"Body Temperature","Code","C174446","Code_176","","3f931937-e2f2-4a5a-9fff-9edf88820dd5","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_182","","1e220c8b-dee0-4eda-b51c-f94bbc073822","NCI Thesaurus"
"Kilogram","Code","C28252","Code_183","2023-09-29","e2303711-11e5-436b-854f-a636f04f1fe6","http://www.cdisc.org"
"Gram","Code","C48155","Code_184","2023-09-29","4ee85433-1011-4936-abc2-e192e2fb5591","http://www.cdisc.org"
"Pound","Code","C48531","Code_185","2023-09-29","0365af75-00e6-4ae0-92c0-54b1e678e906","http://www.cdisc.org"
"Unit of Weight","Code","C48208","Code_186","","aea950bc-8c47-4ada-ab56-84b1f479b9f5","NCI Thesaurus"
"Body Weight","Code","C81328","Code_181","","b49284f5-9724-4dda-be4d-a0aaec5d1622","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_188","","e591c937-3108-423c-b717-7aa9f0cd304f","NCI Thesaurus"
"Centimeter","Code","C49668","Code_189","2023-09-29","6cabfad6-82e9-4598-8c59-ab7d50ea9f13","http://www.cdisc.org"
"Inch","Code","C48500","Code_190","2023-09-29","037e1ded-d219-44d5-8dcb-a7475180bf57","http://www.cdisc.org"
"Millimeter","Code","C28251","Code_191","2023-09-29","33bb2eb0-eb97-4156-8aa6-fc4b09ce4383","http://www.cdisc.org"
"Meter","Code","C41139","Code_192","2023-09-29","8a384767-ebfd-42a8-8b81-806ee1d5beef","http://www.cdisc.org"
"Unit of Height","Code","C168688","Code_193","","694cd805-55cf-407c-acb7-db5577693967","NCI Thesaurus"
"Body Height","Code","C164634","Code_187","","33f92a40-f9d3-4f3d-8644-a5a6bf6ba4a6","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_195","","77f69d61-25c7-4508-9623-f03b7782abaf","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_196","","885d4c24-3403-4593-9b66-7c94f7dc8068","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","Code_197","","78ab88da-dd61-42ab-b79d-3416ece5f89a","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_198","","47be5d65-ec58-466b-9f2d-3bb2dcc828e0","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code","C64433","Code_194","","4ed1455b-fcec-4507-a4f2-7823bc44eedf","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_200","","20299a4a-e627-4843-b283-d022c5e0abe7","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_201","","07c394df-15cb-4998-a551-da70a31a70da","NCI Thesaurus"
"Unit of Concentration","Code","C48207","Code_202","","9da84eda-b5ce-4761-9a6d-ab7d23c5c908","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_203","","81bbdbf9-f308-4439-8b7d-da91a79bb736","NCI Thesaurus"
"Albumin Measurement","Code","C64431","Code_199","","3b402f52-1593-4c00-8298-e7bba640c335","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_205","","e8582b24-a4ea-4ca1-96de-7b919c1f1160","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_206","","29aa018b-7ab0-4a13-9b2f-1e413a0a11e9","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","Code_207","","bc8afd6b-cb78-468a-91d9-fab5ff429a43","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_208","","a901c088-ffd8-486b-8791-5f5884c71ea3","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code","C64432","Code_204","","2146cc63-dd1f-470e-8a88-e0d7a862b8b8","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_210","","48d10b2b-8aae-4b0b-853f-4562d5a2ef77","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_211","","bd41c28e-0de5-45e2-b6f9-6a5941bcbb82","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code","C67365","Code_212","","c6edf698-b3e7-452c-a668-28d13f8d6458","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_213","","f6d0ef96-3fed-40a6-a790-c77b5337179c","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code","C64467","Code_209","","e480349b-13df-48f5-8dcd-2dca2d7faace","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_215","","674529e2-4d52-4204-ae94-e70914b4da82","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_216","","40dcd723-8e3b-4288-9167-fce9c121558c","NCI Thesaurus"
"Unit of Concentration","Code","C48207","Code_217","","97ebd91e-08a1-4f5c-b8a3-75e85959e1ec","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_218","","6ceec319-2e79-4261-bf75-5f162478fda7","NCI Thesaurus"
"Creatinine Measurement","Code","C64547","Code_214","","486c02c4-dfd4-42f7-8401-cc9a32e057c2","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_220","","a456586f-863b-49dc-8cd7-0324defe892a","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_221","","400f1cf0-008d-4e85-9b7f-0e60afa63b46","NCI Thesaurus"
"Molarity Unit","Code","C64567","Code_222","","e744fba7-7af8-4a44-ae76-fd459bf4da0c","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_223","","41b44869-05e7-4776-9c2e-d51cccae2333","NCI Thesaurus"
"Potassium Measurement","Code","C64853","Code_219","","6def18ff-530d-473b-a3ad-153461a7ac9f","NCI Thesaurus"
"Laboratory Test Result","Code","C36292","Code_225","","0bb4ec18-a9f9-4983-8360-a03c9de40bb0","NCI Thesaurus"
"Laboratory Test Fasting Status","Code","C83309","Code_226","","1089f569-06a6-4c6a-9286-c1a91343838d","NCI Thesaurus"
"Molarity Unit","Code","C64567","Code_227","","11599d8d-0f0f-4740-b6b0-c2cc58db5e6d","NCI Thesaurus"
"Biospecimen Type","Code","C70713","Code_228","","b1135330-51d3-4a3b-b9c6-48500d0523eb","NCI Thesaurus"
"Sodium Measurement","Code","C64809","Code_224","","eaed3e79-e909-4a0a-b2a0-7195ae6af791","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_230","","b2691db8-d593-4a2e-a8fa-88a8a0bac4b3","NCI Thesaurus"
"Pascal","Code","C42547","Code_231","2023-09-29","35b66a03-9d02-4480-9b92-6ad34284c986","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","Code_232","","248de700-161e-451d-87b8-7985b8e4d549","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_233","","0614be9f-dea1-4a5e-a719-7ae0dc52ecba","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_234","","04c87b72-fa83-4460-8cc2-947c5dc8cae5","NCI Thesaurus"
"Test Method","Code","C82535","Code_235","","20a9eb0d-af7f-4f29-a281-7d32b4d8932d","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_236","","162b9134-c352-4c58-bcdc-723e037d4bfb","NCI Thesaurus"
"Systolic Blood Pressure","Code","C25298","Code_229","","bfb471d0-0dc0-4d0b-b398-962afb8cb4b5","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_238","","0b20945c-9eec-4614-8458-d66f46f9cb78","NCI Thesaurus"
"Pascal","Code","C42547","Code_239","2023-09-29","be6be6f4-1e6f-4c40-8430-14a4206f52d9","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","Code_240","","64ae7868-8a5a-490f-bff9-72e24ba6a572","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_241","","3dba69fa-f007-41ec-a6cf-76e1a410b89a","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_242","","218feb2e-c421-41d8-9de1-ca4f795b7eed","NCI Thesaurus"
"Test Method","Code","C82535","Code_243","","21c74236-b64d-4aa4-9ccd-489f6f2fe2b9","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_244","","052eb2cb-848e-4138-82a7-55ba13a29d2f","NCI Thesaurus"
"Diastolic Blood Pressure","Code","C25299","Code_237","","914a7535-4056-4d95-8c8f-270db626ee85","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_246","","41d2e377-5a1a-4e24-ac04-ef3a26460e3a","NCI Thesaurus"
"Beats per Minute","Code","C49673","Code_247","2023-09-29","ae107996-a395-4713-adc0-d2278ca6cb50","http://www.cdisc.org"
