"name","instanceType","label","datatype","isEnabled","isRequired","id","uuid:ID"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_111","e00d017c-fced-4d35-b735-fc1b50de2e28"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_112","22d69384-4810-49f3-9fda-a95540127b2b"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_113","1f8ffe98-9578-43d5-a119-0ff659cab1d6"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","string","True","True","BiomedicalConceptProperty_114","f018e1df-114a-484d-a051-58f984299dfe"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_115","a3e0501e-e151-43fa-91f5-020ac9d0813e"
"Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","string","True","True","BiomedicalConceptProperty_116","05452436-a8b8-4391-8fc9-df40ce5e8ee2"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_117","367b8cfe-4d67-4971-9f2b-52fd473edf7b"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_118","18412f4a-0294-4369-9576-92011d634e61"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_119","4e3a31b9-7084-4682-bd45-53ac4d141745"
"Molarity Unit","BiomedicalConceptProperty","Molarity Unit","string","True","True","BiomedicalConceptProperty_120","72e38a36-e2f8-46ad-b238-4062b6b134aa"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_121","572d0ece-af92-408e-91d5-7875cd04eb8c"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_122","e2c6896c-92b0-453a-8e29-b6dd10c26587"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_123","83a46b5c-deec-42d5-a99a-eb651193bb25"
"Molarity Unit","BiomedicalConceptProperty","Molarity Unit","string","True","True","BiomedicalConceptProperty_124","521bedb8-cd55-49a1-974d-176084fb5a0e"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_125","e8bd79dc-24c7-4396-a71d-5b313429b517"
"Reported Event Term","BiomedicalConceptProperty","Reported Event Term","string","True","True","BiomedicalConceptProperty_1","2baafa01-aa2c-4ad9-9f9d-d087f918a621"
"Dictionary-derived Term","BiomedicalConceptProperty","Dictionary-derived Term","string","True","True","BiomedicalConceptProperty_2","16c1a59e-9c98-4142-a79f-80a9983854fe"
"Category","BiomedicalConceptProperty","Category","string","True","True","BiomedicalConceptProperty_3","6b66fd1c-b4e0-4a99-b085-bc1fcf631095"
"Subcategory","BiomedicalConceptProperty","Subcategory","string","True","True","BiomedicalConceptProperty_4","19ec9cfd-2c4c-4f02-bb06-93ebad32fd68"
"Observation Start Date Time","BiomedicalConceptProperty","Observation Start Date Time","datetime","True","True","BiomedicalConceptProperty_5","31555090-c702-46a8-9ddc-4e5487151049"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_6","6dba48a2-e25b-43a5-84a6-d33961d7dbd1"
"Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","string","True","True","BiomedicalConceptProperty_7","f7c326b9-57bf-4574-9413-5f3738a4c2bf"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_8","9172fa3b-6ad0-446b-aa75-5e4d970e4cb2"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_9","2d757cf9-ef79-422a-8b26-1a996726e900"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_10","895432f6-abe5-43cf-87fc-b3265305653d"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_11","2c6f383f-4328-49ee-b80a-f910ebcb1cf3"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_12","d56c3fac-45bf-4716-b57e-627bab8335be"
"Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","string","True","True","BiomedicalConceptProperty_13","86f6fd83-950b-4a4b-ae85-4c1ad3514bac"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_14","e5ad0671-31e4-43fb-b0c9-174c30b4f11f"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_15","94d59e20-9cf8-488b-9613-d09a2606cc8c"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_16","e1314283-2dab-4168-8fd3-cf78362515cb"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_17","5aa4c2f1-6a4e-4bcd-8de1-551e7ea4b47b"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_18","79db7fc0-53dd-4cc2-a386-eb361ebc3276"
"Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature","string","True","True","BiomedicalConceptProperty_19","3f50d9ba-0cb7-4820-ac22-4a838d3493b8"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_20","9267b664-6c64-4315-aa76-e16207e03038"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_21","29689d3c-d853-46b0-844a-ca6ffec47d67"
"Unit of Weight","BiomedicalConceptProperty","Unit of Weight","string","True","True","BiomedicalConceptProperty_22","5437e9d2-1f0b-4742-aa76-a8d9ba241270"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_23","4a24baf4-d1a1-463a-ad15-7755a3edd984"
"Unit of Height","BiomedicalConceptProperty","Unit of Height","string","True","True","BiomedicalConceptProperty_24","f1b7cc14-9e9c-462b-bad0-46590870eefe"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_25","82c8813c-34e6-4ffc-b391-c5337ee84eae"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_26","88b5525f-3482-4708-b317-7fcbf7a3e267"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_27","bd728be7-240c-4cc7-a426-8d5e73eb0d48"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_28","8b0b9c11-1459-472f-934b-3aaa3faf59e7"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","string","True","True","BiomedicalConceptProperty_29","1ebf7fe6-9b26-4611-a3cb-0c55f25f0e81"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_30","4c6d3292-e393-4511-ac57-a76dc2f1a3ca"
"Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","string","True","True","BiomedicalConceptProperty_31","e56f647e-da1f-47a0-8991-de1788297364"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_32","3fbd15b1-002e-4c76-8378-c7f6170c1263"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_33","0d1c45da-8024-4461-98db-9c301acf4533"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_34","42e1ca58-afcd-4337-8fef-e9fbe27a3b87"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_35","d09e5735-61cf-42c3-bd5e-b8907ddd7e58"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_36","52a08333-c916-4266-a181-2bce90dc8618"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_37","002bb245-0077-4899-b556-08b4a75f2713"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_38","eb1959b3-755d-426a-bfc8-9f394d28d24c"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_39","36c7c74b-5dcf-423f-9e7e-f24c810a862e"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_40","bb3fd84d-20b3-4bc7-b092-58f9674690a4"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","string","True","True","BiomedicalConceptProperty_41","69696e7c-4295-4373-8c74-1f1b36116fb4"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_42","54f87d17-f166-4ceb-97fc-286b5a899576"
"Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","string","True","True","BiomedicalConceptProperty_43","cbeb0099-88cf-4c9b-84ee-40ebe104d764"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_44","77031717-d3e2-4e7b-a38e-d815e115dd66"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_45","0d851321-a17d-4fc3-a0c0-a2a5df4843b9"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_46","8e6464e8-576d-488b-a1cc-f3c719105d6f"
"Molarity Unit","BiomedicalConceptProperty","Molarity Unit","string","True","True","BiomedicalConceptProperty_47","4983cd46-e201-4fd4-b152-c7bd74830484"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_48","10f71467-3a24-417b-96f4-f6c807313214"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_49","384ccb42-acd9-43a3-9d85-51470186f715"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_50","88a25e16-f21c-40a0-bee7-a07feb62e1b5"
"Molarity Unit","BiomedicalConceptProperty","Molarity Unit","string","True","True","BiomedicalConceptProperty_51","c3d334e5-403b-49c0-b570-dcdc1175c860"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_52","cc68ee7b-f224-450c-9515-3956fc5c4276"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_53","34c3ecae-1ca2-41e4-9a1a-c05fc071d1c6"
"Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","string","True","True","BiomedicalConceptProperty_54","a9c29e1a-3824-423c-860b-d8a3d7bd1e13"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_55","bb03bbeb-6bae-4a2c-b73a-59d0bc3f929e"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_56","91a33311-1606-415b-b6f2-e3338113b372"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_57","de137a4b-7cf4-4df5-a0da-dcba5fffa0cc"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_58","833d4cbf-19e5-4bed-a420-3c4fb2abccda"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_59","a1661c80-2707-476c-8198-391f16d198c3"
"Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","string","True","True","BiomedicalConceptProperty_60","585063af-5f68-4ce6-b3a7-29228cfab895"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_61","d8982b08-c1be-4fb0-96d4-096e48a4b3c0"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_62","71209320-3ef3-49eb-940d-199f9964812c"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_63","a9840d51-2a7f-4157-bf26-33d3ba804ebf"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_64","dc7cbf43-9544-408a-b296-e5d2d78f8b40"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","integer","True","True","BiomedicalConceptProperty_65","22659c50-7da9-4338-9a0c-ffe767793c4a"
"Count per Minute","BiomedicalConceptProperty","Count per Minute","string","True","True","BiomedicalConceptProperty_66","a1ea302f-ad57-41dc-9109-35dbe016c444"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_67","94c24785-79f8-418a-a3cc-3f8acb7f2b90"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_68","de908443-3f07-4e62-9fe6-19d8ca961eff"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_69","27424751-b82d-414b-8877-acebde37df01"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_70","bab379cb-4fb5-447d-a94e-fce755bebefc"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_71","ff6a037d-a412-472d-9475-1ac58c38a81c"
"Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","string","True","True","BiomedicalConceptProperty_72","754085c7-c846-4613-ab33-6064c11e736b"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_73","db4b38f0-4195-442e-a88c-5add2aa8f76c"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_74","a6fdbdad-e167-434e-8565-9b3d3823c419"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_75","80c0fe6e-a9f9-4c6d-8203-f1c33ab75535"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_76","5f6e4943-3585-4ec4-8103-22e2cb490465"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_77","0f3ca5bf-2044-44d7-84bf-7dfa5ddd4d58"
"Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","string","True","True","BiomedicalConceptProperty_78","8a25d815-757a-4477-853a-241ca5b16c4b"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_79","8c27dada-6527-46ec-af0f-52ccf1328118"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_80","bc449fc3-f9cd-41f2-b46c-3aeddd70330a"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_81","83a50d74-f645-49a7-93ad-5a5c03aeb3cd"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_82","bc1ce2b4-2d08-41d5-aff7-9eee51675ae7"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","integer","True","True","BiomedicalConceptProperty_83","ba3f6d8b-aa23-4f21-8d2b-2f6b149b9560"
"Count per Minute","BiomedicalConceptProperty","Count per Minute","string","True","True","BiomedicalConceptProperty_84","8e28315c-cb92-46ca-8d06-ff102a71af48"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_85","630200fa-27e1-477e-896e-e2e47c437559"
"Laterality","BiomedicalConceptProperty","Laterality","string","True","True","BiomedicalConceptProperty_86","1094b54d-5500-489a-9a90-eb2baceeb0ec"
"Test Method","BiomedicalConceptProperty","Test Method","string","True","True","BiomedicalConceptProperty_87","1b36382c-df5a-42ec-99ad-2592ae95c9d2"
"Body Position","BiomedicalConceptProperty","Body Position","string","True","True","BiomedicalConceptProperty_88","1d3aec5b-2ed5-42d3-9ba6-1074e5937498"
