"name","instanceType","label","reference","synonyms","id","uuid:ID"
"Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7","288e4b85-9a9e-4991-90b4-3ce8cf848e91"
"Albumin Measurement","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8","a40be6ed-17c6-4e3f-beb8-c32534213565"
"Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9","d9c27418-332c-4331-b1f9-b9268989f040"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10","be0f27d2-6671-427f-b222-deddf88d7992"
"Creatinine Measurement","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11","aec3ce87-b28d-4a6b-82cf-ea2c739d0c17"
"Potassium Measurement","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_12","2a9b20f2-bf2a-4086-9ffe-259c89dd2a11"
"Sodium Measurement","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_13","093e3895-7e79-4b78-a74b-c061ea79b35f"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_14","c932c274-4121-4028-a6bb-0693e79a5af9"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_15","4562289d-5d09-4068-9084-a7c1c960fa93"
"Heart Rate","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","BiomedicalConcept_16","45fd8cf2-f550-4fc7-a4fe-cf400cde065d"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_17","d6561cf0-62d1-4e5a-956d-408528e24fc2"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_18","97f8b05f-d2a9-4b0e-ac84-036e8d3d87e3"
"Heart Rate","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","BiomedicalConcept_19","ca0b1527-05df-4708-b320-290a2b7586c2"
