"instanceType","sectionNumber","name","id","sectionTitle","text","uuid:ID"
"NarrativeContent","4.2.1","SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","3313a0ad-f7e4-478d-a22a-82309e0b87d3"
"NarrativeContent","4.2.2","SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","<div></div>","54d3f7b0-f122-415d-8f5b-ebaa2ee62d54"
"NarrativeContent","4.2.3","SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","<div></div>","385728a5-736c-4a75-975f-91875dff6c46"
"NarrativeContent","4.3","SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","<div></div>","aba16b64-13ab-4eee-8db1-83d7f3a944dd"
"NarrativeContent","4.4","SECTION 4.4","NarrativeContent_20","Start of Trial and End of Trial","<div></div>","070005ec-d134-42b3-a0ca-6dd6c7dd309b"
"NarrativeContent","5","SECTION 5","NarrativeContent_21","TRIAL POPULATION","<div></div>","dbb331e6-5edb-4fdf-9196-014254370f85"
"NarrativeContent","5.1","SECTION 5.1","NarrativeContent_22","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","80396369-085b-4cbe-aa4c-4d9c7653fbb9"
"NarrativeContent","5.2","SECTION 5.2","NarrativeContent_23","Rationale for Trial Population","<div></div>","6723bf0e-9a68-45cf-8bb5-4fa6f656b8e3"
"NarrativeContent","5.3","SECTION 5.3","NarrativeContent_24","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","ad63cb7c-5a38-4560-ba06-f92ab660ef46"
"NarrativeContent","5.4","SECTION 5.4","NarrativeContent_25","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","ca70af93-7b63-466e-9efb-b951b695abf7"
"NarrativeContent","5.5","SECTION 5.5","NarrativeContent_26","Lifestyle Considerations","<div></div>","a79438aa-d6ed-4636-948d-d0eca251020f"
"NarrativeContent","5.5.1","SECTION 5.5.1","NarrativeContent_27","Meals and Dietary Restrictions","<div></div>","935a2f15-f175-4c12-879b-cadf39456609"
"NarrativeContent","5.5.2","SECTION 5.5.2","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","77a93859-d4ea-4baa-aad4-701e7d9ee6b7"
"NarrativeContent","5.5.3","SECTION 5.5.3","NarrativeContent_29","Physical Activity","<div></div>","15deafcd-45cc-42d6-8d8e-b11e295a6f75"
"NarrativeContent","5.5.4","SECTION 5.5.4","NarrativeContent_30","Other Activity","<div></div>","67f29e3e-93a9-4f32-8ebd-57e9ef4ca2c2"
"NarrativeContent","5.6","SECTION 5.6","NarrativeContent_31","Screen Failures","<div></div>","a2b64db6-0eb5-4a5f-89e9-75769a1dc5fc"
"NarrativeContent","6","SECTION 6","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","38f46ed6-b001-4182-b37e-9e3ea5e49239"
"NarrativeContent","6.1","SECTION 6.1","NarrativeContent_33","Description of Trial Intervention","<div></div>","9d041e94-640a-4ad1-aab9-cab4cbbccc01"
"NarrativeContent","6.2","SECTION 6.2","NarrativeContent_34","Rationale for Trial Intervention","<div></div>","ecbef594-e998-4131-939d-fb41fb3f0d82"
"NarrativeContent","6.3","SECTION 6.3","NarrativeContent_35","Dosing and Administration","<div></div>","04cfc691-1223-44ca-9ea8-42a3e9e73c1b"
"NarrativeContent","6.3.1","SECTION 6.3.1","NarrativeContent_36","Trial Intervention Dose Modification","<div></div>","1d5a7773-1054-4ed1-a734-4bce98b575ae"
"NarrativeContent","6.4","SECTION 6.4","NarrativeContent_37","Treatment of Overdose","<div></div>","1c921c3d-c4fa-4fec-b39c-3964a8e95c95"
"NarrativeContent","6.5","SECTION 6.5","NarrativeContent_38","Preparation, Handling, Storage and Accountability","<div></div>","d41a7b13-5ca7-4983-8df4-653015bb7920"
"NarrativeContent","6.5.1","SECTION 6.5.1","NarrativeContent_39","Preparation of Trial Intervention","<div></div>","062d2924-caeb-4538-aaf0-c0bf14e49324"
"NarrativeContent","6.5.2","SECTION 6.5.2","NarrativeContent_40","Handling and Storage of Trial Intervention","<div></div>","e4f36158-516b-40a3-858e-43a2f8792295"
"NarrativeContent","6.5.3","SECTION 6.5.3","NarrativeContent_41","Accountability of Trial Intervention","<div></div>","9bfd0956-185d-46b3-b086-b1626a5410a5"
"NarrativeContent","6.6","SECTION 6.6","NarrativeContent_42","Participant Assignment, Randomisation and Blinding","<div></div>","d5394fe7-f1d6-4569-9773-a49615e16f37"
"NarrativeContent","6.6.1","SECTION 6.6.1","NarrativeContent_43","Participant Assignment","<div></div>","d4a0abb4-973c-4d4b-8946-6be18e14f13a"
"NarrativeContent","6.6.2","SECTION 6.6.2","NarrativeContent_44","Randomisation","<div></div>","025c7dff-b300-44ab-b250-56408347742d"
"NarrativeContent","6.6.3","SECTION 6.6.3","NarrativeContent_45","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","565dcca7-563e-4bfb-ab02-55c5abaa908a"
"NarrativeContent","6.7","SECTION 6.7","NarrativeContent_46","Trial Intervention Compliance","<div></div>","0ffa1567-89d4-415a-9f06-cf7df29e6c19"
"NarrativeContent","6.8","SECTION 6.8","NarrativeContent_47","Concomitant Therapy","<div></div>","e01fcd56-f343-48f8-9175-b9cd33f1aab6"
"NarrativeContent","6.8.1","SECTION 6.8.1","NarrativeContent_48","Prohibited Concomitant Therapy","<div></div>","6436a8a3-4820-4f5c-b346-a3f93c0c2cd8"
"NarrativeContent","6.8.2","SECTION 6.8.2","NarrativeContent_49","Permitted Concomitant Therapy","<div></div>","3d15e955-b1a4-4e3a-8bed-5422f58227b7"
"NarrativeContent","6.8.3","SECTION 6.8.3","NarrativeContent_50","Rescue Therapy","<div></div>","aa8369f6-093c-405e-90da-2fc9e62a0dd1"
"NarrativeContent","6.8.4","SECTION 6.8.4","NarrativeContent_51","Other Therapy","<div></div>","58dd7cb3-1af4-48d5-89cc-1b6adecc776a"
"NarrativeContent","7","SECTION 7","NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","b0820e15-9510-464b-afc0-50592ccdd0a2"
"NarrativeContent","7.1","SECTION 7.1","NarrativeContent_53","Discontinuation of Trial Intervention","<div></div>","3a18278e-a47a-4546-b516-1deae73ead29"
"NarrativeContent","7.1.1","SECTION 7.1.1","NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","6c094932-7971-477b-8a01-8e0d3cef2a76"
"NarrativeContent","7.1.2","SECTION 7.1.2","NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","0ee40e20-2463-4fbc-ac41-e9ba3dd67ec9"
"NarrativeContent","7.1.3","SECTION 7.1.3","NarrativeContent_56","Rechallenge","<div></div>","de728338-fc67-4a4b-bf59-ebac2ccdaa92"
"NarrativeContent","7.2","SECTION 7.2","NarrativeContent_57","Participant Withdrawal from the Trial","<div></div>","bb6cbdce-2027-4e14-ba60-6c239049ffa9"
"NarrativeContent","7.3","SECTION 7.3","NarrativeContent_58","Lost to Follow-Up","<div></div>","674b29db-b5fd-448f-838f-5d48f8925851"
"NarrativeContent","7.4","SECTION 7.4","NarrativeContent_59","Trial Stopping Rules","<div></div>","a6648a4a-d696-4970-b5c6-8d90e2bb08f5"
"NarrativeContent","8","SECTION 8","NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","a2887269-d09a-406c-84cc-e7ea7d78b776"
"NarrativeContent","8.1","SECTION 8.1","NarrativeContent_61","Screening/Baseline Assessments and Procedures","<div></div>","4997b258-b9a2-4a62-88e4-a81eb933e36a"
"NarrativeContent","8.2","SECTION 8.2","NarrativeContent_62","Efficacy Assessments and Procedures","<div></div>","0ee81c74-ced1-45bf-befb-35ea88357353"
"NarrativeContent","8.3","SECTION 8.3","NarrativeContent_63","Safety Assessments and Procedures","<div></div>","304df406-da86-475c-9405-18caac8f587e"
"NarrativeContent","8.3.1","SECTION 8.3.1","NarrativeContent_64","Physical Examination","<div></div>","f9291efc-e145-433e-971d-b01aa1a2a9ba"
"NarrativeContent","8.3.2","SECTION 8.3.2","NarrativeContent_65","Vital Signs","<div></div>","af8d2039-befd-44de-80a7-26a0c0617c01"
"NarrativeContent","8.3.3","SECTION 8.3.3","NarrativeContent_66","Electrocardiograms","<div></div>","807aa7a9-9d51-4b55-82ad-3bb16062fa11"
"NarrativeContent","8.3.4","SECTION 8.3.4","NarrativeContent_67","Clinical Laboratory Assessments","<div></div>","3742c63c-437f-4e74-aa7c-514a0126bde3"
"NarrativeContent","8.3.5","SECTION 8.3.5","NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","a7f1ff21-8d01-4852-bcab-7ffb152f1a03"
"NarrativeContent","8.4","SECTION 8.4","NarrativeContent_69","Adverse Events and Serious Adverse Events","<div></div>","0fb79832-4cf2-4242-bdad-92130d35cb30"
"NarrativeContent","8.4.1","SECTION 8.4.1","NarrativeContent_70","Definitions of AE and SAE","<div></div>","62a61d74-de36-4fc9-bfa6-182cfea06e18"
"NarrativeContent","8.4.2","SECTION 8.4.2","NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","<div></div>","bbbce633-5010-4d86-91a3-7ceb83305dae"
"NarrativeContent","8.4.3","SECTION 8.4.3","NarrativeContent_72","Identifying AEs and SAEs","<div></div>","9ee57aea-c05d-458d-833e-0bf48c29a846"
"NarrativeContent","8.4.4","SECTION 8.4.4","NarrativeContent_73","Recording of AEs and SAEs","<div></div>","806436cd-5753-4248-823b-051dedd9f4ed"
"NarrativeContent","8.4.5","SECTION 8.4.5","NarrativeContent_74","Follow-up of AEs and SAEs","<div></div>","49c201db-5f24-454c-86c2-7164d07f8056"
"NarrativeContent","8.4.6","SECTION 8.4.6","NarrativeContent_75","Reporting of SAEs","<div></div>","7dbaf454-aa76-42b1-bfd2-314b902040ca"
"NarrativeContent","8.4.7","SECTION 8.4.7","NarrativeContent_76","Regulatory Reporting Requirements for SAEs","<div></div>","a4cf1860-5a71-4609-a4c4-965af96fa1dd"
"NarrativeContent","8.4.8","SECTION 8.4.8","NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","<div></div>","03a87821-c482-41c5-9ee8-10b6f94a376b"
"NarrativeContent","8.4.9","SECTION 8.4.9","NarrativeContent_78","Adverse Events of Special Interest","<div></div>","689e260f-b130-4062-b6ce-e62bde33f98c"
"NarrativeContent","8.4.10","SECTION 8.4.10","NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","9a930a72-3f1e-4079-a666-6fa0cbc2d9cc"
"NarrativeContent","8.5","SECTION 8.5","NarrativeContent_80","Pregnancy and Postpartum Information","<div></div>","3e6bd00e-7895-439e-94ad-19979a069b7f"
"NarrativeContent","8.5.1","SECTION 8.5.1","NarrativeContent_81","Participants Who Become Pregnant During the Trial","<div></div>","8b32f849-8b44-4362-a00c-bc90f19350e4"
"NarrativeContent","8.5.2","SECTION 8.5.2","NarrativeContent_82","Participants Whose Partners Become Pregnant","<div></div>","deb02f21-7256-44f9-8e7a-010a06ad3619"
"NarrativeContent","8.6","SECTION 8.6","NarrativeContent_83","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","6f0f71eb-7db0-418e-8ee9-a0a0e130f8af"
"NarrativeContent","8.6.1","SECTION 8.6.1","NarrativeContent_84","Definition of Medical Device Product Complaints","<div></div>","546a9f88-2316-4c2c-b5d3-cd00d839c947"
"NarrativeContent","8.6.2","SECTION 8.6.2","NarrativeContent_85","Recording of Medical Device Product Complaints","<div></div>","9a6e1ec3-7a54-48e8-a907-252aafb8d8c9"
"NarrativeContent","8.6.3","SECTION 8.6.3","NarrativeContent_86","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","b0a6607c-ff92-4c04-8afb-a28b08dfe119"
"NarrativeContent","8.6.4","SECTION 8.6.4","NarrativeContent_87","Follow-Up of Medical Device Product Complaints","<div></div>","a478e09b-9bf2-47ec-899f-8c3bab427d11"
"NarrativeContent","8.6.5","SECTION 8.6.5","NarrativeContent_88","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","11129756-ef5f-4421-a65c-f86335de06b0"
"NarrativeContent","8.7","SECTION 8.7","NarrativeContent_89","Pharmacokinetics","<div></div>","481fa4e7-fa8d-4a15-a764-a8e8c7001a91"
"NarrativeContent","8.8","SECTION 8.8","NarrativeContent_90","Genetics","<div></div>","7afed3aa-737e-4175-b736-667e0da81da9"
"NarrativeContent","8.9","SECTION 8.9","NarrativeContent_91","Biomarkers","<div></div>","ccde352b-104c-4aaf-a261-6daa5c26f264"
"NarrativeContent","8.1","SECTION 8.1","NarrativeContent_92","Immunogenicity Assessments","<div></div>","ecf47c1a-12e0-4606-a7b5-caadccc25655"
"NarrativeContent","8.1.1","SECTION 8.1.1","NarrativeContent_93","Medical Resource Utilisation and Health Economics","<div></div>","58b5b647-47ca-47eb-8069-ac68d5846800"
"NarrativeContent","9","SECTION 9","NarrativeContent_94","STATISTICAL CONSIDERATIONS","<div></div>","d6988505-cf10-4081-b995-e07c12b75541"
"NarrativeContent","9.1","SECTION 9.1","NarrativeContent_95","Analysis Sets","<div></div>","4bc60f42-a1ba-45fd-ae1c-e97a8fdcc347"
"NarrativeContent","9.2","SECTION 9.2","NarrativeContent_96","Analyses Supporting Primary Objective(s)","<div></div>","fd89d34a-8087-4a81-8d79-f85af81ed3b0"
"NarrativeContent","9.2.1","SECTION 9.2.1","NarrativeContent_97","Statistical Model, Hypothesis, and Method of Analysis","<div></div>","e1865359-8ae1-4246-9080-40dafe7f929b"
"NarrativeContent","9.2.2","SECTION 9.2.2","NarrativeContent_98","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","20d1d9e7-7eec-4fb8-a60c-bdcb773456dc"
"NarrativeContent","9.2.3","SECTION 9.2.3","NarrativeContent_99","Handling of Missing Data","<div></div>","c8749e1a-49a1-4c3b-a968-b96043bc3162"
"NarrativeContent","9.2.4","SECTION 9.2.4","NarrativeContent_100","Sensitivity Analysis","<div></div>","b7cb9393-cf35-4b6a-8c56-d4d324e24e69"
"NarrativeContent","9.2.5","SECTION 9.2.5","NarrativeContent_101","Supplementary Analysis","<div></div>","450c896d-2a72-4b1c-87f4-45c0da67a7db"
"NarrativeContent","9.3","SECTION 9.3","NarrativeContent_102","Analysis Supporting Secondary Objective(s)","<div></div>","2a19e236-3c3b-4a30-bd5e-230aad5198a0"
"NarrativeContent","9.4","SECTION 9.4","NarrativeContent_103","Analysis of Exploratory Objective(s)","<div></div>","e811c0c6-9c35-49e1-9196-d44d49869e3e"
"NarrativeContent","9.5","SECTION 9.5","NarrativeContent_104","Safety Analyses","<div></div>","70ff5e8d-4157-4ad0-89fa-c189180bac6d"
"NarrativeContent","9.6","SECTION 9.6","NarrativeContent_105","Other Analyses","<div></div>","0893d704-aba9-4e38-8511-cbdfc41b0904"
"NarrativeContent","9.7","SECTION 9.7","NarrativeContent_106","Interim Analyses","<div></div>","99c732c6-c3b9-4d73-8949-d0932cf5579d"
"NarrativeContent","9.8","SECTION 9.8","NarrativeContent_107","Sample Size Determination","<div></div>","5a41a622-568d-4dcb-b946-7f3cf883cd4b"
"NarrativeContent","9.9","SECTION 9.9","NarrativeContent_108","Protocol Deviations","<div></div>","d8ce00dc-d610-4c92-9276-8af1b6d24963"
"NarrativeContent","10","SECTION 10","NarrativeContent_109","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","7bfa8643-219f-46b0-a2cf-20093f4270e9"
"NarrativeContent","10.1","SECTION 10.1","NarrativeContent_110","Regulatory and Ethical Considerations","<div></div>","2d507453-ad51-467f-9a64-8ae8cc86e393"
"NarrativeContent","10.2","SECTION 10.2","NarrativeContent_111","Committees","<div></div>","10a8950e-afad-4a35-bbaf-f5ba20ecdb53"
"NarrativeContent","10.3","SECTION 10.3","NarrativeContent_112","Informed Consent Process","<div></div>","a1d441d0-a727-4aa8-92fc-497b6a7acabd"
"NarrativeContent","10.4","SECTION 10.4","NarrativeContent_113","Data Protection","<div></div>","92631bd5-3c98-4be2-98c0-a735c5b572bf"
"NarrativeContent","10.5","SECTION 10.5","NarrativeContent_114","Early Site Closure or Trial Termination","<div></div>","a3387598-ab1a-4ea2-a97f-415326dba22c"
"NarrativeContent","11","SECTION 11","NarrativeContent_115","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","3446f5f4-0f42-449f-8e8f-86e6c69a1dc8"
"NarrativeContent","11.1","SECTION 11.1","NarrativeContent_116","Quality Tolerance Limits","<div></div>","62b5024a-2cb6-4a81-8286-3e846726adaf"
"NarrativeContent","11.2","SECTION 11.2","NarrativeContent_117","Data Quality Assurance","<div></div>","6697845e-4f15-4155-ad2b-a2dd9c7a63f8"
"NarrativeContent","11.3","SECTION 11.3","NarrativeContent_118","Source Data","<div></div>","68a58c81-ac03-4e7d-8be6-07580e3b5bf8"
"NarrativeContent","12","SECTION 12","NarrativeContent_119","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","4ae56e9b-a458-4a3e-be86-640b3c03b916"
"NarrativeContent","12.1","SECTION 12.1","NarrativeContent_120","Further Details and Clarifications on the AE Definition","<div></div>","7cdcbd6a-d5b0-4d3f-a1f5-20a0b39a006c"
"NarrativeContent","12.2","SECTION 12.2","NarrativeContent_121","Further Details and Clarifications on the SAE Definition","<div></div>","7ca44d69-5416-46b6-97e7-8b850298db4d"
"NarrativeContent","12.3","SECTION 12.3","NarrativeContent_122","Severity","<div></div>","a957639c-dcf0-46bc-a0f6-0f16b6a9d550"
"NarrativeContent","12.4","SECTION 12.4","NarrativeContent_123","Causality","<div></div>","df3cb73d-f28b-40be-aa8d-455633f3edec"
"NarrativeContent","13","SECTION 13","NarrativeContent_124","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","5373e088-62ca-4086-8e78-ea6f8fda2f01"
"NarrativeContent","13.1","SECTION 13.1","NarrativeContent_125","Contraception and Pregnancy Testing","<div></div>","e016093c-22d4-484a-a6d1-902b8cad27ae"
"NarrativeContent","13.1.1","SECTION 13.1.1","NarrativeContent_126","Definitions Related to Childbearing Potential","<div></div>","8ec2943e-497f-4a2a-ad71-daffeeb2a56f"
"NarrativeContent","13.1.2","SECTION 13.1.2","NarrativeContent_127","Contraception","<div></div>","65c59d15-3504-4130-bb9d-dd67158a20aa"
"NarrativeContent","13.1.3","SECTION 13.1.3","NarrativeContent_128","Pregnancy Testing","<div></div>","e693ab34-74f1-4502-928b-e2fd32df8f67"
"NarrativeContent","13.2","SECTION 13.2","NarrativeContent_129","Clinical Laboratory Tests","<div></div>","7a2b329c-a1d7-4f16-b99a-a589f6ffa933"
"NarrativeContent","13.3","SECTION 13.3","NarrativeContent_130","Country/Region-Specific Differences","<div></div>","261ffc21-3d13-4159-b30d-dd6c96004400"
"NarrativeContent","13.4","SECTION 13.4","NarrativeContent_131","Prior Protocol Amendments","<div></div>","266fb378-5b80-4ff9-bf9e-80cc9517a6b6"
"NarrativeContent","14","SECTION 14","NarrativeContent_132","APPENDIX: GLOSSARY OF TERMS","<div></div>","af30574b-bb56-459b-bec8-3f6ebe2b8c27"
"NarrativeContent","15","SECTION 15","NarrativeContent_133","APPENDIX: REFERENCES","<div></div>","6d9f5f21-7b97-4dbb-90a8-309cd5644e27"
