"sectionTitle","sectionNumber","uuid:ID","instanceType","id","name","text"
"Description of Trial Design","4.1","aa32c5a6-ce2e-4d11-835b-242ffa514055","NarrativeContent","NarrativeContent_13","SECTION 4.1","<div></div>"
"Participant Input into Design","4.1.1","431b6207-e029-485c-865d-9d8f344ceb79","NarrativeContent","NarrativeContent_14","SECTION 4.1.1","<div></div>"
"Rationale for Trial Design","4.2","f695a21e-aa35-4419-b061-e9be8ec13d50","NarrativeContent","NarrativeContent_15","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"Rationale for Comparator","4.2.1","352b2f53-1e69-47e0-89e0-ccad5994fe4a","NarrativeContent","NarrativeContent_16","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"Rationale for Adaptive or Novel Trial Design","4.2.2","f471028a-b245-4cad-bd8d-2dcf28f57aaa","NarrativeContent","NarrativeContent_17","SECTION 4.2.2","<div></div>"
"Other Trial Design Considerations","4.2.3","ffbabeef-5b42-431e-850a-5d1de8524985","NarrativeContent","NarrativeContent_18","SECTION 4.2.3","<div></div>"
"Access to Trial Intervention After End of Trial","4.3","d982c54b-c1b6-45ec-9772-d3e6cba65c34","NarrativeContent","NarrativeContent_19","SECTION 4.3","<div></div>"
"Start of Trial and End of Trial","4.4","38024b79-2806-4b37-9c2e-1d49216e9a1d","NarrativeContent","NarrativeContent_20","SECTION 4.4","<div></div>"
"TRIAL POPULATION","5","de39fc2a-5ecc-480d-af33-1864572a1dca","NarrativeContent","NarrativeContent_21","SECTION 5","<div></div>"
"Selection of Trial Population","5.1","43d6c1d0-2d0e-4085-8de9-23e9029d010a","NarrativeContent","NarrativeContent_22","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"Rationale for Trial Population","5.2","3afe6dcb-194a-4938-8030-52de2c170a3a","NarrativeContent","NarrativeContent_23","SECTION 5.2","<div></div>"
"Inclusion Criteria","5.3","827294d6-1ccc-45c6-a3bd-68e0482e7d7c","NarrativeContent","NarrativeContent_24","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>"
"Exclusion Criteria","5.4","558bb9bd-0288-4f80-b42b-d3b7034cae65","NarrativeContent","NarrativeContent_25","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>"
"Lifestyle Considerations","5.5","d7bf8196-6fea-4e96-b557-c84771993a89","NarrativeContent","NarrativeContent_26","SECTION 5.5","<div></div>"
"Meals and Dietary Restrictions","5.5.1","8ef8f63d-0a4c-4514-bfee-15074775173f","NarrativeContent","NarrativeContent_27","SECTION 5.5.1","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","aee0a27d-18cc-440b-9254-a8aa314fcc09","NarrativeContent","NarrativeContent_28","SECTION 5.5.2","<div><p>Not applicable</p></div>"
"Physical Activity","5.5.3","7534bfa3-680e-442a-b2f6-26bff8e2b931","NarrativeContent","NarrativeContent_29","SECTION 5.5.3","<div></div>"
"Other Activity","5.5.4","3b07e59b-60a5-4aba-a609-2cccc6ef8b26","NarrativeContent","NarrativeContent_30","SECTION 5.5.4","<div></div>"
"Screen Failures","5.6","cfc9d94b-d286-4e76-804b-afbfd379224a","NarrativeContent","NarrativeContent_31","SECTION 5.6","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","ef1150cd-3594-4a57-823c-c806f6d93432","NarrativeContent","NarrativeContent_32","SECTION 6","<div></div>"
"Description of Trial Intervention","6.1","662c8bfd-e937-48bd-bd80-bb88b9fd961f","NarrativeContent","NarrativeContent_33","SECTION 6.1","<div></div>"
"Rationale for Trial Intervention","6.2","ca68f95f-f1a7-44c9-b054-8ef856084cc7","NarrativeContent","NarrativeContent_34","SECTION 6.2","<div></div>"
"Dosing and Administration","6.3","1033dff3-83dd-462e-bf2a-e70b7cd784c2","NarrativeContent","NarrativeContent_35","SECTION 6.3","<div></div>"
"Trial Intervention Dose Modification","6.3.1","a599b627-2ae2-474f-93ce-f8c050a38a69","NarrativeContent","NarrativeContent_36","SECTION 6.3.1","<div></div>"
"Treatment of Overdose","6.4","84e9dd25-3ac5-4ff7-a9f7-19086ae5e7b4","NarrativeContent","NarrativeContent_37","SECTION 6.4","<div></div>"
"Preparation, Handling, Storage and Accountability","6.5","0e72534c-7441-47fd-8717-ff9d487af1e6","NarrativeContent","NarrativeContent_38","SECTION 6.5","<div></div>"
"Preparation of Trial Intervention","6.5.1","442f62ee-11fd-4638-9d9a-726ade4d15e2","NarrativeContent","NarrativeContent_39","SECTION 6.5.1","<div></div>"
"Handling and Storage of Trial Intervention","6.5.2","3002fdcf-97b2-49a2-95b8-f62809a2d5be","NarrativeContent","NarrativeContent_40","SECTION 6.5.2","<div></div>"
"Accountability of Trial Intervention","6.5.3","332e74ef-1def-4f20-b0c3-e194a38903ea","NarrativeContent","NarrativeContent_41","SECTION 6.5.3","<div></div>"
"Participant Assignment, Randomisation and Blinding","6.6","d1a8854a-5b3c-431a-bf20-a1b3fe44562f","NarrativeContent","NarrativeContent_42","SECTION 6.6","<div></div>"
"Participant Assignment","6.6.1","8bfc9b14-7a05-4c70-85d6-62481b0243be","NarrativeContent","NarrativeContent_43","SECTION 6.6.1","<div></div>"
"Randomisation","6.6.2","32cead94-31ff-452a-8839-378ad3dafaa1","NarrativeContent","NarrativeContent_44","SECTION 6.6.2","<div></div>"
"Blinding and Unblinding","6.6.3","56b294ff-1d24-487b-b856-0761393eee1f","NarrativeContent","NarrativeContent_45","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"Trial Intervention Compliance","6.7","b98dbe43-be36-4a59-b331-8692dcede14e","NarrativeContent","NarrativeContent_46","SECTION 6.7","<div></div>"
"Concomitant Therapy","6.8","3b91b73d-3791-49fe-b0cc-4b3144e75a10","NarrativeContent","NarrativeContent_47","SECTION 6.8","<div></div>"
"Prohibited Concomitant Therapy","6.8.1","2fca6ea7-acee-4cca-ad3c-d5980859ed6a","NarrativeContent","NarrativeContent_48","SECTION 6.8.1","<div></div>"
"Permitted Concomitant Therapy","6.8.2","ea1d9885-a1a0-419a-b8de-4cce66828cd7","NarrativeContent","NarrativeContent_49","SECTION 6.8.2","<div></div>"
"Rescue Therapy","6.8.3","24d165dd-5c07-43d9-a617-e9547f4b91e4","NarrativeContent","NarrativeContent_50","SECTION 6.8.3","<div></div>"
"Other Therapy","6.8.4","349084f3-8391-4e53-9612-2f16099ca61b","NarrativeContent","NarrativeContent_51","SECTION 6.8.4","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","2f3605ed-82ed-46dd-a448-568171a01340","NarrativeContent","NarrativeContent_52","SECTION 7","<div></div>"
"Discontinuation of Trial Intervention","7.1","bd4a96be-bd7d-49a6-924d-50c3046418d6","NarrativeContent","NarrativeContent_53","SECTION 7.1","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","fa077050-fa3f-4c5a-8e46-7d6e004d6f14","NarrativeContent","NarrativeContent_54","SECTION 7.1.1","<div></div>"
"Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","a59a462e-796f-493b-b24d-e0d7cbe894e7","NarrativeContent","NarrativeContent_55","SECTION 7.1.2","<div></div>"
"Rechallenge","7.1.3","30e5fa13-856f-4828-bcd7-24a6f5b96e32","NarrativeContent","NarrativeContent_56","SECTION 7.1.3","<div></div>"
"Participant Withdrawal from the Trial","7.2","64d8750b-f2b1-4843-af72-abb6f85a8c83","NarrativeContent","NarrativeContent_57","SECTION 7.2","<div></div>"
"Lost to Follow-Up","7.3","03c8a02b-da29-4b42-9a8c-a4bb451e4bbe","NarrativeContent","NarrativeContent_58","SECTION 7.3","<div></div>"
"Trial Stopping Rules","7.4","6f32dc9e-bf12-43a9-90c7-e8ed9df480aa","NarrativeContent","NarrativeContent_59","SECTION 7.4","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","8","9f950bce-ca7e-43d2-98a0-7fac991187cc","NarrativeContent","NarrativeContent_60","SECTION 8","<div></div>"
"Screening/Baseline Assessments and Procedures","8.1","d6762d8d-c373-4771-a9c8-73fcf8a302ea","NarrativeContent","NarrativeContent_61","SECTION 8.1","<div></div>"
"Efficacy Assessments and Procedures","8.2","74f8c1b2-b58d-4459-a82a-567790a6afb6","NarrativeContent","NarrativeContent_62","SECTION 8.2","<div></div>"
"Safety Assessments and Procedures","8.3","1b94b251-0172-4a59-87b8-1e0d5361ed5b","NarrativeContent","NarrativeContent_63","SECTION 8.3","<div></div>"
"Physical Examination","8.3.1","b25b306c-8776-4aeb-8255-066ae1bd1977","NarrativeContent","NarrativeContent_64","SECTION 8.3.1","<div></div>"
"Vital Signs","8.3.2","a2f839d4-e407-488c-b8ba-1791a87e9943","NarrativeContent","NarrativeContent_65","SECTION 8.3.2","<div></div>"
"Electrocardiograms","8.3.3","40814304-04b0-483e-a7ce-e52a0ea2d7fe","NarrativeContent","NarrativeContent_66","SECTION 8.3.3","<div></div>"
"Clinical Laboratory Assessments","8.3.4","683381a2-2a94-4fa3-b86b-ae2805980f8c","NarrativeContent","NarrativeContent_67","SECTION 8.3.4","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","6e24907e-1131-418d-9e00-ca949858643c","NarrativeContent","NarrativeContent_68","SECTION 8.3.5","<div></div>"
"Adverse Events and Serious Adverse Events","8.4","8a3976ca-8f00-4640-a0f8-8aa579c28fa0","NarrativeContent","NarrativeContent_69","SECTION 8.4","<div></div>"
"Definitions of AE and SAE","8.4.1","bb466c43-dadd-49b7-aabd-d32d1c59785e","NarrativeContent","NarrativeContent_70","SECTION 8.4.1","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","8.4.2","fe9e5f17-13ba-4e76-85de-9097fc597f7f","NarrativeContent","NarrativeContent_71","SECTION 8.4.2","<div></div>"
"Identifying AEs and SAEs","8.4.3","322fb5df-6a6f-4e29-8d1b-6e38e5177e6e","NarrativeContent","NarrativeContent_72","SECTION 8.4.3","<div></div>"
"Recording of AEs and SAEs","8.4.4","9cdec254-3bcc-4e71-816f-2918c7a400e6","NarrativeContent","NarrativeContent_73","SECTION 8.4.4","<div></div>"
"Follow-up of AEs and SAEs","8.4.5","589d03bf-5816-497b-a0e7-7ecba1ba3d54","NarrativeContent","NarrativeContent_74","SECTION 8.4.5","<div></div>"
"Reporting of SAEs","8.4.6","fbe62363-3a1c-4408-96da-995439333b12","NarrativeContent","NarrativeContent_75","SECTION 8.4.6","<div></div>"
"Regulatory Reporting Requirements for SAEs","8.4.7","24b41fea-7eaf-41fe-9a83-ca565a68d9d8","NarrativeContent","NarrativeContent_76","SECTION 8.4.7","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","8.4.8","89841e7a-6d4f-411b-ac0d-74e6c4b51b19","NarrativeContent","NarrativeContent_77","SECTION 8.4.8","<div></div>"
"Adverse Events of Special Interest","8.4.9","a7c50dfa-09f4-429d-b834-f6668a08e4e4","NarrativeContent","NarrativeContent_78","SECTION 8.4.9","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","fdc4a6d4-2c7f-4b41-9cbc-eb41d52d5d43","NarrativeContent","NarrativeContent_79","SECTION 8.4.10","<div></div>"
"Pregnancy and Postpartum Information","8.5","e450becf-1e84-4947-8945-fdd7dce81463","NarrativeContent","NarrativeContent_80","SECTION 8.5","<div></div>"
"Participants Who Become Pregnant During the Trial","8.5.1","005eb835-a368-4062-b343-8b9e5781d34a","NarrativeContent","NarrativeContent_81","SECTION 8.5.1","<div></div>"
"Participants Whose Partners Become Pregnant","8.5.2","779db4d0-e34b-4672-95bb-b3da653b2de8","NarrativeContent","NarrativeContent_82","SECTION 8.5.2","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","8.6","ac242af6-72fa-4f8f-b678-90cf5e4f2985","NarrativeContent","NarrativeContent_83","SECTION 8.6","<div></div>"
"Definition of Medical Device Product Complaints","8.6.1","28894423-71a3-4933-86e8-613fd5710f55","NarrativeContent","NarrativeContent_84","SECTION 8.6.1","<div></div>"
"Recording of Medical Device Product Complaints","8.6.2","08330631-d5b0-4c7a-b6b3-b66aee07a2a9","NarrativeContent","NarrativeContent_85","SECTION 8.6.2","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","e9d7fb42-7b0b-4035-afa3-2b271ba70a1e","NarrativeContent","NarrativeContent_86","SECTION 8.6.3","<div></div>"
"Follow-Up of Medical Device Product Complaints","8.6.4","f748915a-fc91-4100-b8b0-f711e3173901","NarrativeContent","NarrativeContent_87","SECTION 8.6.4","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","9c324477-e686-454e-adab-a18370e55049","NarrativeContent","NarrativeContent_88","SECTION 8.6.5","<div></div>"
"Pharmacokinetics","8.7","c763fb3f-96a2-4a28-9a07-018f721ee87b","NarrativeContent","NarrativeContent_89","SECTION 8.7","<div></div>"
"Genetics","8.8","58cdd37e-e2a3-4765-a278-385bf22534d6","NarrativeContent","NarrativeContent_90","SECTION 8.8","<div></div>"
"Biomarkers","8.9","52c72f37-f4a8-4fb7-ad8a-7c6ba454a385","NarrativeContent","NarrativeContent_91","SECTION 8.9","<div></div>"
"Immunogenicity Assessments","8.1","2ef44185-73c4-47ec-a9f7-b49b01104585","NarrativeContent","NarrativeContent_92","SECTION 8.1","<div></div>"
"Medical Resource Utilisation and Health Economics","8.1.1","f5641f26-332b-4218-a6d3-6e5b90e882e8","NarrativeContent","NarrativeContent_93","SECTION 8.1.1","<div></div>"
"STATISTICAL CONSIDERATIONS","9","119bf24a-787c-4b0a-b8be-e6d5399ddadd","NarrativeContent","NarrativeContent_94","SECTION 9","<div></div>"
"Analysis Sets","9.1","4ea43126-d5be-4d02-85fa-b9491ecac471","NarrativeContent","NarrativeContent_95","SECTION 9.1","<div></div>"
"Analyses Supporting Primary Objective(s)","9.2","56a17344-fcd7-4e5b-ba76-1ecc6b40e893","NarrativeContent","NarrativeContent_96","SECTION 9.2","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","9.2.1","3b99229c-b401-49d9-8950-7f7334fdd4ca","NarrativeContent","NarrativeContent_97","SECTION 9.2.1","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","19bcca26-a0a7-4b87-b698-49d5343251f9","NarrativeContent","NarrativeContent_98","SECTION 9.2.2","<div></div>"
"Handling of Missing Data","9.2.3","4fe5bfa9-f951-4537-b258-b9bce47001ea","NarrativeContent","NarrativeContent_99","SECTION 9.2.3","<div></div>"
"Sensitivity Analysis","9.2.4","e73f8ed5-a4dc-43ea-aefa-f31529bb14b3","NarrativeContent","NarrativeContent_100","SECTION 9.2.4","<div></div>"
"Supplementary Analysis","9.2.5","f97af856-97c1-4275-b981-ff6d3d721ca5","NarrativeContent","NarrativeContent_101","SECTION 9.2.5","<div></div>"
"Analysis Supporting Secondary Objective(s)","9.3","79da7a9e-b3ef-4eda-a424-a05c9487c1a0","NarrativeContent","NarrativeContent_102","SECTION 9.3","<div></div>"
"Analysis of Exploratory Objective(s)","9.4","d914109e-9102-4e44-b137-ff2713ac71b4","NarrativeContent","NarrativeContent_103","SECTION 9.4","<div></div>"
"Safety Analyses","9.5","aced33f0-441d-468c-89e9-befcc14f54ce","NarrativeContent","NarrativeContent_104","SECTION 9.5","<div></div>"
"Other Analyses","9.6","d7a84bcb-b208-4f57-a37c-b50bb4380f3d","NarrativeContent","NarrativeContent_105","SECTION 9.6","<div></div>"
"Interim Analyses","9.7","579df753-99a9-4ec3-8ded-f53b023f3d98","NarrativeContent","NarrativeContent_106","SECTION 9.7","<div></div>"
"Sample Size Determination","9.8","a6ee9905-5351-4543-94c6-3abc094a6db7","NarrativeContent","NarrativeContent_107","SECTION 9.8","<div></div>"
"Protocol Deviations","9.9","a5a2604a-74ca-4486-b631-e5bd80a8595b","NarrativeContent","NarrativeContent_108","SECTION 9.9","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","3050aee7-0e3f-4145-be37-5ff02b77ddc7","NarrativeContent","NarrativeContent_109","SECTION 10","<div></div>"
"Regulatory and Ethical Considerations","10.1","2a0f1b25-070b-4d61-ad69-8f9f27063566","NarrativeContent","NarrativeContent_110","SECTION 10.1","<div></div>"
"Committees","10.2","300f505e-6c56-4c56-8c8d-51fe021bd92a","NarrativeContent","NarrativeContent_111","SECTION 10.2","<div></div>"
"Informed Consent Process","10.3","30cad04e-32ad-4fee-85c2-32b50a4f2539","NarrativeContent","NarrativeContent_112","SECTION 10.3","<div></div>"
"Data Protection","10.4","d154cbb9-ba25-41ed-875f-fe89dbdc6bf1","NarrativeContent","NarrativeContent_113","SECTION 10.4","<div></div>"
"Early Site Closure or Trial Termination","10.5","ed825c3d-d295-4f1c-968c-ee67c2a77d1e","NarrativeContent","NarrativeContent_114","SECTION 10.5","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","6f74fe90-5652-4d18-adc0-eeee5f884d06","NarrativeContent","NarrativeContent_115","SECTION 11","<div></div>"
"Quality Tolerance Limits","11.1","8a8ce98d-489d-4aff-9d85-5358d0b19dc7","NarrativeContent","NarrativeContent_116","SECTION 11.1","<div></div>"
"Data Quality Assurance","11.2","37307cf0-34d4-4190-9528-d2a5d4893010","NarrativeContent","NarrativeContent_117","SECTION 11.2","<div></div>"
"Source Data","11.3","917bcf35-ee3d-41b7-ad2b-accfef4ebcb2","NarrativeContent","NarrativeContent_118","SECTION 11.3","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","8cf74d35-fc08-4128-89b5-0b78650b143e","NarrativeContent","NarrativeContent_119","SECTION 12","<div></div>"
"Further Details and Clarifications on the AE Definition","12.1","c1b03778-6da9-49c6-bb36-08ad78415b7a","NarrativeContent","NarrativeContent_120","SECTION 12.1","<div></div>"
"Further Details and Clarifications on the SAE Definition","12.2","e2812dab-7fa7-4df4-9be7-7059f1395fbd","NarrativeContent","NarrativeContent_121","SECTION 12.2","<div></div>"
"Severity","12.3","ced9eb5f-766e-4239-a2c3-32d2197e161c","NarrativeContent","NarrativeContent_122","SECTION 12.3","<div></div>"
"Causality","12.4","5ae0cb98-75b0-4c3a-b655-beb2fb3f8315","NarrativeContent","NarrativeContent_123","SECTION 12.4","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","f2623ca3-f7e2-4dd4-a9f9-e8ce0dc08c2b","NarrativeContent","NarrativeContent_124","SECTION 13","<div></div>"
"Contraception and Pregnancy Testing","13.1","97229e24-a157-47a2-bfc6-2d67d709187d","NarrativeContent","NarrativeContent_125","SECTION 13.1","<div></div>"
"Definitions Related to Childbearing Potential","13.1.1","1cb62675-93ab-4e3d-9652-0249412e1b29","NarrativeContent","NarrativeContent_126","SECTION 13.1.1","<div></div>"
"Contraception","13.1.2","99c576c6-74c7-4698-a1a0-4914a1ce4f70","NarrativeContent","NarrativeContent_127","SECTION 13.1.2","<div></div>"
"Pregnancy Testing","13.1.3","0cdf4804-1cbc-437b-814b-1155ffd4d9aa","NarrativeContent","NarrativeContent_128","SECTION 13.1.3","<div></div>"
"Clinical Laboratory Tests","13.2","ef58a052-6a65-43f3-be1c-4b7d343cbae4","NarrativeContent","NarrativeContent_129","SECTION 13.2","<div></div>"
"Country/Region-Specific Differences","13.3","d31c132b-36d2-4740-9c85-adf16e11f926","NarrativeContent","NarrativeContent_130","SECTION 13.3","<div></div>"
"Prior Protocol Amendments","13.4","bfc43233-7109-4e11-9a40-17c6dae92955","NarrativeContent","NarrativeContent_131","SECTION 13.4","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","14","6b632244-774a-410e-841d-3597f71d31f5","NarrativeContent","NarrativeContent_132","SECTION 14","<div></div>"
"APPENDIX: REFERENCES","15","a484198a-e96c-449a-bc48-1b7880ef3cdc","NarrativeContent","NarrativeContent_133","SECTION 15","<div></div>"
