"label","uuid:ID","instanceType","isRequired","id","name","datatype","isEnabled"
"Biospecimen Type","c5dd33ed-485c-4636-b354-5cd52906e754","BiomedicalConceptProperty","True","BiomedicalConceptProperty_116","Biospecimen Type","string","True"
"Laboratory Test Result","6c070bcb-71dc-41fd-944e-fc34a33a5575","BiomedicalConceptProperty","True","BiomedicalConceptProperty_117","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","4335773c-4b4b-41ed-829a-6a6b38da5ad3","BiomedicalConceptProperty","True","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","13bdaedb-bcfc-4460-bd1a-4d125cb940d8","BiomedicalConceptProperty","True","BiomedicalConceptProperty_119","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","3ea70dd5-35d0-4bc5-a19e-94d9ac469879","BiomedicalConceptProperty","True","BiomedicalConceptProperty_120","Biospecimen Type","string","True"
"Laboratory Test Result","c264e913-32d1-4415-b13e-8acd652f59a7","BiomedicalConceptProperty","True","BiomedicalConceptProperty_121","Laboratory Test Result","string","True"
"Laboratory Test Fasting Status","1596729d-63c0-4241-815d-b3c691503993","BiomedicalConceptProperty","True","BiomedicalConceptProperty_122","Laboratory Test Fasting Status","boolean","True"
"Unit of Concentration","8cbc64e4-5db0-45d0-9b51-83079b6377cc","BiomedicalConceptProperty","True","BiomedicalConceptProperty_123","Unit of Concentration","string","True"
"Biospecimen Type","b2711eaa-47bc-4465-867c-599982c77be5","BiomedicalConceptProperty","True","BiomedicalConceptProperty_124","Biospecimen Type","string","True"
"Laboratory Test Result","45b10935-28ac-49c3-88fe-505c4af43e2d","BiomedicalConceptProperty","True","BiomedicalConceptProperty_125","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","f762b91d-12d4-48e9-a761-a0472a3078bf","BiomedicalConceptProperty","True","BiomedicalConceptProperty_126","Laboratory Test Fasting Status","boolean","True"
"Molarity Unit","83294053-a1cf-4294-8d8a-e2ace2abe90b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_127","Molarity Unit","string","True"
"Biospecimen Type","71d59156-b500-42b4-bce4-a234ec7c5b89","BiomedicalConceptProperty","True","BiomedicalConceptProperty_128","Biospecimen Type","string","True"
"Laboratory Test Result","d509b696-6fc7-4588-a177-d4a1d7f936f9","BiomedicalConceptProperty","True","BiomedicalConceptProperty_129","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","ca2228fa-b795-4477-8788-6e1b9b486956","BiomedicalConceptProperty","True","BiomedicalConceptProperty_130","Laboratory Test Fasting Status","boolean","True"
"Molarity Unit","251e358b-1530-4235-aacb-88dd82b8e172","BiomedicalConceptProperty","True","BiomedicalConceptProperty_131","Molarity Unit","string","True"
"Biospecimen Type","688d4f6a-95a9-4250-9920-2c2060e3ed78","BiomedicalConceptProperty","True","BiomedicalConceptProperty_132","Biospecimen Type","string","True"
"Adverse Event Verbatim Description","ef6cae39-6963-4c99-80db-22037e1c83dd","BiomedicalConceptProperty","True","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","string","True"
"Adverse Event Dictionary Derived Term","cdf604e8-491d-4851-8e35-2432e3ddfc39","BiomedicalConceptProperty","True","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","string","True"
"Adverse Event Category","ad5eb9e7-270b-4a1a-ba55-aabe0ea6d62e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_3","Adverse Event Category","string","True"
"Adverse Event Subcategory","62ec6467-b411-4a3b-933c-82d0217a7c72","BiomedicalConceptProperty","True","BiomedicalConceptProperty_4","Adverse Event Subcategory","string","True"
"Adverse Event Pre-specified","0becfb53-cf17-47b1-8a5d-b411d8d3a5c3","BiomedicalConceptProperty","True","BiomedicalConceptProperty_5","Adverse Event Pre-specified","boolean","True"
"Severity of Adverse Event","4ff9b4e4-1eaa-4af2-8d5e-6373e0d7e00d","BiomedicalConceptProperty","True","BiomedicalConceptProperty_6","Severity of Adverse Event","string","True"
"Adverse Event Toxicity Grade","88dbf71f-94a6-476f-b339-e47692b2ffdf","BiomedicalConceptProperty","True","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","string","True"
"Seriousness of Adverse Event","dedfe59a-58c8-41f8-a6eb-d291db12238a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_8","Seriousness of Adverse Event","boolean","True"
"Adverse Event Action Taken with Study Treatment","c7f13c3c-e0a6-4b4d-a6e6-8ab8239482f4","BiomedicalConceptProperty","True","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","string","True"
"Adverse Event Attribution to Product or Procedure","4616067d-80fa-4627-a7f2-13021d18b77a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","string","True"
"Adverse Event Pattern","79436825-0eb7-42eb-b7e3-a11d03d3a0d1","BiomedicalConceptProperty","True","BiomedicalConceptProperty_11","Adverse Event Pattern","string","True"
"Adverse Event Outcome","38387d6d-48f2-4942-abcb-654ae06c74a1","BiomedicalConceptProperty","True","BiomedicalConceptProperty_12","Adverse Event Outcome","string","True"
"Adverse Event Start Date Time","ed0bf5fc-5142-4a43-8481-dd408bfc3435","BiomedicalConceptProperty","True","BiomedicalConceptProperty_13","Adverse Event Start Date Time","datetime","True"
"Adverse Event End Date Time","378aa99e-045b-47af-b051-d60bfe4d3e29","BiomedicalConceptProperty","True","BiomedicalConceptProperty_14","Adverse Event End Date Time","datetime","True"
"Vital Signs Result","8852eb20-b0ad-45a8-9954-523082f2e999","BiomedicalConceptProperty","True","BiomedicalConceptProperty_15","Vital Signs Result","decimal","True"
"Unit of Pressure","34bfd946-def4-4cce-b5e5-e6d022d9641e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_16","Unit of Pressure","string","True"
"Vital Signs Location","7fbd7256-c0f5-4798-abf8-caff04121286","BiomedicalConceptProperty","True","BiomedicalConceptProperty_17","Vital Signs Location","string","True"
"Vital Signs Laterality","6ce7914e-24b1-4c3e-90a9-07f1db7cf067","BiomedicalConceptProperty","True","BiomedicalConceptProperty_18","Vital Signs Laterality","string","True"
"Test Method","6afc58ec-95eb-4278-852b-e4a319251211","BiomedicalConceptProperty","True","BiomedicalConceptProperty_19","Test Method","string","True"
"Vital Signs Position","97d660f4-4da9-4db3-b520-320aabca76fd","BiomedicalConceptProperty","True","BiomedicalConceptProperty_20","Vital Signs Position","string","True"
"Vital Signs Result","396837f3-3c9d-45b8-a337-adfeb4c51108","BiomedicalConceptProperty","True","BiomedicalConceptProperty_21","Vital Signs Result","decimal","True"
"Unit of Pressure","d1bfe965-d3ee-4e39-aa7d-8a08185a9c18","BiomedicalConceptProperty","True","BiomedicalConceptProperty_22","Unit of Pressure","string","True"
"Vital Signs Location","3a6e506c-40c4-41dd-bb15-d27e9069fced","BiomedicalConceptProperty","True","BiomedicalConceptProperty_23","Vital Signs Location","string","True"
"Vital Signs Laterality","4fbe019e-569f-4a53-b8f5-68eb520e4243","BiomedicalConceptProperty","True","BiomedicalConceptProperty_24","Vital Signs Laterality","string","True"
"Test Method","547f3fc5-ae98-4ccd-a5c4-7a9273e84d62","BiomedicalConceptProperty","True","BiomedicalConceptProperty_25","Test Method","string","True"
"Vital Signs Position","bf268741-689b-4197-ad91-d0ff62f62f8b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_26","Vital Signs Position","string","True"
"Vital Signs Result","92603e9a-c1c0-4591-9be6-5074cacea20e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_27","Vital Signs Result","decimal","True"
"Unit of Temperature","b0df5cc1-bbf1-4dd1-912b-6dcc5add4655","BiomedicalConceptProperty","True","BiomedicalConceptProperty_28","Unit of Temperature","string","True"
"Vital Signs Location","2570e0fc-f5a3-44d4-bc52-c78746e400a9","BiomedicalConceptProperty","True","BiomedicalConceptProperty_29","Vital Signs Location","string","True"
"Vital Signs Result","c67309c5-56cc-44f5-9b39-be049c92336a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_30","Vital Signs Result","decimal","True"
"Unit of Weight","cacee5e9-37bf-49a2-849d-826c8b64324b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_31","Unit of Weight","string","True"
"Vital Signs Result","9f45597e-4b24-4a93-8567-9e9c767a6079","BiomedicalConceptProperty","True","BiomedicalConceptProperty_32","Vital Signs Result","decimal","True"
"Unit of Height","b01d69c6-fbb0-415d-b678-8852ec652790","BiomedicalConceptProperty","True","BiomedicalConceptProperty_33","Unit of Height","string","True"
"Laboratory Test Result","e8b4e6f8-238e-4ea8-9f53-3455d46af72b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_34","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","fdfd1532-2170-4ac2-8e65-2fd1f908c48d","BiomedicalConceptProperty","True","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","1dc4600a-a96b-4395-bb79-00b2041534d0","BiomedicalConceptProperty","True","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","683071d1-4822-4b1b-93e8-f0df7723e900","BiomedicalConceptProperty","True","BiomedicalConceptProperty_37","Biospecimen Type","string","True"
"Laboratory Test Result","715237a7-8e5a-4de8-bb37-c6c8e709e275","BiomedicalConceptProperty","True","BiomedicalConceptProperty_38","Laboratory Test Result","string","True"
"Laboratory Test Fasting Status","a2096139-20c7-45de-a5c1-da3f8151c940","BiomedicalConceptProperty","True","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","boolean","True"
"Unit of Concentration","2aa6718c-6d12-4a5b-ad4b-b2cd57f8ec67","BiomedicalConceptProperty","True","BiomedicalConceptProperty_40","Unit of Concentration","string","True"
"Biospecimen Type","330359d8-ff9e-43f1-8924-ace34ba115b4","BiomedicalConceptProperty","True","BiomedicalConceptProperty_41","Biospecimen Type","string","True"
"Laboratory Test Result","fa60e2a5-2c8f-4831-a46a-eafbfbf89794","BiomedicalConceptProperty","True","BiomedicalConceptProperty_42","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","0e92f78e-7ef9-4741-a626-8e2bafe91a11","BiomedicalConceptProperty","True","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","386a1be6-3422-4ffb-a549-06e029df4066","BiomedicalConceptProperty","True","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","d80e9578-7536-4893-8672-9cc4d69d7d6b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_45","Biospecimen Type","string","True"
"Laboratory Test Result","dd029974-dbab-4b9d-8688-b3167c611ce1","BiomedicalConceptProperty","True","BiomedicalConceptProperty_46","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","2913b430-b0d4-42d1-85d0-5cacd0e37813","BiomedicalConceptProperty","True","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","06376ab2-1c82-40d9-bdac-9a7fb036a5d6","BiomedicalConceptProperty","True","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","4c4d02fc-dc7d-4ee7-9f00-d0e37ed609d2","BiomedicalConceptProperty","True","BiomedicalConceptProperty_49","Biospecimen Type","string","True"
"Laboratory Test Result","233fd881-b225-450c-a41d-c2924ba6965d","BiomedicalConceptProperty","True","BiomedicalConceptProperty_50","Laboratory Test Result","string","True"
"Laboratory Test Fasting Status","5e44f657-c1ad-46f1-b5be-c3c3bae05f79","BiomedicalConceptProperty","True","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","boolean","True"
"Unit of Concentration","cd6a9d8a-ab33-4e10-8094-243e0f90094e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_52","Unit of Concentration","string","True"
"Biospecimen Type","086f6d6f-731f-4d1d-a7c4-3868404e0fe1","BiomedicalConceptProperty","True","BiomedicalConceptProperty_53","Biospecimen Type","string","True"
"Laboratory Test Result","d37ad946-d375-42c6-9d76-0508b9037bf4","BiomedicalConceptProperty","True","BiomedicalConceptProperty_54","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","d0c776b2-c2c8-4a87-806e-a3445ad49c2f","BiomedicalConceptProperty","True","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","boolean","True"
"Molarity Unit","825585c8-d349-4558-8afb-9ed6886376ca","BiomedicalConceptProperty","True","BiomedicalConceptProperty_56","Molarity Unit","string","True"
"Biospecimen Type","2449e550-9b67-4a85-841d-3f109db6900c","BiomedicalConceptProperty","True","BiomedicalConceptProperty_57","Biospecimen Type","string","True"
"Laboratory Test Result","c577af34-522d-4a6f-a747-41e77e40afae","BiomedicalConceptProperty","True","BiomedicalConceptProperty_58","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","4da17e0c-3637-4855-9f75-bd5ace2da1f0","BiomedicalConceptProperty","True","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","boolean","True"
"Molarity Unit","fca930f0-e5d7-4181-8045-d8e779ee7d91","BiomedicalConceptProperty","True","BiomedicalConceptProperty_60","Molarity Unit","string","True"
"Biospecimen Type","fe3efb8b-3ed3-4394-b611-3acdef3a4988","BiomedicalConceptProperty","True","BiomedicalConceptProperty_61","Biospecimen Type","string","True"
"Vital Signs Result","e49bd9c0-1ebc-450e-8bc0-64eedea8cf3e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_62","Vital Signs Result","decimal","True"
"Unit of Pressure","86a4e694-e6c9-4358-8d05-9028d89920be","BiomedicalConceptProperty","True","BiomedicalConceptProperty_63","Unit of Pressure","string","True"
"Vital Signs Location","4d056a42-4c74-464a-a9b8-1e10238da192","BiomedicalConceptProperty","True","BiomedicalConceptProperty_64","Vital Signs Location","string","True"
"Vital Signs Laterality","4bfe6eec-e9f1-42dd-8fed-c9cf24af5b04","BiomedicalConceptProperty","True","BiomedicalConceptProperty_65","Vital Signs Laterality","string","True"
"Test Method","9ead8a68-0fe1-4041-90c4-549babba6656","BiomedicalConceptProperty","True","BiomedicalConceptProperty_66","Test Method","string","True"
"Vital Signs Position","8ab3323d-32d3-46ca-852a-23a06687a936","BiomedicalConceptProperty","True","BiomedicalConceptProperty_67","Vital Signs Position","string","True"
"Vital Signs Result","ee452e9a-f557-48fc-a62b-4f6b2bb38a45","BiomedicalConceptProperty","True","BiomedicalConceptProperty_68","Vital Signs Result","decimal","True"
"Unit of Pressure","d21c74cb-d926-4565-bb3c-149f3d887051","BiomedicalConceptProperty","True","BiomedicalConceptProperty_69","Unit of Pressure","string","True"
"Vital Signs Location","0447a84e-1edb-4eba-8909-66d97ee7e3fd","BiomedicalConceptProperty","True","BiomedicalConceptProperty_70","Vital Signs Location","string","True"
"Vital Signs Laterality","b04093ec-e105-46c0-8173-4b8832e35ed9","BiomedicalConceptProperty","True","BiomedicalConceptProperty_71","Vital Signs Laterality","string","True"
"Test Method","f67d4579-97c4-487f-bf09-88fea2116139","BiomedicalConceptProperty","True","BiomedicalConceptProperty_72","Test Method","string","True"
"Vital Signs Position","77c78204-75b9-440f-9b3c-24c04e69e939","BiomedicalConceptProperty","True","BiomedicalConceptProperty_73","Vital Signs Position","string","True"
"Vital Signs Result","cd758cb1-1d17-4fb0-8cde-3c624bd073a5","BiomedicalConceptProperty","True","BiomedicalConceptProperty_74","Vital Signs Result","integer","True"
"Count per Minute","d1b43fd2-67ff-4b04-b18b-5b2fc5ab8a9b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_75","Count per Minute","string","True"
"Vital Signs Location","41ef0026-b847-41e3-8fcb-4369233932a4","BiomedicalConceptProperty","True","BiomedicalConceptProperty_76","Vital Signs Location","string","True"
"Vital Signs Laterality","39c731f6-8d82-4e0a-9980-5bd9f53bd38a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_77","Vital Signs Laterality","string","True"
"Test Method","3b40c2b2-8b6d-4035-a6b9-1feb90af0604","BiomedicalConceptProperty","True","BiomedicalConceptProperty_78","Test Method","string","True"
"Vital Signs Position","0d65aca8-196f-4847-98ab-6e6865c429ce","BiomedicalConceptProperty","True","BiomedicalConceptProperty_79","Vital Signs Position","string","True"
"Vital Signs Result","f227352e-6aea-48ed-b259-6aa75f4c4d9c","BiomedicalConceptProperty","True","BiomedicalConceptProperty_80","Vital Signs Result","decimal","True"
"Unit of Pressure","3b95f0b4-9661-43c1-8dc5-b1eac8e7cf22","BiomedicalConceptProperty","True","BiomedicalConceptProperty_81","Unit of Pressure","string","True"
"Vital Signs Location","09794b87-a56b-41da-af3a-97f42abed85e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_82","Vital Signs Location","string","True"
"Vital Signs Laterality","d0e661be-514c-4261-a93f-117223e20b1b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_83","Vital Signs Laterality","string","True"
"Test Method","e34a8d62-33d9-4e4a-8e7f-156197916a83","BiomedicalConceptProperty","True","BiomedicalConceptProperty_84","Test Method","string","True"
"Vital Signs Position","6be85a01-58fd-4f97-9040-7555ac82077d","BiomedicalConceptProperty","True","BiomedicalConceptProperty_85","Vital Signs Position","string","True"
"Vital Signs Result","bd4a25a0-b74d-436b-9ed8-816850732898","BiomedicalConceptProperty","True","BiomedicalConceptProperty_86","Vital Signs Result","decimal","True"
"Unit of Pressure","2fd1e8e9-4a5f-49fd-9ed4-698de3c7146e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_87","Unit of Pressure","string","True"
"Vital Signs Location","e39677d3-7cf3-4a75-8b2b-88c10c562504","BiomedicalConceptProperty","True","BiomedicalConceptProperty_88","Vital Signs Location","string","True"
"Vital Signs Laterality","dc3c2348-fd3f-44c4-8c1b-ed04836c538c","BiomedicalConceptProperty","True","BiomedicalConceptProperty_89","Vital Signs Laterality","string","True"
"Test Method","c0c6b3c2-1b00-4f7e-a595-1097931f8597","BiomedicalConceptProperty","True","BiomedicalConceptProperty_90","Test Method","string","True"
"Vital Signs Position","b11c98a3-b514-462a-a7c7-1b9551eeff3a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_91","Vital Signs Position","string","True"
"Vital Signs Result","57bffb3b-9c65-46f8-8269-3e99c7d00bc2","BiomedicalConceptProperty","True","BiomedicalConceptProperty_92","Vital Signs Result","integer","True"
"Count per Minute","2b0cdf86-b92d-4d11-b508-ee3c95f192f8","BiomedicalConceptProperty","True","BiomedicalConceptProperty_93","Count per Minute","string","True"
"Vital Signs Location","80fe7ca4-3273-4023-8a43-6d41363b6411","BiomedicalConceptProperty","True","BiomedicalConceptProperty_94","Vital Signs Location","string","True"
"Vital Signs Laterality","a06ec1d0-af84-49e2-adb5-34faf784ea0c","BiomedicalConceptProperty","True","BiomedicalConceptProperty_95","Vital Signs Laterality","string","True"
"Test Method","9ffce394-45d2-447b-8412-0b4701033a2f","BiomedicalConceptProperty","True","BiomedicalConceptProperty_96","Test Method","string","True"
"Vital Signs Position","aa18e6d2-6c58-4843-a4b5-727854c57a0e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_97","Vital Signs Position","string","True"
