"id:ID","bcPropertyDatatype","id","name","uuid","label","bcPropertyRequired","bcPropertyEnabled","bcPropertyResponseCodes"
"617","string","BiomedicalConceptProperty_37","Biospecimen Type","f646a5b8-5c82-4b77-8ff0-a666c5f7450e","Biospecimen Type","True","True","[]"
"618","string","BiomedicalConceptProperty_38","Laboratory Test Result","2903ec08-0732-4eeb-a1da-d7294691b431","Laboratory Test Result","True","True","[]"
"619","boolean","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","423597be-8da6-4386-9d89-f2545793b6e5","Laboratory Test Fasting Status","True","True","[]"
"620","string","BiomedicalConceptProperty_40","Unit of Concentration","9547e219-29a7-4b3d-a6a9-ed9d5a5d9451","Unit of Concentration","True","True","[]"
"621","string","BiomedicalConceptProperty_41","Biospecimen Type","ddf623b5-c557-4181-abce-14ca77cef380","Biospecimen Type","True","True","[]"
"622","decimal","BiomedicalConceptProperty_42","Laboratory Test Result","d39aa15b-a4bd-4321-9c87-b74f78507643","Laboratory Test Result","True","True","[]"
"623","boolean","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","506b54e7-4fe9-4ac4-a448-263f4c1a01ca","Laboratory Test Fasting Status","True","True","[]"
"624","string","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","d75e0468-b2ca-4310-bfa0-d78e119c9c3d","Unit of Catalytic Activity Concentration","True","True","[]"
"625","string","BiomedicalConceptProperty_45","Biospecimen Type","8274e685-72af-415f-9884-23fd7f020411","Biospecimen Type","True","True","[]"
"626","decimal","BiomedicalConceptProperty_46","Laboratory Test Result","38991ea2-a874-402d-9a6b-90c613f7ea7a","Laboratory Test Result","True","True","[]"
"627","boolean","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","345aa842-822a-4942-bfea-396e6fbaa45f","Laboratory Test Fasting Status","True","True","[]"
"628","string","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","bf2182c4-c231-44dd-98d2-2ab6b8da03c9","Unit of Catalytic Activity Concentration","True","True","[]"
"629","string","BiomedicalConceptProperty_49","Biospecimen Type","6209ec29-b310-48b4-9723-74f17339b5e1","Biospecimen Type","True","True","[]"
"630","string","BiomedicalConceptProperty_50","Laboratory Test Result","b5c2651c-aa97-4edf-9d2e-d038507eb60e","Laboratory Test Result","True","True","[]"
"631","boolean","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","34c1d561-e9b3-48ea-8db3-5077a5bc8419","Laboratory Test Fasting Status","True","True","[]"
"632","string","BiomedicalConceptProperty_52","Unit of Concentration","b8cf5ba0-7d5f-4f82-8cd1-8831156229c5","Unit of Concentration","True","True","[]"
"633","string","BiomedicalConceptProperty_53","Biospecimen Type","0cbd4066-143c-4356-8ed1-93f5a7001cc5","Biospecimen Type","True","True","[]"
"634","decimal","BiomedicalConceptProperty_54","Laboratory Test Result","913e457a-590f-465a-8694-d18c45b48069","Laboratory Test Result","True","True","[]"
"635","boolean","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","88b4ccff-2278-441b-abc6-a2302b453416","Laboratory Test Fasting Status","True","True","[]"
"636","string","BiomedicalConceptProperty_56","Molarity Unit","c962f9ba-94aa-48b1-b091-181eae20aef0","Molarity Unit","True","True","[]"
"637","string","BiomedicalConceptProperty_57","Biospecimen Type","eba44850-d28a-4a07-8a33-579c282fadd8","Biospecimen Type","True","True","[]"
"638","decimal","BiomedicalConceptProperty_58","Laboratory Test Result","143bc0dd-a1fc-4c64-af90-62a4dd1487dc","Laboratory Test Result","True","True","[]"
"639","boolean","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","ad8de127-a019-4784-a386-3d3def0e3bce","Laboratory Test Fasting Status","True","True","[]"
"640","string","BiomedicalConceptProperty_60","Molarity Unit","f662ee0a-902a-47d4-8724-b1f338876452","Molarity Unit","True","True","[]"
"641","string","BiomedicalConceptProperty_61","Biospecimen Type","929acde2-2135-4cce-a8e3-ddd78c96144d","Biospecimen Type","True","True","[]"
"642","decimal","BiomedicalConceptProperty_62","Vital Signs Result","c779ab03-0ad4-4795-964f-8f66daa38432","Vital Signs Result","True","True","[]"
"643","string","BiomedicalConceptProperty_63","Unit of Pressure","064bdeca-0186-4ff4-a0e6-6ae485be3a70","Unit of Pressure","True","True",""
"644","string","BiomedicalConceptProperty_64","Vital Signs Location","56961c74-76de-4d01-a8d7-d7478bc6a301","Vital Signs Location","True","True","[]"
"645","string","BiomedicalConceptProperty_65","Vital Signs Laterality","86bb4933-c53d-4429-9315-f3f9ced08908","Vital Signs Laterality","True","True","[]"
"646","string","BiomedicalConceptProperty_66","Test Method","a145c215-ea78-4301-a659-4875acd525c1","Test Method","True","True","[]"
"647","string","BiomedicalConceptProperty_67","Vital Signs Position","d1bb1073-9269-4ac7-b531-60061d6940d3","Vital Signs Position","True","True","[]"
"648","decimal","BiomedicalConceptProperty_68","Vital Signs Result","91bfb1be-01b2-407c-b646-cef33a07813e","Vital Signs Result","True","True","[]"
"649","string","BiomedicalConceptProperty_69","Unit of Pressure","d9e19185-2d4b-4010-87aa-dc6d014ebee3","Unit of Pressure","True","True",""
"650","string","BiomedicalConceptProperty_70","Vital Signs Location","92c9fc0c-10ff-4359-ba63-ccedb54f7e55","Vital Signs Location","True","True","[]"
"651","string","BiomedicalConceptProperty_71","Vital Signs Laterality","e6f28d03-9ea6-489e-b171-4cc15aa71e84","Vital Signs Laterality","True","True","[]"
"652","string","BiomedicalConceptProperty_72","Test Method","eeb39490-289b-476a-83cb-fbbc47ab7f98","Test Method","True","True","[]"
"653","string","BiomedicalConceptProperty_73","Vital Signs Position","4571e3a2-9444-43f8-b03b-848d683d1e8f","Vital Signs Position","True","True","[]"
"654","decimal","BiomedicalConceptProperty_74","Vital Signs Result","4a796352-f712-4059-999d-ee87ccf5d87d","Vital Signs Result","True","True","[]"
"655","string","BiomedicalConceptProperty_75","Unit of Pressure","ed9fb41d-cdf8-4f40-b961-d7c951d38446","Unit of Pressure","True","True",""
"656","string","BiomedicalConceptProperty_76","Vital Signs Location","6d952048-1246-4610-ab40-b3cc4bb2d71c","Vital Signs Location","True","True","[]"
"657","string","BiomedicalConceptProperty_77","Vital Signs Laterality","24c8d065-2ec2-41ae-8743-551b21b2dc24","Vital Signs Laterality","True","True","[]"
"658","string","BiomedicalConceptProperty_78","Test Method","b5cef59b-3228-4700-8b6e-91d2cce17ca2","Test Method","True","True","[]"
"659","string","BiomedicalConceptProperty_79","Vital Signs Position","8a0ce845-e48c-40b3-99b5-1500b4c92405","Vital Signs Position","True","True","[]"
"660","decimal","BiomedicalConceptProperty_80","Vital Signs Result","e54bee80-548d-4262-813d-99a95aa97286","Vital Signs Result","True","True","[]"
"661","string","BiomedicalConceptProperty_81","Unit of Pressure","25169e70-051c-4af6-b5fc-ec79c4c36008","Unit of Pressure","True","True",""
"662","string","BiomedicalConceptProperty_82","Vital Signs Location","9eccea45-8a6b-4505-98fb-c0e52849bdf7","Vital Signs Location","True","True","[]"
"663","string","BiomedicalConceptProperty_83","Vital Signs Laterality","ba3621e5-e5ec-4114-8d2b-2ece2e4a569e","Vital Signs Laterality","True","True","[]"
"664","string","BiomedicalConceptProperty_84","Test Method","fd658472-f772-469a-b3d5-dbf6017e9e53","Test Method","True","True","[]"
"665","string","BiomedicalConceptProperty_85","Vital Signs Position","a9c157b5-9112-4783-96ea-4292bf45c4c0","Vital Signs Position","True","True","[]"
