"text","sectionNumber","sectionTitle","name","instanceType","uuid:ID","id"
"<div></div>","8.3.1","Physical Examination","SECTION 8.3.1","NarrativeContent","be884498-a4bb-432f-84e8-c7da47e1acb4","NarrativeContent_64"
"<div></div>","8.3.2","Vital Signs","SECTION 8.3.2","NarrativeContent","63df2976-cf12-4f82-a4f3-0303fa6d5da9","NarrativeContent_65"
"<div></div>","8.3.3","Electrocardiograms","SECTION 8.3.3","NarrativeContent","aee235a9-f573-41b3-8514-6f7763a12d28","NarrativeContent_66"
"<div></div>","8.3.4","Clinical Laboratory Assessments","SECTION 8.3.4","NarrativeContent","91d0ec65-64ed-4548-af6b-63c476eeb080","NarrativeContent_67"
"<div></div>","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","NarrativeContent","39a266c1-3d8a-45ef-b6f0-48a7148dfd5f","NarrativeContent_68"
"<div></div>","8.4","Adverse Events and Serious Adverse Events","SECTION 8.4","NarrativeContent","ba226750-ba2a-45a3-8c96-629e8f1d29ca","NarrativeContent_69"
"<div></div>","8.4.1","Definitions of AE and SAE","SECTION 8.4.1","NarrativeContent","ea3717fd-e8a1-462c-868a-8074d087ac76","NarrativeContent_70"
"<div></div>","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","NarrativeContent","4ec29bea-06d8-40d1-b336-2a879ff73187","NarrativeContent_71"
"<div></div>","8.4.3","Identifying AEs and SAEs","SECTION 8.4.3","NarrativeContent","a269aaa0-c990-47a7-920a-e4c203f0d6a5","NarrativeContent_72"
"<div></div>","8.4.4","Recording of AEs and SAEs","SECTION 8.4.4","NarrativeContent","f246684e-33e4-4ba8-8f04-d228dcbafb0d","NarrativeContent_73"
"<div></div>","8.4.5","Follow-up of AEs and SAEs","SECTION 8.4.5","NarrativeContent","7f198005-c317-4521-89f2-83133ee4022f","NarrativeContent_74"
"<div></div>","8.4.6","Reporting of SAEs","SECTION 8.4.6","NarrativeContent","1bbd4eae-7863-44fa-b774-1996bf45943f","NarrativeContent_75"
"<div></div>","8.4.7","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","NarrativeContent","4553d29c-43ba-48e3-9afa-636c3103e7f8","NarrativeContent_76"
"<div></div>","8.4.8","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","NarrativeContent","2bd25d55-d139-452b-bbb9-e2a76dede9c3","NarrativeContent_77"
"<div></div>","8.4.9","Adverse Events of Special Interest","SECTION 8.4.9","NarrativeContent","9a6b0a1b-5410-4300-a841-3c1b673e1446","NarrativeContent_78"
"<div></div>","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","NarrativeContent","090d2344-aa12-4bec-90cc-daae0da874d6","NarrativeContent_79"
"<div></div>","8.5","Pregnancy and Postpartum Information","SECTION 8.5","NarrativeContent","d5491eed-0dc7-48a8-aa0e-149cc289f558","NarrativeContent_80"
"<div></div>","8.5.1","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","NarrativeContent","9e671574-f13d-4d40-98eb-de949c664469","NarrativeContent_81"
"<div></div>","8.5.2","Participants Whose Partners Become Pregnant","SECTION 8.5.2","NarrativeContent","6771b5d2-3ded-4de2-b107-0bbb7524314d","NarrativeContent_82"
"<div></div>","8.6","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","NarrativeContent","11467839-fa8a-4ba2-b609-ef1f6a21c2c1","NarrativeContent_83"
"<div></div>","8.6.1","Definition of Medical Device Product Complaints","SECTION 8.6.1","NarrativeContent","23b65de8-6adb-49ca-8dab-3099aa08c98a","NarrativeContent_84"
"<div></div>","8.6.2","Recording of Medical Device Product Complaints","SECTION 8.6.2","NarrativeContent","44a6f654-8b58-41f3-9abb-726273aee798","NarrativeContent_85"
"<div></div>","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","NarrativeContent","83abee35-ed85-4278-8be8-30dc0b842cbf","NarrativeContent_86"
"<div></div>","8.6.4","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","NarrativeContent","f8a14492-dc4e-4391-8537-ecd811ab14bd","NarrativeContent_87"
"<div></div>","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","NarrativeContent","cf8a317c-21a5-4020-b94f-bc959e11af68","NarrativeContent_88"
"<div></div>","8.7","Pharmacokinetics","SECTION 8.7","NarrativeContent","17de4227-0e78-4bfc-88e6-3822059a2cd7","NarrativeContent_89"
"<div></div>","8.8","Genetics","SECTION 8.8","NarrativeContent","60af8c8a-1a63-480d-a6b5-33e089e1b294","NarrativeContent_90"
"<div></div>","8.9","Biomarkers","SECTION 8.9","NarrativeContent","2a1350ed-0847-44e5-88ca-dc65660bd75c","NarrativeContent_91"
"<div></div>","8.1","Immunogenicity Assessments","SECTION 8.1","NarrativeContent","ee92d46d-c5c3-43e6-bceb-40c25895ec74","NarrativeContent_92"
"<div></div>","8.1.1","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","NarrativeContent","13c9349b-9aee-4e82-af5f-0df215e3de48","NarrativeContent_93"
"<div></div>","9","STATISTICAL CONSIDERATIONS","SECTION 9","NarrativeContent","666a522b-4e36-4b34-a888-72675f2edc04","NarrativeContent_94"
"<div></div>","9.1","Analysis Sets","SECTION 9.1","NarrativeContent","f10c94ee-4048-47e5-a7ee-c39c4a711450","NarrativeContent_95"
"<div></div>","9.2","Analyses Supporting Primary Objective(s)","SECTION 9.2","NarrativeContent","a6a4619f-c508-47ea-9281-e3b8800dafdb","NarrativeContent_96"
"<div></div>","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","NarrativeContent","caed7f3a-b6eb-482a-bdb2-ffa8a96d9840","NarrativeContent_97"
"<div></div>","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","NarrativeContent","07622b4a-09d0-4f5b-9c28-99c20f01954a","NarrativeContent_98"
"<div></div>","9.2.3","Handling of Missing Data","SECTION 9.2.3","NarrativeContent","89795300-9515-4bdf-9261-95ed86faebe5","NarrativeContent_99"
"<div></div>","9.2.4","Sensitivity Analysis","SECTION 9.2.4","NarrativeContent","883a466c-ddbf-4770-95b9-cb325b9971f7","NarrativeContent_100"
"<div></div>","9.2.5","Supplementary Analysis","SECTION 9.2.5","NarrativeContent","db60d1d8-bbd1-4ece-b52c-118653863a34","NarrativeContent_101"
"<div></div>","9.3","Analysis Supporting Secondary Objective(s)","SECTION 9.3","NarrativeContent","6a4f2a77-5573-4274-ab46-887280008af3","NarrativeContent_102"
"<div></div>","9.4","Analysis of Exploratory Objective(s)","SECTION 9.4","NarrativeContent","052c4d49-cc3f-4e95-bb78-e414da694fc0","NarrativeContent_103"
"<div></div>","9.5","Safety Analyses","SECTION 9.5","NarrativeContent","e633c954-9fb3-417f-9ae0-a4da8aa3cc5a","NarrativeContent_104"
"<div></div>","9.6","Other Analyses","SECTION 9.6","NarrativeContent","e4405d89-36cd-4413-9a8b-7f7d012926c2","NarrativeContent_105"
"<div></div>","9.7","Interim Analyses","SECTION 9.7","NarrativeContent","130a1c5b-ae3a-4de9-b486-018faa0c78c2","NarrativeContent_106"
"<div></div>","9.8","Sample Size Determination","SECTION 9.8","NarrativeContent","cd740d75-6e4c-4cae-9622-5878904dad72","NarrativeContent_107"
"<div></div>","9.9","Protocol Deviations","SECTION 9.9","NarrativeContent","7697c874-9ab5-46ff-949f-96f288e08b09","NarrativeContent_108"
"<div></div>","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","NarrativeContent","07a28cf0-f5b9-4a39-b5ee-cd9f642c982e","NarrativeContent_109"
"<div></div>","10.1","Regulatory and Ethical Considerations","SECTION 10.1","NarrativeContent","37247138-9fd5-4260-9d48-47a7f7a99a08","NarrativeContent_110"
"<div></div>","10.2","Committees","SECTION 10.2","NarrativeContent","9468e8ee-ea4b-4252-8b02-36d847c13ac5","NarrativeContent_111"
"<div></div>","10.3","Informed Consent Process","SECTION 10.3","NarrativeContent","2ee94c00-2eea-47a5-b48a-34945375e598","NarrativeContent_112"
"<div></div>","10.4","Data Protection","SECTION 10.4","NarrativeContent","b49ea62a-0551-4d16-9f23-55fed8896b45","NarrativeContent_113"
"<div></div>","10.5","Early Site Closure or Trial Termination","SECTION 10.5","NarrativeContent","762bf9b3-0be6-4739-b808-d26eee3a66ba","NarrativeContent_114"
"<div></div>","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","NarrativeContent","34b4134d-0131-4f86-b759-2056f4994d49","NarrativeContent_115"
"<div></div>","11.1","Quality Tolerance Limits","SECTION 11.1","NarrativeContent","974a54d4-d22e-4107-9d4f-beb45535a887","NarrativeContent_116"
"<div></div>","11.2","Data Quality Assurance","SECTION 11.2","NarrativeContent","8d9988f7-4684-40c6-ad0c-512e87f53cb9","NarrativeContent_117"
"<div></div>","11.3","Source Data","SECTION 11.3","NarrativeContent","1d9b5176-da62-4242-bf33-72d8c2af2edc","NarrativeContent_118"
"<div></div>","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","NarrativeContent","7b182a99-d83c-4c3e-b149-35eeb4320935","NarrativeContent_119"
"<div></div>","12.1","Further Details and Clarifications on the AE Definition","SECTION 12.1","NarrativeContent","7705692a-6db7-48c9-88b3-c1448cc838c4","NarrativeContent_120"
"<div></div>","12.2","Further Details and Clarifications on the SAE Definition","SECTION 12.2","NarrativeContent","c6ef14e9-5c4d-4b91-bad9-8e697509e92d","NarrativeContent_121"
"<div></div>","12.3","Severity","SECTION 12.3","NarrativeContent","abc717a5-f0a8-40e2-bda3-f51e565bab71","NarrativeContent_122"
"<div></div>","12.4","Causality","SECTION 12.4","NarrativeContent","aed916d7-e1f7-4559-b8c0-ace3aa325990","NarrativeContent_123"
"<div></div>","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","NarrativeContent","bb7e85fc-c19f-48e4-97f4-e3879f59c8e2","NarrativeContent_124"
"<div></div>","13.1","Contraception and Pregnancy Testing","SECTION 13.1","NarrativeContent","2c8ed27a-7835-431e-90a8-9f95b00793d9","NarrativeContent_125"
"<div></div>","13.1.1","Definitions Related to Childbearing Potential","SECTION 13.1.1","NarrativeContent","94b8faca-6ab5-4ea6-9f14-f8717164f631","NarrativeContent_126"
"<div></div>","13.1.2","Contraception","SECTION 13.1.2","NarrativeContent","32718ebe-6383-463a-b9a1-d876e7f58e4f","NarrativeContent_127"
"<div></div>","13.1.3","Pregnancy Testing","SECTION 13.1.3","NarrativeContent","3e0f637d-7afc-476d-b846-b9ed4ca276b9","NarrativeContent_128"
"<div></div>","13.2","Clinical Laboratory Tests","SECTION 13.2","NarrativeContent","6cf92a23-b75a-446f-b131-4e84a25ff3ed","NarrativeContent_129"
"<div></div>","13.3","Country/Region-Specific Differences","SECTION 13.3","NarrativeContent","90fcb795-2689-4aa7-ae92-0c606f4e6001","NarrativeContent_130"
"<div></div>","13.4","Prior Protocol Amendments","SECTION 13.4","NarrativeContent","c8438fc5-6549-40fd-86c0-cf1b70c3cdc8","NarrativeContent_131"
"<div></div>","14","APPENDIX: GLOSSARY OF TERMS","SECTION 14","NarrativeContent","be96bc1c-a335-444e-9989-95d240475fbb","NarrativeContent_132"
"<div></div>","15","APPENDIX: REFERENCES","SECTION 15","NarrativeContent","b78f8cc7-7c62-460d-a91b-7e89087f4036","NarrativeContent_133"
