"sectionTitle","name","id","text","uuid:ID","sectionNumber"
"Rationale for Trial Design","SECTION 4.2","NarrativeContent_14","<div></div>","d8040663-d48c-43e9-bb92-2cd552c2f6fe","4.2"
"Rationale for Comparator","SECTION 4.2.1","NarrativeContent_15","<div></div>","934fbb32-bd88-4ba1-b5c2-686867b87150","4.2.1"
"Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","NarrativeContent_16","<div></div>","c672f6b1-1692-40c6-b4d7-4638f8bb8783","4.2.2"
"Other Trial Design Considerations","SECTION 4.2.3","NarrativeContent_17","<div></div>","fdfe3a7d-97c0-410b-9ad3-1954639bf73a","4.2.3"
"Access to Trial Intervention After End of Trial","SECTION 4.3","NarrativeContent_18","<div></div>","dc38ac88-91a6-40ca-bc2c-0520631596c5","4.3"
"Start of Trial and End of Trial","SECTION 4.4","NarrativeContent_19","<div></div>","4b3cdd35-c096-4e12-be8f-a0bccdc9a330","4.4"
"TRIAL POPULATION","SECTION 5","NarrativeContent_20","<div></div>","f2f9b387-b51d-49b0-96f2-8f3e824eb31c","5"
"Selection of Trial Population","SECTION 5.1","NarrativeContent_21","<div></div>","4b1b845b-573e-488e-88ac-0c9f446ace03","5.1"
"Rationale for Trial Population","SECTION 5.2","NarrativeContent_22","<div></div>","5c6e895b-429f-460a-bb84-f2ad0cf53e31","5.2"
"Inclusion Criteria","SECTION 5.3","NarrativeContent_23","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","717d49bc-15ab-4226-bb50-7ea0708c3f06","5.3"
"Exclusion Criteria","SECTION 5.4","NarrativeContent_24","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","82e8462e-be68-4840-8215-8c118473988e","5.4"
"Lifestyle Considerations","SECTION 5.5","NarrativeContent_25","<div></div>","fe52741e-5e89-48a7-906e-f5847129a2f8","5.5"
"Meals and Dietary Restrictions","SECTION 5.5.1","NarrativeContent_26","<div></div>","90c8a51c-d3cd-439a-abd4-0d1398ae5c40","5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","NarrativeContent_27","<div></div>","ed6e5c70-83f0-4e37-89e7-1ed3c08fa0ca","5.5.2"
"Physical Activity","SECTION 5.5.3","NarrativeContent_28","<div></div>","1da79e5b-722a-431a-ae9f-5323b555a4df","5.5.3"
"Other Activity","SECTION 5.5.4","NarrativeContent_29","<div></div>","eb73f249-0e10-4c70-b57b-65973604d661","5.5.4"
"Screen Failures","SECTION 5.6","NarrativeContent_30","<div></div>","2c728d7e-f22a-4205-ae60-8baaaad93bd4","5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","NarrativeContent_31","<div></div>","1e2926f6-4580-4611-8c5a-3bd30458f47e","6"
"Description of Trial Intervention","SECTION 6.1","NarrativeContent_32","<div></div>","211ab5b9-ed19-421f-8a16-c63a3821afc5","6.1"
"Rationale for Trial Intervention","SECTION 6.2","NarrativeContent_33","<div></div>","51e05e50-2a09-4d1c-8d9b-378f7b3b107a","6.2"
"Dosing and Administration","SECTION 6.3","NarrativeContent_34","<div></div>","56d57efe-2fb1-4cbe-8ae6-acea479ea8d9","6.3"
"Trial Intervention Dose Modification","SECTION 6.3.1","NarrativeContent_35","<div></div>","8076b5d9-ba6c-4473-9cc7-61c498e06aee","6.3.1"
"Treatment of Overdose","SECTION 6.4","NarrativeContent_36","<div></div>","e6a77caa-e032-4b2d-991b-f356cc672611","6.4"
"Preparation, Handling, Storage and Accountability","SECTION 6.5","NarrativeContent_37","<div></div>","8da7db81-4e19-4c89-afd0-f494925b1b5d","6.5"
"Preparation of Trial Intervention","SECTION 6.5.1","NarrativeContent_38","<div></div>","943bed4c-4971-46a0-9322-045501031e2b","6.5.1"
"Handling and Storage of Trial Intervention","SECTION 6.5.2","NarrativeContent_39","<div></div>","23f7fe47-2a22-4abe-bfe9-a3a0dcc89cc9","6.5.2"
"Accountability of Trial Intervention","SECTION 6.5.3","NarrativeContent_40","<div></div>","e5631d0c-48cf-484a-8df1-2202580a5420","6.5.3"
"Participant Assignment, Randomisation and Blinding","SECTION 6.6","NarrativeContent_41","<div></div>","515d998b-6602-4d7f-a7e2-cfc892817ce9","6.6"
"Participant Assignment","SECTION 6.6.1","NarrativeContent_42","<div></div>","6f2c2484-43e3-4f55-9d47-ad2b432ec409","6.6.1"
"Randomisation","SECTION 6.6.2","NarrativeContent_43","<div></div>","703b598c-085e-4a63-95aa-a2fcb435f98b","6.6.2"
"Blinding and Unblinding","SECTION 6.6.3","NarrativeContent_44","<div><p>Blinding and unblinding text here please</p></div>","42d456e4-8653-4e2f-affe-b5f17daa5a28","6.6.3"
"Trial Intervention Compliance","SECTION 6.7","NarrativeContent_45","<div></div>","02a291c0-6031-4ed7-8dc5-ebdce1915a0a","6.7"
"Concomitant Therapy","SECTION 6.8","NarrativeContent_46","<div></div>","a6ea4df8-d254-4645-9db7-32708d472374","6.8"
"Prohibited Concomitant Therapy","SECTION 6.8.1","NarrativeContent_47","<div></div>","5a007aa1-3ae8-41ea-ba2b-9e086ecb6b0f","6.8.1"
"Permitted Concomitant Therapy","SECTION 6.8.2","NarrativeContent_48","<div></div>","bd40fbc0-7d9a-4b54-bff7-62b3fe530baa","6.8.2"
"Rescue Therapy","SECTION 6.8.3","NarrativeContent_49","<div></div>","bc6d7e08-78e9-4a8c-9f53-ef64269c8d73","6.8.3"
"Other Therapy","SECTION 6.8.4","NarrativeContent_50","<div></div>","412f5819-b95a-4480-9f68-7288b4081ace","6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","NarrativeContent_51","<div></div>","3fc170c0-11f4-4442-a33e-036d0adb3a2a","7"
"Discontinuation of Trial Intervention","SECTION 7.1","NarrativeContent_52","<div></div>","c77f4ecf-1501-4e41-8046-d32c50628cc5","7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","NarrativeContent_53","<div></div>","29b8b4cd-67d7-4e41-8639-588ad06a0b3a","7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","NarrativeContent_54","<div></div>","eee5802a-02a4-46ba-83f1-663b9b1baebd","7.1.2"
"Rechallenge","SECTION 7.1.3","NarrativeContent_55","<div></div>","16dbd362-1f96-44e4-8466-b4bce54b1577","7.1.3"
"Participant Withdrawal from the Trial","SECTION 7.2","NarrativeContent_56","<div></div>","74e2110f-7848-4f6d-9938-c6c22cc7e153","7.2"
"Lost to Follow-Up","SECTION 7.3","NarrativeContent_57","<div></div>","68a26f23-9ad9-4ad1-9c74-9d3b3ecb81e9","7.3"
"Trial Stopping Rules","SECTION 7.4","NarrativeContent_58","<div></div>","5f369984-8cfb-4995-9522-b59748fc229b","7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","NarrativeContent_59","<div></div>","075d761b-1741-4606-a1ba-cb083b6590fa","8"
"Screening/Baseline Assessments and Procedures","SECTION 8.1","NarrativeContent_60","<div></div>","e678e027-c6d7-4d99-8cfa-53c277414664","8.1"
"Efficacy Assessments and Procedures","SECTION 8.2","NarrativeContent_61","<div></div>","c9f9c78a-ebe9-4b4b-874a-8179d32a532e","8.2"
"Safety Assessments and Procedures","SECTION 8.3","NarrativeContent_62","<div></div>","0e128a49-8f83-4434-b632-e3fa19fa6f1a","8.3"
"Physical Examination","SECTION 8.3.1","NarrativeContent_63","<div></div>","ebac40a6-77ef-4941-a4f7-b129cbe901b7","8.3.1"
"Vital Signs","SECTION 8.3.2","NarrativeContent_64","<div></div>","fc36c019-74b0-44e4-b750-fe152aadbb4b","8.3.2"
"Electrocardiograms","SECTION 8.3.3","NarrativeContent_65","<div></div>","c809ec35-a81a-42c3-aff2-698e8c073b80","8.3.3"
"Clinical Laboratory Assessments","SECTION 8.3.4","NarrativeContent_66","<div></div>","7603d7ad-b646-4b7c-bb9c-69825500c4bc","8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","NarrativeContent_67","<div></div>","29b725e3-9f56-4d7f-aa37-bc57b80bf4b9","8.3.5"
"Adverse Events and Serious Adverse Events","SECTION 8.4","NarrativeContent_68","<div></div>","f361df01-28e5-44ba-8f0b-b10c8547cf3f","8.4"
"Definitions of AE and SAE","SECTION 8.4.1","NarrativeContent_69","<div></div>","1e3c4570-b932-4522-a15a-53353a3174c3","8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","NarrativeContent_70","<div></div>","afde5312-e628-47c6-a760-3ed8848c2d77","8.4.2"
"Identifying AEs and SAEs","SECTION 8.4.3","NarrativeContent_71","<div></div>","16aa6aaf-5846-4e7f-b4a2-6e04fcbb075e","8.4.3"
"Recording of AEs and SAEs","SECTION 8.4.4","NarrativeContent_72","<div></div>","cac156a3-e5f3-4a8b-b7e5-67ac1441bac8","8.4.4"
"Follow-up of AEs and SAEs","SECTION 8.4.5","NarrativeContent_73","<div></div>","c8ba51b3-506a-493b-ae3a-78b6e1cdf268","8.4.5"
"Reporting of SAEs","SECTION 8.4.6","NarrativeContent_74","<div></div>","62102e15-3ccf-4040-a471-cefe1aa46dfe","8.4.6"
"Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","NarrativeContent_75","<div></div>","18ff20e5-a0a4-4448-8d2b-f78abc47783f","8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","NarrativeContent_76","<div></div>","c836b03f-731a-4435-813a-a521a28569b1","8.4.8"
"Adverse Events of Special Interest","SECTION 8.4.9","NarrativeContent_77","<div></div>","9492849f-a642-4bd5-85c3-39411910a71d","8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","NarrativeContent_78","<div></div>","d651bbb3-fd27-41a1-9817-b947342127f5","8.4.10"
"Pregnancy and Postpartum Information","SECTION 8.5","NarrativeContent_79","<div></div>","cfb53f88-ac6b-43ba-8a26-e41333f82327","8.5"
"Participants Who Become Pregnant During the Trial","SECTION 8.5.1","NarrativeContent_80","<div></div>","099e189f-b599-4a0d-b5bf-1697edb52101","8.5.1"
"Participants Whose Partners Become Pregnant","SECTION 8.5.2","NarrativeContent_81","<div></div>","e284dde1-5f57-4491-b969-6f132234c2f8","8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","NarrativeContent_82","<div></div>","5309e16e-7435-4626-856b-3a938209c9d3","8.6"
"Definition of Medical Device Product Complaints","SECTION 8.6.1","NarrativeContent_83","<div></div>","50f56ae5-c050-4e3f-a0c3-5fdf3c8d9bec","8.6.1"
"Recording of Medical Device Product Complaints","SECTION 8.6.2","NarrativeContent_84","<div></div>","cc120ca2-0b61-40ec-b06a-1ae1f208456b","8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","NarrativeContent_85","<div></div>","f08f0e3a-1477-441e-9477-96b30721624c","8.6.3"
"Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","NarrativeContent_86","<div></div>","7ca28477-86d3-4193-8324-83bf8f500f87","8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","NarrativeContent_87","<div></div>","933c284c-7f11-42fa-9cd1-958b6f422b18","8.6.5"
"Pharmacokinetics","SECTION 8.7","NarrativeContent_88","<div></div>","c3d7cbc2-4c44-46d2-a740-eda4f202f30b","8.7"
"Genetics","SECTION 8.8","NarrativeContent_89","<div></div>","aa239d43-5848-42b8-84e5-7cf81d4efef1","8.8"
"Biomarkers","SECTION 8.9","NarrativeContent_90","<div></div>","3a52f24a-6b35-4353-ad23-259d49b6881d","8.9"
"Immunogenicity Assessments","SECTION 8.1","NarrativeContent_91","<div></div>","0409e879-c11c-43b8-8690-52f293adc73e","8.1"
"Medical Resource Utilisation and Health Economics","SECTION 8.1.1","NarrativeContent_92","<div></div>","a11fffa2-3ad3-4e59-b401-6efca174a7de","8.1.1"
"STATISTICAL CONSIDERATIONS","SECTION 9","NarrativeContent_93","<div></div>","5dfe4b99-d900-400e-a476-eb8f77368af4","9"
"Analysis Sets","SECTION 9.1","NarrativeContent_94","<div></div>","49c65e08-7aae-4c15-9151-b9463b888de5","9.1"
"Analyses Supporting Primary Objective(s)","SECTION 9.2","NarrativeContent_95","<div></div>","d6e83b56-c642-4d92-986c-9cc2356ac37e","9.2"
"Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","NarrativeContent_96","<div></div>","3585a49b-8e89-4868-b53b-9675a2646663","9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","NarrativeContent_97","<div></div>","cba4d436-460e-48aa-9921-3ac126f0f2be","9.2.2"
"Handling of Missing Data","SECTION 9.2.3","NarrativeContent_98","<div></div>","00e0533a-6763-4def-8b5f-4c29ebd71715","9.2.3"
"Sensitivity Analysis","SECTION 9.2.4","NarrativeContent_99","<div></div>","d31d1b8a-0800-4f51-9612-91c59e63e91c","9.2.4"
"Supplementary Analysis","SECTION 9.2.5","NarrativeContent_100","<div></div>","4a854e44-19de-4876-82d7-f16b11c8085a","9.2.5"
"Analysis Supporting Secondary Objective(s)","SECTION 9.3","NarrativeContent_101","<div></div>","fe16df59-5f39-4ea4-85d9-7385133aa6ad","9.3"
"Analysis of Exploratory Objective(s)","SECTION 9.4","NarrativeContent_102","<div></div>","9e5beee5-6bb8-45f1-a593-6d2a0d4cbcd8","9.4"
"Safety Analyses","SECTION 9.5","NarrativeContent_103","<div></div>","99b0195e-5cfd-48c3-b760-5f7b51530c81","9.5"
"Other Analyses","SECTION 9.6","NarrativeContent_104","<div></div>","0bf33987-211c-47c8-8020-132722da7bc7","9.6"
"Interim Analyses","SECTION 9.7","NarrativeContent_105","<div></div>","e1cb0bc6-679c-4c77-b3a8-1a93f7f4082e","9.7"
"Sample Size Determination","SECTION 9.8","NarrativeContent_106","<div></div>","b551282b-7e42-4bad-9480-9a0da05fb8c8","9.8"
"Protocol Deviations","SECTION 9.9","NarrativeContent_107","<div></div>","edde2df0-c581-4f0f-82ab-72d087ab183b","9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","NarrativeContent_108","<div></div>","417ffd15-8728-4ffa-bdc5-98280853bed0","10"
"Regulatory and Ethical Considerations","SECTION 10.1","NarrativeContent_109","<div></div>","e9048e69-c4d2-4f27-9add-ef13d19d8a06","10.1"
"Committees","SECTION 10.2","NarrativeContent_110","<div></div>","ad02286d-4a41-430a-b91c-5176bf76c948","10.2"
"Informed Consent Process","SECTION 10.3","NarrativeContent_111","<div></div>","c110864e-77de-44a3-bca8-9bc5e4be8089","10.3"
"Data Protection","SECTION 10.4","NarrativeContent_112","<div></div>","1c97b8aa-aef0-4ab6-91a2-14d80e4aff95","10.4"
"Early Site Closure or Trial Termination","SECTION 10.5","NarrativeContent_113","<div></div>","cf110929-c835-418c-9f7b-d6c951470424","10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","NarrativeContent_114","<div></div>","c0677df5-afa5-4602-a88c-f6201ecc93da","11"
"Quality Tolerance Limits","SECTION 11.1","NarrativeContent_115","<div></div>","9ff00175-87fb-4cc9-a51e-53dc3fef65e4","11.1"
"Data Quality Assurance","SECTION 11.2","NarrativeContent_116","<div></div>","9ea00df9-e18c-4cfb-9034-dc895404fd67","11.2"
"Source Data","SECTION 11.3","NarrativeContent_117","<div></div>","1d7f4963-70f3-4ed3-9634-aea38c6c4eb4","11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","NarrativeContent_118","<div></div>","94444654-fd26-411a-977a-bb525878df44","12"
"Further Details and Clarifications on the AE Definition","SECTION 12.1","NarrativeContent_119","<div></div>","cc62e50e-1ec1-4902-939b-ce0506f3fc55","12.1"
"Further Details and Clarifications on the SAE Definition","SECTION 12.2","NarrativeContent_120","<div></div>","65d2d9ca-295c-4ae9-b7df-fe12d8f77913","12.2"
"Severity","SECTION 12.3","NarrativeContent_121","<div></div>","cb0818c0-9644-45d2-b2a3-14134bd7e9f0","12.3"
"Causality","SECTION 12.4","NarrativeContent_122","<div></div>","407a7dcc-aa6e-4999-ba29-4378f982c0f2","12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","NarrativeContent_123","<div></div>","0dd50644-d0ec-4670-8c69-0a62859c9d78","13"
"Contraception and Pregnancy Testing","SECTION 13.1","NarrativeContent_124","<div></div>","6fc1cfe6-6278-42cd-8cd9-e0c4ca1887e9","13.1"
"Definitions Related to Childbearing Potential","SECTION 13.1.1","NarrativeContent_125","<div></div>","e5968cf1-3aa1-4d98-9322-91ec0d31a965","13.1.1"
"Contraception","SECTION 13.1.2","NarrativeContent_126","<div></div>","284a921c-5fd6-4648-af4f-09188ef295ea","13.1.2"
"Pregnancy Testing","SECTION 13.1.3","NarrativeContent_127","<div></div>","ced188da-cba1-4ed9-96d2-64ccb750b732","13.1.3"
"Clinical Laboratory Tests","SECTION 13.2","NarrativeContent_128","<div></div>","382c36dd-66fc-466b-b264-53853900eab5","13.2"
"Country/Region-Specific Differences","SECTION 13.3","NarrativeContent_129","<div></div>","2303db49-4214-4acd-9ee4-7628028e3635","13.3"
"Prior Protocol Amendments","SECTION 13.4","NarrativeContent_130","<div></div>","d7138716-6fb1-4072-9b85-a1421221df8b","13.4"
"APPENDIX: GLOSSARY OF TERMS","SECTION 14","NarrativeContent_131","<div></div>","b77fbd06-135a-404c-99e4-be4882b26b21","14"
"APPENDIX: REFERENCES","SECTION 15","NarrativeContent_132","<div></div>","cce39d69-f91e-4391-a526-f2076eb08de2","15"
