"id:ID","code","decode","id","codeSystemVersion","codeSystem","uuid"
"95","C67365","Unit of Catalytic Activity Concentration","Code_274","","NCI Thesaurus","47e8ee84-9584-4acd-a52b-646f39ce7ba8"
"96","C70713","Biospecimen Type","Code_275","","NCI Thesaurus","c0e55e48-1038-4aee-9ceb-3735cecaa4aa"
"97","C64432","Alkaline Phosphatase Measurement","Code_271","","NCI Thesaurus","71ac2177-69dd-45c5-8e8e-911e99599109"
"98","C36292","Laboratory Test Result","Code_277","","NCI Thesaurus","83d72c77-0f57-4ca3-a15a-d7332189bb50"
"99","C83309","Laboratory Test Fasting Status","Code_278","","NCI Thesaurus","79a411cf-ccec-4f84-a02f-302c17966f05"
"100","C67365","Unit of Catalytic Activity Concentration","Code_279","","NCI Thesaurus","cb43b8bd-e8da-4033-bcf3-b0f4b2e44a4f"
"101","C70713","Biospecimen Type","Code_280","","NCI Thesaurus","0c759653-6402-47b3-b76f-5f413a87c610"
"102","C64467","Aspartate Aminotransferase Measurement","Code_276","","NCI Thesaurus","4b58ca26-fc2c-4979-9348-834ccdd0a90f"
"103","C36292","Laboratory Test Result","Code_282","","NCI Thesaurus","7d3aa5f6-b446-401f-a70c-c3ded4dee6ef"
"104","C83309","Laboratory Test Fasting Status","Code_283","","NCI Thesaurus","465262f1-d493-43dc-afae-0dfbadc179db"
"105","C48207","Unit of Concentration","Code_284","","NCI Thesaurus","6d77d48c-f92d-436a-9de3-d243b4956f24"
"106","C70713","Biospecimen Type","Code_285","","NCI Thesaurus","b0ac468e-a997-4131-bc69-4a75f1421c73"
"107","C64547","Creatinine Measurement","Code_281","","NCI Thesaurus","3e4af000-fc64-4526-a92f-3eb63dca1795"
"108","C36292","Laboratory Test Result","Code_287","","NCI Thesaurus","f908de4c-4046-4240-a9ac-41975516a6d7"
"109","C83309","Laboratory Test Fasting Status","Code_288","","NCI Thesaurus","b4115716-7bd2-41c1-83bf-301d10cb0a15"
"110","C64567","Molarity Unit","Code_289","","NCI Thesaurus","a38c77a0-73fe-4471-9dee-6e4a8022d892"
"111","C70713","Biospecimen Type","Code_290","","NCI Thesaurus","8efaea03-023f-4a23-9cb2-4060af4ef5fd"
"112","C64853","Potassium Measurement","Code_286","","NCI Thesaurus","e784921e-a75b-4351-8905-8bf01d9df4c5"
"113","C36292","Laboratory Test Result","Code_292","","NCI Thesaurus","b24e1c64-bb68-44ea-bcd6-9a1d41c42ca3"
"114","C83309","Laboratory Test Fasting Status","Code_293","","NCI Thesaurus","21648cb0-6b1b-4743-b2ea-dbfacb29618f"
"115","C64567","Molarity Unit","Code_294","","NCI Thesaurus","3d447c45-f64a-4812-bb57-e3acc4b1399f"
"116","C70713","Biospecimen Type","Code_295","","NCI Thesaurus","e0e4bc80-61db-4818-945e-22db8ccf8d7d"
"117","C64809","Sodium Measurement","Code_291","","NCI Thesaurus","b1412bbe-e990-4df9-8e9b-1f169e6ddb16"
"118","C78541","Adverse Event Verbatim Description","Code_126","","NCI Thesaurus","51fe0a1b-b00b-4383-8f2b-7bf9b1393826"
"119","C83344","Adverse Event Dictionary Derived Term","Code_127","","NCI Thesaurus","5eda536f-c393-4184-a603-43601f0a76d0"
"120","C83198","Adverse Event Category","Code_128","","NCI Thesaurus","d627351e-6a32-48b4-97fa-ce944f9da01b"
"121","C83212","Adverse Event Subcategory","Code_129","","NCI Thesaurus","fb70ed58-db63-4a9e-84ed-19e62d66fb2b"
"122","C87840","Adverse Event Pre-specified","Code_130","","NCI Thesaurus","32856c6c-ca87-461b-80f9-65ec4f44dfb5"
"123","C53253","Severity of Adverse Event","Code_131","","NCI Thesaurus","54f8086e-8880-4210-900c-c31694bbb4f8"
"124","C78605","Adverse Event Toxicity Grade","Code_132","","NCI Thesaurus","74613446-8cca-4853-9fcc-251de66addb9"
"125","C53252","Seriousness of Adverse Event","Code_133","","NCI Thesaurus","f593d3d9-e4a8-4dd3-a4e8-819e927199bd"
"126","C17998","Unknown","Code_134","2023-09-29","http://www.cdisc.org","9422e123-8acf-4bbe-bab6-7dae036a0c98"
"127","C83013","Adverse Event Action Taken with Study Treatment","Code_135","","NCI Thesaurus","d0eb17a4-527b-42dc-b180-d8920f4a39c8"
"128","C41358","Adverse Event Attribution to Product or Procedure","Code_136","","NCI Thesaurus","9e8cca15-cded-4df2-b91f-30d0b0a761d6"
"129","C83208","Adverse Event Pattern","Code_137","","NCI Thesaurus","c901b332-688a-4724-8804-753044783889"
"130","C17998","Unknown","Code_138","2023-09-29","http://www.cdisc.org","9b44cead-e12a-4552-a3fd-67ec04023368"
"131","C49489","Adverse Event Outcome","Code_139","","NCI Thesaurus","170b54e9-d6e3-480b-9caf-3d3f40e52411"
"132","C83215","Adverse Event Start Date Time","Code_140","","NCI Thesaurus","8bd75858-0329-4e4f-b165-5b78977f1f09"
"133","C83201","Adverse Event End Date Time","Code_141","","NCI Thesaurus","19a0c2ad-ba72-4210-8a12-edb74f76156c"
"134","C41331","Adverse Event","Code_125","","NCI Thesaurus","77b259b0-f39e-4e1e-aec7-23d7daf81207"
"135","C173522","Vital Signs Result","Code_143","","NCI Thesaurus","bfb3c6be-af3f-4c35-a909-f7d3c0860ce2"
"136","C42547","Pascal","Code_144","2023-09-29","http://www.cdisc.org","4a658c53-4482-4f7f-846e-5d1ef78b9e71"
"137","C49669","Unit of Pressure","Code_145","","NCI Thesaurus","48bbc40f-191d-44d9-8239-07ea9a20064a"
"138","C83088","Vital Signs Location","Code_146","","NCI Thesaurus","4ab41c2a-016d-42c9-9499-d6687c1ec2c1"
"139","C123975","Vital Signs Laterality","Code_147","","NCI Thesaurus","e98e7956-2c5f-4593-8b17-e332eb2e2043"
"140","C82535","Test Method","Code_148","","NCI Thesaurus","74c47ed2-54ff-4d74-b531-4eb171ff6f71"
"141","C83114","Vital Signs Position","Code_149","","NCI Thesaurus","a2c4ac38-c148-4b43-90c0-c86eeb91d580"
"142","C25298","Systolic Blood Pressure","Code_142","","NCI Thesaurus","889a1a1d-7bfc-4aee-a114-9b6809b6eeaf"
"143","C173522","Vital Signs Result","Code_151","","NCI Thesaurus","be84e2f0-e491-439e-89db-08f4575e59df"
"144","C42547","Pascal","Code_152","2023-09-29","http://www.cdisc.org","8188332a-27e2-41cc-accc-85593553c1d9"
"145","C49669","Unit of Pressure","Code_153","","NCI Thesaurus","621409de-c8e6-4f90-980c-0ba7ab0a4bcc"
"146","C83088","Vital Signs Location","Code_154","","NCI Thesaurus","2112fcaf-75de-4574-bf3c-4b77353a5bc2"
"147","C123975","Vital Signs Laterality","Code_155","","NCI Thesaurus","e98db39e-f306-46cd-b3c6-4495f788f0e8"
"148","C82535","Test Method","Code_156","","NCI Thesaurus","4cc81936-c10b-41e2-9730-c042f976a171"
"149","C83114","Vital Signs Position","Code_157","","NCI Thesaurus","401a1d02-6d40-4572-8b06-80998adc5ec4"
"150","C25299","Diastolic Blood Pressure","Code_150","","NCI Thesaurus","8ac335a2-a0d3-404e-a44e-150d57ce9994"
"151","C173522","Vital Signs Result","Code_159","","NCI Thesaurus","93dfd764-4936-4aa2-a98c-e2674da576b7"
"152","C42537","Kelvin","Code_160","2023-09-29","http://www.cdisc.org","bd55b09e-13c7-4091-87fa-838f0b6c1b68"
"153","C44276","Unit of Temperature","Code_161","","NCI Thesaurus","712d4801-c47f-4f4a-8f47-b265e07f0a14"
"154","C83088","Vital Signs Location","Code_162","","NCI Thesaurus","b2262f61-e07c-4ecc-8e51-54f753e5ea29"
"155","C174446","Body Temperature","Code_158","","NCI Thesaurus","b0cb8cdf-d7af-4b5e-8d7b-ca0d0d368fc9"
"156","C173522","Vital Signs Result","Code_164","","NCI Thesaurus","9ec27332-2b26-40f4-b691-ac8c6832b782"
"157","C28252","Kilogram","Code_165","2023-09-29","http://www.cdisc.org","dfd4b909-7d52-4405-a473-5f32743727a2"
"158","C48155","Gram","Code_166","2023-09-29","http://www.cdisc.org","2ae9c5a1-9243-401c-a99b-5ed260673f92"
"159","C48531","Pound","Code_167","2023-09-29","http://www.cdisc.org","91dba341-ca0c-46e0-9082-dd5fa3ec4d18"
"160","C48208","Unit of Weight","Code_168","","NCI Thesaurus","84820b36-3d3b-43d4-9585-b88cbde5b03d"
"161","C81328","Body Weight","Code_163","","NCI Thesaurus","f7309705-968e-4068-930d-da0475db8bd6"
"162","C173522","Vital Signs Result","Code_170","","NCI Thesaurus","95c2e88f-84e0-478b-bced-e73244c95af6"
"163","C49668","Centimeter","Code_171","2023-09-29","http://www.cdisc.org","ff79020f-de7b-4f35-aefd-abca5b5541b9"
"164","C48500","Inch","Code_172","2023-09-29","http://www.cdisc.org","e8ebdaf9-d150-480a-8d2c-e11b5e168d1b"
"165","C28251","Millimeter","Code_173","2023-09-29","http://www.cdisc.org","0e43fa00-55ca-43da-9d9d-1762aad19af9"
"166","C41139","Meter","Code_174","2023-09-29","http://www.cdisc.org","bc300e61-9690-4e02-aa93-57cad417b3b9"
"167","C168688","Unit of Height","Code_175","","NCI Thesaurus","c0e9484c-05b5-4239-af52-1c664148bab2"
"168","C164634","Body Height","Code_169","","NCI Thesaurus","a1812ae6-7f04-4f47-a779-897a1c5dd933"
"169","C36292","Laboratory Test Result","Code_177","","NCI Thesaurus","82da824a-61cc-4ffd-bb12-32a541285697"
"170","C83309","Laboratory Test Fasting Status","Code_178","","NCI Thesaurus","606eb0c2-25fa-459d-bcbe-63d20f98f49a"
"171","C67365","Unit of Catalytic Activity Concentration","Code_179","","NCI Thesaurus","25016500-618b-4e96-b4d1-c88db96f8af2"
"172","C70713","Biospecimen Type","Code_180","","NCI Thesaurus","c84b24dd-5d81-4eda-a8cc-e287d1accda8"
"173","C64433","Alanine Aminotransferase Measurement","Code_176","","NCI Thesaurus","a5b93d34-fba3-49c8-a679-21c4291b93f1"
"174","C36292","Laboratory Test Result","Code_182","","NCI Thesaurus","fd8cf276-4f4f-4e04-b801-c50ff832e42b"
"175","C83309","Laboratory Test Fasting Status","Code_183","","NCI Thesaurus","ec4d459a-c6b6-47f5-b389-a1424bf84782"
"176","C48207","Unit of Concentration","Code_184","","NCI Thesaurus","e3e62d11-ac5c-4015-a055-0cbe0d98783e"
"177","C70713","Biospecimen Type","Code_185","","NCI Thesaurus","8c74bb90-7f73-4972-bf43-1792c0c6610b"
"178","C64431","Albumin Measurement","Code_181","","NCI Thesaurus","7592dbf2-591a-4801-be57-dad18227f9cd"
"179","C36292","Laboratory Test Result","Code_187","","NCI Thesaurus","f59302eb-b264-4efa-8153-29a3c8f5eadb"
"180","C83309","Laboratory Test Fasting Status","Code_188","","NCI Thesaurus","16d69061-ad68-4e84-9e12-ddbb65bc92b7"
"181","C67365","Unit of Catalytic Activity Concentration","Code_189","","NCI Thesaurus","c5254fc6-9156-466d-be24-ff15348b7494"
"182","C70713","Biospecimen Type","Code_190","","NCI Thesaurus","45cf0fb7-c801-459d-b8a7-a93b678f9635"
"183","C64432","Alkaline Phosphatase Measurement","Code_186","","NCI Thesaurus","213c15c1-220d-4945-9af5-cceb50b066ee"
"184","C36292","Laboratory Test Result","Code_192","","NCI Thesaurus","5a1e58a0-6354-43fe-ab5f-a3b580a89398"
"185","C83309","Laboratory Test Fasting Status","Code_193","","NCI Thesaurus","05958953-b422-44de-bfcc-f021d8b0071f"
"186","C67365","Unit of Catalytic Activity Concentration","Code_194","","NCI Thesaurus","6b972aac-11b6-4bc5-9a52-378d905c764b"
"187","C70713","Biospecimen Type","Code_195","","NCI Thesaurus","61b1b087-8643-496b-b6da-97662227026d"
"188","C64467","Aspartate Aminotransferase Measurement","Code_191","","NCI Thesaurus","922c31cf-cae2-4f9a-a840-eb8452cdd776"
"189","C36292","Laboratory Test Result","Code_197","","NCI Thesaurus","a8c7724f-443a-45ea-9abb-d2940712a9a6"
"190","C83309","Laboratory Test Fasting Status","Code_198","","NCI Thesaurus","07df1541-bc77-40b5-9b7c-1179622fb198"
"191","C48207","Unit of Concentration","Code_199","","NCI Thesaurus","f3d38dd7-054b-43f5-ad9d-ace06e1f36d0"
"192","C70713","Biospecimen Type","Code_200","","NCI Thesaurus","2954b70d-5b84-4445-bf07-16dc73c31a11"
"193","C64547","Creatinine Measurement","Code_196","","NCI Thesaurus","d8d92440-55cf-44a7-a856-58d66e5e3206"
"194","C36292","Laboratory Test Result","Code_202","","NCI Thesaurus","ded745e3-2da3-4348-9bd6-4e6d157d6be4"
"195","C83309","Laboratory Test Fasting Status","Code_203","","NCI Thesaurus","eb1152f6-3d97-48c2-aff9-53b21d4038d1"
"196","C64567","Molarity Unit","Code_204","","NCI Thesaurus","eef9df19-8360-4476-b50b-5e2ed397e337"
"197","C70713","Biospecimen Type","Code_205","","NCI Thesaurus","a0d0767c-fae8-45bb-961f-d79f7bacb3de"
"198","C64853","Potassium Measurement","Code_201","","NCI Thesaurus","f9b9a2ed-1e06-4e26-8ad2-1cd18ff88467"
"199","C36292","Laboratory Test Result","Code_207","","NCI Thesaurus","eb3a4cd9-19d7-40ec-8ae7-460c43601bf0"
"200","C83309","Laboratory Test Fasting Status","Code_208","","NCI Thesaurus","0b862c99-ea19-4f47-bd3e-38da6732b0b3"
"201","C64567","Molarity Unit","Code_209","","NCI Thesaurus","e196332e-79e4-41ee-8da1-2362baa7360f"
"202","C70713","Biospecimen Type","Code_210","","NCI Thesaurus","93fb23d0-543d-4ed4-bc0a-a481c671de68"
"203","C64809","Sodium Measurement","Code_206","","NCI Thesaurus","3c1e41e7-1d22-4552-8fc9-91b6966e2d2b"
"204","C173522","Vital Signs Result","Code_212","","NCI Thesaurus","ea282a2c-f920-49f9-a946-2eb5d09d8d78"
"205","C42547","Pascal","Code_213","2023-09-29","http://www.cdisc.org","3443272d-002f-43fb-beee-b66c9a0ab468"
"206","C49669","Unit of Pressure","Code_214","","NCI Thesaurus","d61aedc0-d856-4f05-a3f3-e9a3944f08bc"
"207","C83088","Vital Signs Location","Code_215","","NCI Thesaurus","7f7c1207-dbc6-4ff7-91fc-9ec8eb50a744"
"208","C123975","Vital Signs Laterality","Code_216","","NCI Thesaurus","91ac0c69-c19c-436b-a025-a973aec701d6"
"209","C82535","Test Method","Code_217","","NCI Thesaurus","afe58414-b554-448f-b38c-7ed16914efc7"
"210","C83114","Vital Signs Position","Code_218","","NCI Thesaurus","56306499-3fec-4fa7-a465-ab149eff3bb1"
"211","C25298","Systolic Blood Pressure","Code_211","","NCI Thesaurus","b20861a2-8866-4b29-bddc-3ca04e5c9e31"
"212","C173522","Vital Signs Result","Code_220","","NCI Thesaurus","a06b6057-c630-46c3-ba99-158f22393abe"
"213","C42547","Pascal","Code_221","2023-09-29","http://www.cdisc.org","f43c18a3-501a-4838-87f1-06838ad6865b"
"214","C49669","Unit of Pressure","Code_222","","NCI Thesaurus","889f21fb-8e77-441c-ab8e-dd67b74996b7"
"215","C83088","Vital Signs Location","Code_223","","NCI Thesaurus","3a741d4f-20b0-427c-abf0-3da7f46d0bb2"
"216","C123975","Vital Signs Laterality","Code_224","","NCI Thesaurus","e98e14d3-41a7-40c8-b54e-26788b68dc2e"
"217","C82535","Test Method","Code_225","","NCI Thesaurus","7fa5c0b0-7549-4ced-83ab-0eb432e2d517"
"218","C83114","Vital Signs Position","Code_226","","NCI Thesaurus","a408b034-4c60-4167-9dd7-26f27b8f02f2"
"219","C25299","Diastolic Blood Pressure","Code_219","","NCI Thesaurus","d2ee9e5c-ca86-4c94-a262-fcf6eb2dd009"
"220","C173522","Vital Signs Result","Code_228","","NCI Thesaurus","0e2d9c02-9e3e-4ae5-b0f2-8bb6bfdeb582"
"221","C42547","Pascal","Code_229","2023-09-29","http://www.cdisc.org","5ea4b7d5-7d72-431c-88f0-68c97216331c"
"222","C49669","Unit of Pressure","Code_230","","NCI Thesaurus","a17099ed-b2ec-4b90-9a4f-6c443d1886f5"
"223","C83088","Vital Signs Location","Code_231","","NCI Thesaurus","f9500db4-cade-4d1a-ba0e-7ee42e7819bb"
