"id","instanceType","uuid:ID","name","label","reference","synonyms"
"BiomedicalConcept_32","BiomedicalConcept","f47ecf8a-aaa1-4742-80f4-b0a6f9c2a165","Sodium Concentration in Urine","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept_33","BiomedicalConcept","91c34ccb-965d-4e99-a65e-d7b8340bccf3","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"BiomedicalConcept_1","BiomedicalConcept","ac2d766a-94a0-4281-89da-e7dbff13ac67","Adverse Event Prespecified","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']"
"BiomedicalConcept_2","BiomedicalConcept","7de93244-4540-4984-b0d7-a6732bc42051","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_3","BiomedicalConcept","95c2f853-49a4-4ff0-97b4-31827822f965","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_4","BiomedicalConcept","c3bcb333-5b1a-4c27-a53f-44165f411c7f","Temperature","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']"
"BiomedicalConcept_5","BiomedicalConcept","bd9e0821-a260-4f55-bafc-77ccde7bea89","Weight","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']"
"BiomedicalConcept_6","BiomedicalConcept","0e820d1c-67ed-4508-99fb-8a4e54173ccc","Height","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']"
"BiomedicalConcept_7","BiomedicalConcept","43a210d5-614f-49f3-a684-e5c3c80e96ed","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_8","BiomedicalConcept","e62ac7b2-36a6-4e6e-ae4a-279464eed20c","Albumin Presence in Urine","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_9","BiomedicalConcept","ce32d17e-0b1d-4672-827d-b4ca53e52ef2","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_10","BiomedicalConcept","0d2abdd7-e923-4ef1-812b-fae6cec9cca4","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_11","BiomedicalConcept","ec09feec-e8fb-437d-b060-8669d1294d7f","Creatinine Concentration in Urine","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_12","BiomedicalConcept","9532665e-4fbd-4d7f-b9b7-e51c2ef252b3","Potassium Concentration in Urine","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept_13","BiomedicalConcept","30163c18-5f86-484c-a300-a2d1d8399479","Sodium Concentration in Urine","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept_14","BiomedicalConcept","47363bcc-ef1d-4a25-b569-aee1bbc225d4","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_15","BiomedicalConcept","ced324bc-74b8-453d-8d12-47fe16bda6d9","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_16","BiomedicalConcept","9da6f537-a5ea-4e50-b88a-4da2205d77a3","Heart Rate","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']"
"BiomedicalConcept_17","BiomedicalConcept","113de23c-a518-4aa6-8484-aaaed986ae87","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept_18","BiomedicalConcept","7a168b24-6bec-4a94-a1d9-28ac4bc56880","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept_19","BiomedicalConcept","de283924-2d77-49df-9e5b-fb0f58e2ea41","Heart Rate","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']"
