"sectionTitle","uuid:ID","sectionNumber","instanceType","name","id","text"
"Rationale for Trial Design","2caa04bd-f007-48b7-89a5-7be49455c18d","4.2","NarrativeContent","SECTION 4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"Rationale for Comparator","2e02e036-f1d6-4e3c-a423-6841fa721857","4.2.1","NarrativeContent","SECTION 4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"Rationale for Adaptive or Novel Trial Design","ae4d0c16-2c9d-46e3-88b6-75a687fa9d04","4.2.2","NarrativeContent","SECTION 4.2.2","NarrativeContent_17","<div></div>"
"Other Trial Design Considerations","76bdf380-38d9-4721-b5f2-f501a51d6f0d","4.2.3","NarrativeContent","SECTION 4.2.3","NarrativeContent_18","<div></div>"
"Access to Trial Intervention After End of Trial","661fa337-76fa-403e-8bb7-a16621a584cc","4.3","NarrativeContent","SECTION 4.3","NarrativeContent_19","<div></div>"
"Start of Trial and End of Trial","e1e023da-f79d-4d3d-b86e-d92ebe596ac1","4.4","NarrativeContent","SECTION 4.4","NarrativeContent_20","<div></div>"
"TRIAL POPULATION","b1d47318-c005-42b0-b1a2-fc9625ea6866","5","NarrativeContent","SECTION 5","NarrativeContent_21","<div></div>"
"Selection of Trial Population","0566d3ea-bbc8-4de6-baa4-bf1ce94dc669","5.1","NarrativeContent","SECTION 5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"Rationale for Trial Population","cb0bad3a-fcd7-441f-9a60-953e214d2e1c","5.2","NarrativeContent","SECTION 5.2","NarrativeContent_23","<div></div>"
"Inclusion Criteria","41e2f3a6-7659-4989-8282-5faf942ece95","5.3","NarrativeContent","SECTION 5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>"
"Exclusion Criteria","006c76e1-f552-4d41-b9b2-fc41bd1aeef5","5.4","NarrativeContent","SECTION 5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>"
"Lifestyle Considerations","d54d3121-d8be-4a76-a489-e5c14470bbf6","5.5","NarrativeContent","SECTION 5.5","NarrativeContent_26","<div></div>"
"Meals and Dietary Restrictions","e130981b-6bfe-40de-ad9d-2b8582f3277b","5.5.1","NarrativeContent","SECTION 5.5.1","NarrativeContent_27","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","c047602a-ae5d-4c27-9a87-943125e0ff8d","5.5.2","NarrativeContent","SECTION 5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>"
"Physical Activity","0615322b-f36d-4e9e-b1fa-0617d3e204c6","5.5.3","NarrativeContent","SECTION 5.5.3","NarrativeContent_29","<div></div>"
"Other Activity","1cb5be57-e185-48e9-9a6a-eed6d0008b67","5.5.4","NarrativeContent","SECTION 5.5.4","NarrativeContent_30","<div></div>"
"Screen Failures","b9b0d495-d2b2-46ca-9481-1ba93231ce47","5.6","NarrativeContent","SECTION 5.6","NarrativeContent_31","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","b6a234bf-fbc0-4f1f-85a4-83acb92fe853","6","NarrativeContent","SECTION 6","NarrativeContent_32","<div></div>"
"Description of Trial Intervention","44a506dd-20e7-4a90-a8bc-4aae5116f717","6.1","NarrativeContent","SECTION 6.1","NarrativeContent_33","<div></div>"
"Rationale for Trial Intervention","895013c2-c9f8-489f-8fdd-e92db37ea7fc","6.2","NarrativeContent","SECTION 6.2","NarrativeContent_34","<div></div>"
"Dosing and Administration","3356c840-e932-4806-9c4d-4ebd21ae1edf","6.3","NarrativeContent","SECTION 6.3","NarrativeContent_35","<div></div>"
"Trial Intervention Dose Modification","815129af-8c84-4369-96ca-f99f57ced3ea","6.3.1","NarrativeContent","SECTION 6.3.1","NarrativeContent_36","<div></div>"
"Treatment of Overdose","b77a292e-8d7c-45d9-9a67-63c0d70e9a4a","6.4","NarrativeContent","SECTION 6.4","NarrativeContent_37","<div></div>"
"Preparation, Handling, Storage and Accountability","1f93d4fd-e901-4478-8717-25b01cd84c30","6.5","NarrativeContent","SECTION 6.5","NarrativeContent_38","<div></div>"
"Preparation of Trial Intervention","b024308e-e04e-4401-a42f-fbad01b628af","6.5.1","NarrativeContent","SECTION 6.5.1","NarrativeContent_39","<div></div>"
"Handling and Storage of Trial Intervention","23fe2512-dcb1-4165-8238-53006ac4555e","6.5.2","NarrativeContent","SECTION 6.5.2","NarrativeContent_40","<div></div>"
"Accountability of Trial Intervention","8ea72428-893c-4b9e-bda1-5e15bd16b246","6.5.3","NarrativeContent","SECTION 6.5.3","NarrativeContent_41","<div></div>"
"Participant Assignment, Randomisation and Blinding","ad2fba01-2f5b-4bf1-ac64-7f4567f560b2","6.6","NarrativeContent","SECTION 6.6","NarrativeContent_42","<div></div>"
"Participant Assignment","179ddeb9-d692-486f-95f3-6dbda20c904f","6.6.1","NarrativeContent","SECTION 6.6.1","NarrativeContent_43","<div></div>"
"Randomisation","a35909da-0cd5-4c86-bd9c-72fcdf6637ef","6.6.2","NarrativeContent","SECTION 6.6.2","NarrativeContent_44","<div></div>"
"Blinding and Unblinding","f3285f00-7531-46a9-b034-c906e3c659ca","6.6.3","NarrativeContent","SECTION 6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"Trial Intervention Compliance","529dab18-6e97-4da8-b426-64989ea3d8d2","6.7","NarrativeContent","SECTION 6.7","NarrativeContent_46","<div></div>"
"Concomitant Therapy","e35a88fc-5c93-4226-81b6-13c69ef9984c","6.8","NarrativeContent","SECTION 6.8","NarrativeContent_47","<div></div>"
"Prohibited Concomitant Therapy","b2c6e9f9-94bb-4f42-9a87-92bc6a435897","6.8.1","NarrativeContent","SECTION 6.8.1","NarrativeContent_48","<div></div>"
"Permitted Concomitant Therapy","f58d5360-e05b-4ad3-a405-0b01caffc38e","6.8.2","NarrativeContent","SECTION 6.8.2","NarrativeContent_49","<div></div>"
"Rescue Therapy","6ab46092-e2eb-4c12-b3c4-d6f6bb180a7f","6.8.3","NarrativeContent","SECTION 6.8.3","NarrativeContent_50","<div></div>"
"Other Therapy","40831471-435c-4460-ae99-033a91dfffcd","6.8.4","NarrativeContent","SECTION 6.8.4","NarrativeContent_51","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","48f38633-bd8b-4511-94e8-f53b1ebe26b0","7","NarrativeContent","SECTION 7","NarrativeContent_52","<div></div>"
"Discontinuation of Trial Intervention","ffae4744-ad42-4582-9bcd-54103a293649","7.1","NarrativeContent","SECTION 7.1","NarrativeContent_53","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","e3815c7c-efe9-4ec9-b844-902735c73ecf","7.1.1","NarrativeContent","SECTION 7.1.1","NarrativeContent_54","<div></div>"
"Temporary Discontinuation or Interruption of Trial Intervention","6e860e25-e2a8-4c1b-bce1-37ec4f74b1f0","7.1.2","NarrativeContent","SECTION 7.1.2","NarrativeContent_55","<div></div>"
"Rechallenge","418e990b-3dc0-4abe-888e-15dc51886ae9","7.1.3","NarrativeContent","SECTION 7.1.3","NarrativeContent_56","<div></div>"
"Participant Withdrawal from the Trial","2c9641c5-7e8d-4479-badb-6a0bee378e0a","7.2","NarrativeContent","SECTION 7.2","NarrativeContent_57","<div></div>"
"Lost to Follow-Up","10403362-3fa9-417b-a1ce-9c34d2ba26b7","7.3","NarrativeContent","SECTION 7.3","NarrativeContent_58","<div></div>"
"Trial Stopping Rules","41f607b1-b857-40ff-aad1-4b35ced97415","7.4","NarrativeContent","SECTION 7.4","NarrativeContent_59","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","ae1f1e84-8c86-41ef-a58b-84b9976201e7","8","NarrativeContent","SECTION 8","NarrativeContent_60","<div></div>"
"Screening/Baseline Assessments and Procedures","df40d901-7f75-4b09-a13b-bd4c1c5efaaf","8.1","NarrativeContent","SECTION 8.1","NarrativeContent_61","<div></div>"
"Efficacy Assessments and Procedures","d5deda86-a694-43cb-a8c5-b7758f8f0b1e","8.2","NarrativeContent","SECTION 8.2","NarrativeContent_62","<div></div>"
"Safety Assessments and Procedures","0c0e5c8c-b1db-43a4-bbd6-856fee91e3b1","8.3","NarrativeContent","SECTION 8.3","NarrativeContent_63","<div></div>"
"Physical Examination","d1ffb55c-0b88-44b9-a5fe-b7185749fbdd","8.3.1","NarrativeContent","SECTION 8.3.1","NarrativeContent_64","<div></div>"
"Vital Signs","d6cdefa6-9b9f-43a0-a97a-b20b0a39e826","8.3.2","NarrativeContent","SECTION 8.3.2","NarrativeContent_65","<div></div>"
"Electrocardiograms","0beb1287-e8ab-441d-a656-f78f6a72adac","8.3.3","NarrativeContent","SECTION 8.3.3","NarrativeContent_66","<div></div>"
"Clinical Laboratory Assessments","388ea565-8937-452e-a6f1-7ad44bae0f8d","8.3.4","NarrativeContent","SECTION 8.3.4","NarrativeContent_67","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","2e0de632-c17f-4754-8134-153b579062fa","8.3.5","NarrativeContent","SECTION 8.3.5","NarrativeContent_68","<div></div>"
"Adverse Events and Serious Adverse Events","d24f98d1-6caa-46ea-b277-a4b9bf6d308d","8.4","NarrativeContent","SECTION 8.4","NarrativeContent_69","<div></div>"
"Definitions of AE and SAE","7bbb20d9-e5aa-46ac-b916-d4a2b68495ca","8.4.1","NarrativeContent","SECTION 8.4.1","NarrativeContent_70","<div></div>"
"Time Period and Frequency for Collecting AE and SAE Information","6354e1c5-382d-43a2-ad4c-e3b040335efa","8.4.2","NarrativeContent","SECTION 8.4.2","NarrativeContent_71","<div></div>"
"Identifying AEs and SAEs","46245782-dec7-4889-bbf5-81e24ea621d1","8.4.3","NarrativeContent","SECTION 8.4.3","NarrativeContent_72","<div></div>"
"Recording of AEs and SAEs","28bd70cf-5400-4c31-b312-768b77c4c66a","8.4.4","NarrativeContent","SECTION 8.4.4","NarrativeContent_73","<div></div>"
"Follow-up of AEs and SAEs","205954f8-b095-4b6c-837a-bba03dc963c9","8.4.5","NarrativeContent","SECTION 8.4.5","NarrativeContent_74","<div></div>"
"Reporting of SAEs","4cda71bf-4193-4b44-8696-00e42163b2c7","8.4.6","NarrativeContent","SECTION 8.4.6","NarrativeContent_75","<div></div>"
"Regulatory Reporting Requirements for SAEs","92fbbda8-d190-43ee-9b81-d5b6b1d7a853","8.4.7","NarrativeContent","SECTION 8.4.7","NarrativeContent_76","<div></div>"
"Serious and Unexpected Adverse Reaction Reporting","aab8900f-80de-42ea-9e7d-be4210e438f7","8.4.8","NarrativeContent","SECTION 8.4.8","NarrativeContent_77","<div></div>"
"Adverse Events of Special Interest","487e6854-41db-4932-b4d6-3dbf23922585","8.4.9","NarrativeContent","SECTION 8.4.9","NarrativeContent_78","<div></div>"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","5d1a661c-12e7-46cc-ba01-8e8abcd06318","8.4.10","NarrativeContent","SECTION 8.4.10","NarrativeContent_79","<div></div>"
"Pregnancy and Postpartum Information","bec97111-b58c-4476-890b-aafaf4c9b27a","8.5","NarrativeContent","SECTION 8.5","NarrativeContent_80","<div></div>"
"Participants Who Become Pregnant During the Trial","de27f7df-97f9-43bd-a4cc-4ad322711e62","8.5.1","NarrativeContent","SECTION 8.5.1","NarrativeContent_81","<div></div>"
"Participants Whose Partners Become Pregnant","6063ceec-34be-4305-977c-3b55e8941a60","8.5.2","NarrativeContent","SECTION 8.5.2","NarrativeContent_82","<div></div>"
"Medical Device Product Complaints for Drug/Device Combination Products","ffdda13a-7b4d-4d0f-a3d3-a04766a3a6ff","8.6","NarrativeContent","SECTION 8.6","NarrativeContent_83","<div></div>"
"Definition of Medical Device Product Complaints","832ff50c-a34e-413e-ad19-194095f83c26","8.6.1","NarrativeContent","SECTION 8.6.1","NarrativeContent_84","<div></div>"
"Recording of Medical Device Product Complaints","f217f361-14c1-4739-985e-779ef94c0b8c","8.6.2","NarrativeContent","SECTION 8.6.2","NarrativeContent_85","<div></div>"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","d08fd295-42c0-4e60-a8de-a3324f997750","8.6.3","NarrativeContent","SECTION 8.6.3","NarrativeContent_86","<div></div>"
"Follow-Up of Medical Device Product Complaints","a1cbc1c2-e56b-41cb-be9c-e7239fd04cb4","8.6.4","NarrativeContent","SECTION 8.6.4","NarrativeContent_87","<div></div>"
"Regulatory Reporting Requirements for Medical Device Product Complaints","dee84c69-1e86-49ac-b507-68e31198f7d6","8.6.5","NarrativeContent","SECTION 8.6.5","NarrativeContent_88","<div></div>"
"Pharmacokinetics","b11353a1-451f-4393-898b-c90bf40ac662","8.7","NarrativeContent","SECTION 8.7","NarrativeContent_89","<div></div>"
"Genetics","2f73b596-78ef-4861-9549-d5554cc9ec47","8.8","NarrativeContent","SECTION 8.8","NarrativeContent_90","<div></div>"
"Biomarkers","3777d013-65ed-4c1f-8759-084742a00f84","8.9","NarrativeContent","SECTION 8.9","NarrativeContent_91","<div></div>"
"Immunogenicity Assessments","df0bc337-d518-43c7-99bf-ab322b941226","8.1","NarrativeContent","SECTION 8.1","NarrativeContent_92","<div></div>"
"Medical Resource Utilisation and Health Economics","66105981-6b14-45c5-b063-c9d519e208a6","8.1.1","NarrativeContent","SECTION 8.1.1","NarrativeContent_93","<div></div>"
"STATISTICAL CONSIDERATIONS","0e29806c-ca6c-4e5c-81af-4e0c9cffda4f","9","NarrativeContent","SECTION 9","NarrativeContent_94","<div></div>"
"Analysis Sets","3830b792-95ab-4466-a52b-75ed810cf19f","9.1","NarrativeContent","SECTION 9.1","NarrativeContent_95","<div></div>"
"Analyses Supporting Primary Objective(s)","49f908e3-2a00-494a-b898-33760d0b96c2","9.2","NarrativeContent","SECTION 9.2","NarrativeContent_96","<div></div>"
"Statistical Model, Hypothesis, and Method of Analysis","103707f3-a467-436d-8492-344d4b14e050","9.2.1","NarrativeContent","SECTION 9.2.1","NarrativeContent_97","<div></div>"
"Handling of Intercurrent Events of Primary Estimand(s)","fddad138-fef3-4ae0-9ef7-f7e8f4027dd5","9.2.2","NarrativeContent","SECTION 9.2.2","NarrativeContent_98","<div></div>"
"Handling of Missing Data","dae55698-0186-45b7-a8cd-9a10d7d9b707","9.2.3","NarrativeContent","SECTION 9.2.3","NarrativeContent_99","<div></div>"
"Sensitivity Analysis","c8af1474-ee8d-4504-a4ae-f7835a1cfe18","9.2.4","NarrativeContent","SECTION 9.2.4","NarrativeContent_100","<div></div>"
"Supplementary Analysis","c63bdcf3-1de0-400b-b2c3-043c5fb25cd0","9.2.5","NarrativeContent","SECTION 9.2.5","NarrativeContent_101","<div></div>"
"Analysis Supporting Secondary Objective(s)","9ac754de-e0ad-42bc-aed4-f7abef4694fa","9.3","NarrativeContent","SECTION 9.3","NarrativeContent_102","<div></div>"
"Analysis of Exploratory Objective(s)","9ae4ae69-1c04-4a03-aba0-923dae9a06f2","9.4","NarrativeContent","SECTION 9.4","NarrativeContent_103","<div></div>"
"Safety Analyses","f21a4013-8993-42e3-a3f1-5c4e8ec5d3be","9.5","NarrativeContent","SECTION 9.5","NarrativeContent_104","<div></div>"
"Other Analyses","a555d944-58d2-4c9f-9853-6751c97c625f","9.6","NarrativeContent","SECTION 9.6","NarrativeContent_105","<div></div>"
"Interim Analyses","163558b9-a4fd-49fd-9e2a-6367165e6a3d","9.7","NarrativeContent","SECTION 9.7","NarrativeContent_106","<div></div>"
"Sample Size Determination","ba586610-ab3b-4378-882e-e5402f79620a","9.8","NarrativeContent","SECTION 9.8","NarrativeContent_107","<div></div>"
"Protocol Deviations","7e24fbbd-45c6-428f-b083-8aabe4ace066","9.9","NarrativeContent","SECTION 9.9","NarrativeContent_108","<div></div>"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","d71b2b02-b71c-4d6d-84d7-fa9495d12dbe","10","NarrativeContent","SECTION 10","NarrativeContent_109","<div></div>"
"Regulatory and Ethical Considerations","083b0ed8-19cd-4d83-aa97-9617c2fac318","10.1","NarrativeContent","SECTION 10.1","NarrativeContent_110","<div></div>"
"Committees","b4533283-368a-45f2-8ffa-de326965cb9c","10.2","NarrativeContent","SECTION 10.2","NarrativeContent_111","<div></div>"
"Informed Consent Process","37f17399-22ba-48da-8518-c442992a93b9","10.3","NarrativeContent","SECTION 10.3","NarrativeContent_112","<div></div>"
"Data Protection","38448b21-708e-43c1-a2bc-2203f1fcb487","10.4","NarrativeContent","SECTION 10.4","NarrativeContent_113","<div></div>"
"Early Site Closure or Trial Termination","9f870ebb-d810-4bc9-aa46-4724e684a3a3","10.5","NarrativeContent","SECTION 10.5","NarrativeContent_114","<div></div>"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","190928a3-1fbe-441e-b848-77926aaa5760","11","NarrativeContent","SECTION 11","NarrativeContent_115","<div></div>"
"Quality Tolerance Limits","a10d3867-cbad-45dd-814f-46f67d42b2c3","11.1","NarrativeContent","SECTION 11.1","NarrativeContent_116","<div></div>"
"Data Quality Assurance","932368c4-4fc3-4b09-8c17-f4af1ab94a41","11.2","NarrativeContent","SECTION 11.2","NarrativeContent_117","<div></div>"
"Source Data","8ec6cd8a-c391-4430-8dd2-9496debd366c","11.3","NarrativeContent","SECTION 11.3","NarrativeContent_118","<div></div>"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","d2c85d67-fde7-4735-91ca-bc46599a2972","12","NarrativeContent","SECTION 12","NarrativeContent_119","<div></div>"
"Further Details and Clarifications on the AE Definition","ea0964a7-4955-4185-b400-3c99750d3a87","12.1","NarrativeContent","SECTION 12.1","NarrativeContent_120","<div></div>"
"Further Details and Clarifications on the SAE Definition","e4a6801f-0688-4a1f-a0b2-78e34565f087","12.2","NarrativeContent","SECTION 12.2","NarrativeContent_121","<div></div>"
"Severity","1162d0b2-6874-4862-83d5-db9b6e99db19","12.3","NarrativeContent","SECTION 12.3","NarrativeContent_122","<div></div>"
"Causality","d1b81c67-981e-4f59-bf79-5c9a652fa10c","12.4","NarrativeContent","SECTION 12.4","NarrativeContent_123","<div></div>"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","c211acd1-3e96-491c-95d3-6c99867ecd3b","13","NarrativeContent","SECTION 13","NarrativeContent_124","<div></div>"
"Contraception and Pregnancy Testing","0c29ebb4-48a7-4c88-ae17-075fdbc7243c","13.1","NarrativeContent","SECTION 13.1","NarrativeContent_125","<div></div>"
"Definitions Related to Childbearing Potential","2edd90b2-ba64-416b-b0f2-5613913ca2dd","13.1.1","NarrativeContent","SECTION 13.1.1","NarrativeContent_126","<div></div>"
"Contraception","69b049c2-aa3e-4dc4-9d53-91494497c0bb","13.1.2","NarrativeContent","SECTION 13.1.2","NarrativeContent_127","<div></div>"
"Pregnancy Testing","0c401eca-255c-4a6b-b1a1-fd08ee130ff8","13.1.3","NarrativeContent","SECTION 13.1.3","NarrativeContent_128","<div></div>"
"Clinical Laboratory Tests","03127f7d-9daf-4ded-9b70-a2d4a5bbcecb","13.2","NarrativeContent","SECTION 13.2","NarrativeContent_129","<div></div>"
"Country/Region-Specific Differences","7f13f59b-51cc-4cf1-8162-567e76b53597","13.3","NarrativeContent","SECTION 13.3","NarrativeContent_130","<div></div>"
"Prior Protocol Amendments","4fb0265d-47f0-4089-b51b-b82d11b8200c","13.4","NarrativeContent","SECTION 13.4","NarrativeContent_131","<div></div>"
"APPENDIX: GLOSSARY OF TERMS","f3d55cd6-22c7-4fa6-a019-42fd9fa5fd05","14","NarrativeContent","SECTION 14","NarrativeContent_132","<div></div>"
"APPENDIX: REFERENCES","a93c9a05-c204-4c78-b5c9-e0fc402ab8ad","15","NarrativeContent","SECTION 15","NarrativeContent_133","<div></div>"
