"datatype","isRequired","uuid:ID","isEnabled","instanceType","label","name","id"
"string","True","d051462d-11a2-476e-bf22-7525e261be4e","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_116"
"decimal","True","cff222a0-7e05-40c7-8ef8-92ca6e20fce5","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_117"
"boolean","True","e572b1b5-5c4d-49c4-a39d-9b650e365520","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_118"
"string","True","c3e81138-22b1-4e22-9871-710f235f34c0","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119"
"string","True","8d002a17-d76c-4dde-8b8b-f2d2055c16fd","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_120"
"string","True","753ee50b-98af-4000-b3a6-fefd2cecb062","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_121"
"boolean","True","84e58742-5147-4ae2-9245-7e896cd00935","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_122"
"string","True","a03148e5-afa1-4e57-840d-f6607c14a3e1","True","BiomedicalConceptProperty","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty_123"
"string","True","8d78af87-8d35-4ac8-a232-d2e67ccceef5","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_124"
"decimal","True","6bf3e2e6-f067-41aa-bb44-b9c58a28ba94","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_125"
"boolean","True","6fc86eeb-56a0-4c74-a348-4c471faa356a","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_126"
"string","True","bcb60a2a-a732-41db-8f0e-41afab9d7610","True","BiomedicalConceptProperty","Molarity Unit","Molarity Unit","BiomedicalConceptProperty_127"
"string","True","5b8dfab8-24d6-4a91-9630-24a4b813eb7b","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_128"
"decimal","True","976a3dbc-840c-456d-a306-d3f2807a4772","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_129"
"boolean","True","0db09af7-7650-4210-9f90-1863999e6a69","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_130"
"string","True","da55bbe1-746c-4093-b98f-a55de4ff765d","True","BiomedicalConceptProperty","Molarity Unit","Molarity Unit","BiomedicalConceptProperty_131"
"string","True","5bb6b80d-c76a-4dea-8129-2eb468a1a8c0","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_132"
"string","True","d2d89ee5-a388-4086-b176-8ca74bc4ac53","True","BiomedicalConceptProperty","Adverse Event Verbatim Description","Adverse Event Verbatim Description","BiomedicalConceptProperty_1"
"string","True","0c085e8b-ece4-48af-98d9-0a2a943e6cfe","True","BiomedicalConceptProperty","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2"
"string","True","c9905195-585b-42bb-a693-62a51bff42e1","True","BiomedicalConceptProperty","Adverse Event Category","Adverse Event Category","BiomedicalConceptProperty_3"
"string","True","9ea4d1b2-6e48-4312-acad-7a62eb817eb6","True","BiomedicalConceptProperty","Adverse Event Subcategory","Adverse Event Subcategory","BiomedicalConceptProperty_4"
"boolean","True","98fdf7f9-60ae-4c62-abbd-8fc08842d643","True","BiomedicalConceptProperty","Adverse Event Pre-specified","Adverse Event Pre-specified","BiomedicalConceptProperty_5"
"string","True","37458b5f-6711-433e-a2f0-d6da80f58654","True","BiomedicalConceptProperty","Severity of Adverse Event","Severity of Adverse Event","BiomedicalConceptProperty_6"
"string","True","ccb50daa-cb80-4aa9-9a58-4ed3c6bf629e","True","BiomedicalConceptProperty","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7"
"boolean","True","d2809d78-1820-4713-9836-997ef14dc166","True","BiomedicalConceptProperty","Seriousness of Adverse Event","Seriousness of Adverse Event","BiomedicalConceptProperty_8"
"string","True","78feb8e9-6a46-466a-8fa4-c8945668e0df","True","BiomedicalConceptProperty","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9"
"string","True","e953c993-f881-46aa-a9c9-f41aff19051e","True","BiomedicalConceptProperty","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10"
"string","True","2645e23e-1fe7-4c69-9b58-0e043cdb94c8","True","BiomedicalConceptProperty","Adverse Event Pattern","Adverse Event Pattern","BiomedicalConceptProperty_11"
"string","True","6a9a0a99-7311-4e74-8d7c-f907990b91cd","True","BiomedicalConceptProperty","Adverse Event Outcome","Adverse Event Outcome","BiomedicalConceptProperty_12"
"datetime","True","a39e56ca-7206-4d4f-9430-ff1f0d25be2a","True","BiomedicalConceptProperty","Adverse Event Start Date Time","Adverse Event Start Date Time","BiomedicalConceptProperty_13"
"datetime","True","7caf18db-7bb0-49cc-8475-69dee33a8ca7","True","BiomedicalConceptProperty","Adverse Event End Date Time","Adverse Event End Date Time","BiomedicalConceptProperty_14"
"decimal","True","2d1e73b7-ff84-4d6a-b16e-ce1362b9ce89","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_15"
"string","True","3ff5d7e8-ece1-424f-860a-d3bcaad1e17e","True","BiomedicalConceptProperty","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty_16"
"string","True","031812e1-1126-482a-9bca-9fb0c4a6e455","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_17"
"string","True","2505a895-3e7d-4283-8f2c-7b6f76f678ff","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_18"
"string","True","997e4a16-e108-4341-90ce-99f6a20cd46a","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_19"
"string","True","7de92af6-9849-4aca-acf9-c5c43117a501","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_20"
"decimal","True","77a664b8-49c6-4776-aa36-ffea9c1d3597","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_21"
"string","True","ccf15326-13c8-4e8f-a205-406bad5be742","True","BiomedicalConceptProperty","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty_22"
"string","True","7668817c-8d98-41f9-a928-4a73612bcc51","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_23"
"string","True","75807221-12d0-4c00-b6a3-37d9c4daef2f","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_24"
"string","True","ed69d084-c29b-4fe2-b7e7-3f6b5d7379ed","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_25"
"string","True","1ecf0365-a89d-4330-bced-205c06853620","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_26"
"decimal","True","e97f655a-1b07-4813-a46c-19fd22d92529","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_27"
"string","True","2466e7b2-f601-48cf-a0be-dc2e7ae9b5ec","True","BiomedicalConceptProperty","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty_28"
"string","True","a5020537-17a0-4572-a86f-ddeebfbf4fc8","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_29"
"decimal","True","a3744776-db44-4d3c-8245-e7b9c8e78c76","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_30"
"string","True","c52f6f32-8f68-4656-bc5a-cd480f3bef6c","True","BiomedicalConceptProperty","Unit of Weight","Unit of Weight","BiomedicalConceptProperty_31"
"decimal","True","c084a14c-f12d-438c-b73d-7ceafb0c7ac7","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_32"
"string","True","be90fb23-06ef-499a-a9bb-a28f63258914","True","BiomedicalConceptProperty","Unit of Height","Unit of Height","BiomedicalConceptProperty_33"
"decimal","True","ab327321-a1b0-4b28-87a6-aacee53be3fc","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_34"
"boolean","True","b8a4525c-7658-419e-9d94-94aae36ba0cd","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_35"
"string","True","8b0b7b30-5e7b-489a-936c-33eb0c663f1e","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36"
"string","True","ffc44f3c-43fe-444b-a0f0-835b24e9b991","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_37"
"string","True","a67a57c4-63b7-46aa-8703-e6870efbefe2","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_38"
"boolean","True","071d62d2-0f2a-4431-af0c-4d6b7c716e77","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_39"
"string","True","6e00d2fc-c0b2-470c-bdeb-9da1719b3f05","True","BiomedicalConceptProperty","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty_40"
"string","True","3035ce3f-c85c-4597-af71-384797fcd33c","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_41"
"decimal","True","8560d6cf-a8e7-4088-970f-ca55fc8a08f3","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_42"
"boolean","True","6aee487c-5d1e-4bb8-b980-f908a3db8a6d","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_43"
"string","True","4c93b0ee-b8b6-4723-8521-6ffc63ee2a8c","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44"
"string","True","c5be7b22-3c65-4144-a11c-850a3758f1a5","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_45"
"decimal","True","ec8b2127-42bd-40b6-a126-f8afe6c33837","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_46"
"boolean","True","a31d99b9-46e3-4b23-a45e-79d0dc7c158a","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_47"
"string","True","27cad2c0-4a6c-40a8-9d76-396cf59725c5","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48"
"string","True","17f10f7b-5330-483f-942a-1d49e69a0428","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_49"
"string","True","296bde32-c872-4541-a58c-1437e037ab31","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_50"
"boolean","True","08fb8f20-8be8-46d8-a14f-d1a8b170d274","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_51"
"string","True","12043675-6ca6-4e10-bec9-ee6f701736cb","True","BiomedicalConceptProperty","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty_52"
"string","True","6bfaba8d-07e1-4a26-b9e1-23b0e5f0e23f","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_53"
"decimal","True","0ab275a7-95b2-4ab2-bebf-3568e63fb7d7","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_54"
"boolean","True","9fbdf327-0ba9-4687-bafe-855e4b5ed8a5","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_55"
"string","True","2ee7a834-8ce0-4ead-8cc0-32e1eb7dc4fa","True","BiomedicalConceptProperty","Molarity Unit","Molarity Unit","BiomedicalConceptProperty_56"
"string","True","b64a1bf5-d09d-462e-a533-647b1ee971d1","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_57"
"decimal","True","50c748dc-3254-4c33-bdf2-e9ede0528f39","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_58"
"boolean","True","e5f88787-378d-4c2a-a807-1e7c53762a56","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_59"
"string","True","65fb2e7d-33d8-4c3c-9953-7dc0827073ae","True","BiomedicalConceptProperty","Molarity Unit","Molarity Unit","BiomedicalConceptProperty_60"
"string","True","84b8e607-9222-4689-9e93-5ef2880528eb","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_61"
"decimal","True","777c1493-6e59-4de8-baaa-85eead8d925e","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_62"
"string","True","38183bc3-4435-4335-af58-47185a0298d2","True","BiomedicalConceptProperty","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty_63"
"string","True","03477e8c-7a1e-4b85-a58d-4557248d15d6","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_64"
"string","True","e9854960-3957-4b97-ae1b-3e765aafa8e7","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_65"
"string","True","8e496c1d-92a9-4377-947d-e7d76cf7d634","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_66"
"string","True","4154de37-56d7-40f6-be43-f43f96f24e17","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_67"
"decimal","True","eaf3b5f7-a2c2-4f06-b3ad-44fd122ed32d","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_68"
"string","True","a35fc46e-b229-47e0-8bac-80698c423cad","True","BiomedicalConceptProperty","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty_69"
"string","True","d8c108d9-6f53-4769-9395-0da6917813db","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_70"
"string","True","1a5f72a0-5fb1-4aaf-a96d-59bc98689533","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_71"
"string","True","29c1efc8-08a5-419f-a946-85ca7cea58c5","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_72"
"string","True","a9c83542-d8b1-44c2-8672-bac8868f11b8","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_73"
"integer","True","983155ab-a525-4350-adff-53fcbc298d72","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_74"
"string","True","ee10496f-66d3-402b-881d-a53148552295","True","BiomedicalConceptProperty","Count per Minute","Count per Minute","BiomedicalConceptProperty_75"
"string","True","f693df24-e0ef-4859-9d23-94c2b50a8faa","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_76"
"string","True","937f3f85-10c1-474e-b907-a58f106d2e70","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_77"
"string","True","e94820bd-05ac-49b8-9668-21694263dea2","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_78"
"string","True","87fc91a1-96a0-487c-87bd-381f9af0ee8e","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_79"
"decimal","True","80f36c7f-6b67-47ed-8041-0d2d770a716f","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_80"
"string","True","f26a4d69-ec3b-405f-b924-8e6a509c4c92","True","BiomedicalConceptProperty","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty_81"
"string","True","4722fcc5-3bf2-4c36-aab4-1759c3694bb1","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_82"
"string","True","4b65c352-dcaa-4d26-8fab-34c3ae64423b","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_83"
"string","True","c1861d9c-93c3-433e-aa57-6ea7cc9161c3","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_84"
"string","True","0fa82e4b-0ae5-4f8d-8592-8f197e76f3c8","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_85"
"decimal","True","8e4105a7-9d90-4618-a541-eee1fffc96b8","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_86"
"string","True","38acf6f5-ae7d-41b6-91df-bea45a4e915f","True","BiomedicalConceptProperty","Unit of Pressure","Unit of Pressure","BiomedicalConceptProperty_87"
"string","True","f62a556c-e569-4e85-bb74-5d662d613689","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_88"
"string","True","2104dd09-3831-4574-8061-af41a45246f1","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_89"
"string","True","54b87164-779d-497f-af85-367e523cb9c9","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_90"
"string","True","3f18611b-524e-476d-9b57-34e48878d148","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_91"
"integer","True","b1be52b0-01de-4fc4-8dad-6979eaf6ac3d","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_92"
"string","True","35180d8d-e374-4ef6-bd01-c62cf6e48283","True","BiomedicalConceptProperty","Count per Minute","Count per Minute","BiomedicalConceptProperty_93"
"string","True","3063d1aa-4378-4243-a114-89c0215fe0e8","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_94"
"string","True","69a3fe30-7e0a-4a02-9f1b-8417f485bb9b","True","BiomedicalConceptProperty","Vital Signs Laterality","Vital Signs Laterality","BiomedicalConceptProperty_95"
"string","True","c347b954-9ad1-4b3d-9cf2-6b73a626f871","True","BiomedicalConceptProperty","Test Method","Test Method","BiomedicalConceptProperty_96"
"string","True","8c298c6c-7841-4f86-86a3-268627248a16","True","BiomedicalConceptProperty","Vital Signs Position","Vital Signs Position","BiomedicalConceptProperty_97"
