"bcSynonyms","name","id","bcReference","uuid:ID","label"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","b7200cc6-84a0-4a09-80da-6df786c8510e","Diastolic Blood Pressure"
"['Temperature']","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","8d2fc96a-18aa-489a-9d2c-cbfe5ecaf680","Body Temperature"
"['Weight']","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","308f15f1-0843-4192-b196-bd415681403d","Body Weight"
"['Height']","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","3c091eb0-348d-4efc-9d7f-ef3bf97a5810","Body Height"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","358f9ea6-c2ff-4446-b387-236ebdd9233c","Alanine Aminotransferase Measurement"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","487e23f5-d6e2-49f1-9f24-fc60573ca8e7","Albumin Measurement"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","6c45866e-9417-46eb-b832-5d880c5ca761","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","65cced60-5d63-440d-bdd8-99f087fa732b","Aspartate Aminotransferase Measurement"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","6a806ce4-09b9-48b7-8a5c-3f5744cb6eb0","Creatinine Measurement"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","d6109a98-0dc3-4224-ba36-2a966e8af4b7","Potassium Measurement"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","ce22e3fc-37f9-49ba-8884-8f456b9cd769","Sodium Measurement"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","caf75c55-3fa6-43fc-8ef9-886f91e0bf33","Systolic Blood Pressure"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","2a6a7aef-f9b4-4ae4-8f64-c058dbc14252","Diastolic Blood Pressure"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","1e1143c4-3719-4371-880e-26b40f1b9c77","Systolic Blood Pressure"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","2d3a46a7-7220-4c90-8334-f78450e1a0db","Diastolic Blood Pressure"
