"sectionNumber","name","id","uuid:ID","sectionTitle","text"
"5.3","SECTION 5.3","NarrativeContent_24","19c2f8dc-89a9-4b48-b5bf-bfedc6d20395","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>"
"5.4","SECTION 5.4","NarrativeContent_25","3aa7f358-5b30-4755-aa63-0d58824013de","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>"
"5.5","SECTION 5.5","NarrativeContent_26","05b912db-1d0c-4c8f-95a6-fe1fd68e9007","Lifestyle Considerations","<div></div>"
"5.5.1","SECTION 5.5.1","NarrativeContent_27","3e2c4bad-0743-4fbb-97ad-33ea273bb591","Meals and Dietary Restrictions","<div></div>"
"5.5.2","SECTION 5.5.2","NarrativeContent_28","42fdb342-3282-4c76-ae6c-b872067b2dc9","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>"
"5.5.3","SECTION 5.5.3","NarrativeContent_29","67865db0-d981-4bb8-bcc1-7e6c54996ec6","Physical Activity","<div></div>"
"5.5.4","SECTION 5.5.4","NarrativeContent_30","666f47f1-5994-41b1-9716-d1a940a4cdf6","Other Activity","<div></div>"
"5.6","SECTION 5.6","NarrativeContent_31","2438946e-2ba3-4dc7-a82d-6241073bf0b1","Screen Failures","<div></div>"
"6","SECTION 6","NarrativeContent_32","3c359000-1b69-4ad5-954d-d5d6e13b97f4","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>"
"6.1","SECTION 6.1","NarrativeContent_33","32bb6b72-ede0-43cf-a3b4-3b19de3dcb0a","Description of Trial Intervention","<div></div>"
"6.2","SECTION 6.2","NarrativeContent_34","7b90b835-9ba8-461f-9af3-7d17b6cd2e28","Rationale for Trial Intervention","<div></div>"
"6.3","SECTION 6.3","NarrativeContent_35","285d588a-8b40-4fab-9b92-d156d0ded117","Dosing and Administration","<div></div>"
"6.3.1","SECTION 6.3.1","NarrativeContent_36","cc324abe-a5f2-4aa2-a212-18e46ba62574","Trial Intervention Dose Modification","<div></div>"
"6.4","SECTION 6.4","NarrativeContent_37","0da960bc-7307-4c06-b52c-e5d7dfe679dd","Treatment of Overdose","<div></div>"
"6.5","SECTION 6.5","NarrativeContent_38","7b1cb80f-14ce-4a22-b5c8-98fadcaefd94","Preparation, Handling, Storage and Accountability","<div></div>"
"6.5.1","SECTION 6.5.1","NarrativeContent_39","7a18979f-c56f-4370-95f7-9a6e72114f90","Preparation of Trial Intervention","<div></div>"
"6.5.2","SECTION 6.5.2","NarrativeContent_40","8503034a-5d7b-4084-9ebf-cac80313106c","Handling and Storage of Trial Intervention","<div></div>"
"6.5.3","SECTION 6.5.3","NarrativeContent_41","95f3cb68-2b00-41b8-b3da-e0127d66e165","Accountability of Trial Intervention","<div></div>"
"6.6","SECTION 6.6","NarrativeContent_42","c2c3b352-424a-465d-82e6-23b2fac4923a","Participant Assignment, Randomisation and Blinding","<div></div>"
"6.6.1","SECTION 6.6.1","NarrativeContent_43","fa2b3c56-19ad-453b-9cbb-3a8490343065","Participant Assignment","<div></div>"
"6.6.2","SECTION 6.6.2","NarrativeContent_44","0f92fd0c-4632-4a8c-bffa-eab0c4ad57e6","Randomisation","<div></div>"
"6.6.3","SECTION 6.6.3","NarrativeContent_45","4f565618-5bf6-4be8-92f8-35404c312f36","Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"6.7","SECTION 6.7","NarrativeContent_46","d10e0b9f-586d-464d-bda4-967848a1ced9","Trial Intervention Compliance","<div></div>"
"6.8","SECTION 6.8","NarrativeContent_47","ed866f25-0133-4230-b034-19663fcf3979","Concomitant Therapy","<div></div>"
"6.8.1","SECTION 6.8.1","NarrativeContent_48","559d4b55-6828-4405-a917-0b35cb8e27cf","Prohibited Concomitant Therapy","<div></div>"
"6.8.2","SECTION 6.8.2","NarrativeContent_49","e2496daf-e75a-466f-bad8-defbd43b2e5a","Permitted Concomitant Therapy","<div></div>"
"6.8.3","SECTION 6.8.3","NarrativeContent_50","1016b4c9-357e-4c7f-b3c1-f27ffabe342f","Rescue Therapy","<div></div>"
"6.8.4","SECTION 6.8.4","NarrativeContent_51","5af1679f-6922-444c-8127-395ef09583a2","Other Therapy","<div></div>"
"7","SECTION 7","NarrativeContent_52","29ce2034-94b3-4d2d-90b8-0a808a4160f7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>"
"7.1","SECTION 7.1","NarrativeContent_53","0871a48d-9bda-41e4-a5f2-6f9daa22ec31","Discontinuation of Trial Intervention","<div></div>"
"7.1.1","SECTION 7.1.1","NarrativeContent_54","d845336b-8952-4360-af3e-8c2a3097878f","Criteria for Permanent Discontinuation of Trial Intervention","<div></div>"
"7.1.2","SECTION 7.1.2","NarrativeContent_55","7b233ab7-2076-456e-8fff-f599bcdb0e7d","Temporary Discontinuation or Interruption of Trial Intervention","<div></div>"
"7.1.3","SECTION 7.1.3","NarrativeContent_56","5f2b6f3c-06ff-4279-9ee7-27440509cc0a","Rechallenge","<div></div>"
"7.2","SECTION 7.2","NarrativeContent_57","d735154e-89f7-4ccc-bda0-0e8c006f80da","Participant Withdrawal from the Trial","<div></div>"
"7.3","SECTION 7.3","NarrativeContent_58","4b2d7e5d-b163-4b3a-8ddd-87fb660b9848","Lost to Follow-Up","<div></div>"
"7.4","SECTION 7.4","NarrativeContent_59","ec5696d7-6f4b-4eb5-a0ed-7abc5e3dcc11","Trial Stopping Rules","<div></div>"
"8","SECTION 8","NarrativeContent_60","aa6d1fd9-e118-4e4c-8737-9691d51ced7f","TRIAL ASSESSMENTS AND PROCEDURES","<div></div>"
"8.1","SECTION 8.1","NarrativeContent_61","abfb0d77-2b6e-449b-85e2-320bda9cd03b","Screening/Baseline Assessments and Procedures","<div></div>"
"8.2","SECTION 8.2","NarrativeContent_62","c0c21a70-dc31-4344-a12a-51577d84164b","Efficacy Assessments and Procedures","<div></div>"
"8.3","SECTION 8.3","NarrativeContent_63","a1f589dd-b769-4570-a1c2-673401cdcb1e","Safety Assessments and Procedures","<div></div>"
"8.3.1","SECTION 8.3.1","NarrativeContent_64","652c2d2f-f425-4e81-909a-f3380559299d","Physical Examination","<div></div>"
"8.3.2","SECTION 8.3.2","NarrativeContent_65","3e1704ad-1434-468a-b00f-a9f3ff8fb150","Vital Signs","<div></div>"
"8.3.3","SECTION 8.3.3","NarrativeContent_66","175983c3-82a7-4c79-86f5-a5a9d16441cc","Electrocardiograms","<div></div>"
"8.3.4","SECTION 8.3.4","NarrativeContent_67","9fd29c5f-a1c7-4fb9-a859-bce391058d3d","Clinical Laboratory Assessments","<div></div>"
"8.3.5","SECTION 8.3.5","NarrativeContent_68","5a2efdad-e26f-4397-84eb-7dcc756c7eea","Suicidal Ideation and Behaviour Risk Monitoring","<div></div>"
"8.4","SECTION 8.4","NarrativeContent_69","c5f345ef-e39e-4f60-b0bf-ee7e11272a87","Adverse Events and Serious Adverse Events","<div></div>"
"8.4.1","SECTION 8.4.1","NarrativeContent_70","bad52db9-3a09-425b-a099-23379e60da1a","Definitions of AE and SAE","<div></div>"
"8.4.2","SECTION 8.4.2","NarrativeContent_71","a22cad5b-c8e1-4faf-a01d-7063286fcb66","Time Period and Frequency for Collecting AE and SAE Information","<div></div>"
"8.4.3","SECTION 8.4.3","NarrativeContent_72","7a25e1ce-83dc-4bfb-b186-c4f6e694fc14","Identifying AEs and SAEs","<div></div>"
"8.4.4","SECTION 8.4.4","NarrativeContent_73","88e019ef-dab8-4e79-8dad-c5c0ea8576bc","Recording of AEs and SAEs","<div></div>"
"8.4.5","SECTION 8.4.5","NarrativeContent_74","ddf82564-e241-47b1-9c19-4266e0d06b4a","Follow-up of AEs and SAEs","<div></div>"
"8.4.6","SECTION 8.4.6","NarrativeContent_75","cacec7c5-8b47-48a9-94d3-eaf314659799","Reporting of SAEs","<div></div>"
"8.4.7","SECTION 8.4.7","NarrativeContent_76","9c5bf182-3e94-4693-bd82-cacb6eccc067","Regulatory Reporting Requirements for SAEs","<div></div>"
"8.4.8","SECTION 8.4.8","NarrativeContent_77","6214d196-e473-4e7b-af6e-e78d788edb5c","Serious and Unexpected Adverse Reaction Reporting","<div></div>"
"8.4.9","SECTION 8.4.9","NarrativeContent_78","47600b2a-1e36-4993-ae14-9b25dad85deb","Adverse Events of Special Interest","<div></div>"
"8.4.10","SECTION 8.4.10","NarrativeContent_79","84bb9a2c-beef-4468-a399-29e32604c2de","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>"
"8.5","SECTION 8.5","NarrativeContent_80","afafedea-dadf-4266-9045-33477add378c","Pregnancy and Postpartum Information","<div></div>"
"8.5.1","SECTION 8.5.1","NarrativeContent_81","dcc8d181-3e2e-4954-af68-aacafde0e265","Participants Who Become Pregnant During the Trial","<div></div>"
"8.5.2","SECTION 8.5.2","NarrativeContent_82","50bb6aca-991e-4c20-9d4d-6ebbbbaf3a38","Participants Whose Partners Become Pregnant","<div></div>"
"8.6","SECTION 8.6","NarrativeContent_83","57e08f05-225d-40aa-979b-1c3aaf3be635","Medical Device Product Complaints for Drug/Device Combination Products","<div></div>"
"8.6.1","SECTION 8.6.1","NarrativeContent_84","46c70f5f-1c0e-4e24-a63a-2d597e9ca8b9","Definition of Medical Device Product Complaints","<div></div>"
"8.6.2","SECTION 8.6.2","NarrativeContent_85","c1bdb110-f55c-4af7-a412-8e9f0d473f47","Recording of Medical Device Product Complaints","<div></div>"
"8.6.3","SECTION 8.6.3","NarrativeContent_86","3d9f0ec3-7182-4229-b56a-5a7a5eeae15f","Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>"
"8.6.4","SECTION 8.6.4","NarrativeContent_87","d9c9f26b-ae92-473c-bbd7-4fda628b1bb3","Follow-Up of Medical Device Product Complaints","<div></div>"
"8.6.5","SECTION 8.6.5","NarrativeContent_88","eb7431b0-b286-432b-a4c8-112f445a329d","Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>"
"8.7","SECTION 8.7","NarrativeContent_89","08d1cd14-b08a-437a-91ff-7514e6127aaf","Pharmacokinetics","<div></div>"
"8.8","SECTION 8.8","NarrativeContent_90","9005505e-e781-48e4-a3a0-14f38e4bc7af","Genetics","<div></div>"
"8.9","SECTION 8.9","NarrativeContent_91","9dcddf48-52a9-44a9-a6a7-2ba7c73521b9","Biomarkers","<div></div>"
"8.1","SECTION 8.1","NarrativeContent_92","769bfcc8-7d31-4954-a996-0447f2b23129","Immunogenicity Assessments","<div></div>"
"8.1.1","SECTION 8.1.1","NarrativeContent_93","e99f7746-79d7-48a9-afd5-4e9d68cf4bb0","Medical Resource Utilisation and Health Economics","<div></div>"
"9","SECTION 9","NarrativeContent_94","bb4fd36e-45fb-45e3-b0c2-9d8f5023ef53","STATISTICAL CONSIDERATIONS","<div></div>"
"9.1","SECTION 9.1","NarrativeContent_95","c02bb194-ec98-4b29-88c1-4ef9f61204fa","Analysis Sets","<div></div>"
"9.2","SECTION 9.2","NarrativeContent_96","bb7b81ae-a6ed-476e-8378-983f2add646d","Analyses Supporting Primary Objective(s)","<div></div>"
"9.2.1","SECTION 9.2.1","NarrativeContent_97","57fd8d5b-9936-4999-b66c-1b40ce51cf28","Statistical Model, Hypothesis, and Method of Analysis","<div></div>"
"9.2.2","SECTION 9.2.2","NarrativeContent_98","f0cfb18b-8f08-4aed-aa23-02402f00b2d3","Handling of Intercurrent Events of Primary Estimand(s)","<div></div>"
"9.2.3","SECTION 9.2.3","NarrativeContent_99","cf456942-5b96-4ba3-b68e-c3a74232adb8","Handling of Missing Data","<div></div>"
"9.2.4","SECTION 9.2.4","NarrativeContent_100","972327de-fd2c-45fa-abbc-6bfb7b4adf39","Sensitivity Analysis","<div></div>"
"9.2.5","SECTION 9.2.5","NarrativeContent_101","dcfa63fc-b494-4e4b-892d-be6789dc6125","Supplementary Analysis","<div></div>"
"9.3","SECTION 9.3","NarrativeContent_102","16375df5-72db-42b0-babb-77d714e5e539","Analysis Supporting Secondary Objective(s)","<div></div>"
"9.4","SECTION 9.4","NarrativeContent_103","4ea6109a-a685-4a7e-8207-e127e26cfa29","Analysis of Exploratory Objective(s)","<div></div>"
"9.5","SECTION 9.5","NarrativeContent_104","1438f9c2-90df-45f1-b5d7-7ee49d53a54b","Safety Analyses","<div></div>"
"9.6","SECTION 9.6","NarrativeContent_105","182aed71-9bb9-4ae1-b04d-e74ec811247a","Other Analyses","<div></div>"
"9.7","SECTION 9.7","NarrativeContent_106","6fffb156-33c8-4643-b73a-526290022db7","Interim Analyses","<div></div>"
"9.8","SECTION 9.8","NarrativeContent_107","a678dd6f-d814-465f-babe-a6f754e2067f","Sample Size Determination","<div></div>"
"9.9","SECTION 9.9","NarrativeContent_108","3692b96f-f34d-4a91-be8b-1b11d51d0dda","Protocol Deviations","<div></div>"
"10","SECTION 10","NarrativeContent_109","027fedd5-da0b-4b8b-8e04-86e3d38a0d04","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>"
"10.1","SECTION 10.1","NarrativeContent_110","782ac10f-ea43-4b92-bbbe-48244cc402a6","Regulatory and Ethical Considerations","<div></div>"
"10.2","SECTION 10.2","NarrativeContent_111","dddb02da-a75b-4292-8cee-cfe7ffd2a859","Committees","<div></div>"
"10.3","SECTION 10.3","NarrativeContent_112","9c682a14-1ddc-459f-b833-795c78b76b1f","Informed Consent Process","<div></div>"
"10.4","SECTION 10.4","NarrativeContent_113","96d38feb-bfb1-4308-bc0c-56391186dbd1","Data Protection","<div></div>"
"10.5","SECTION 10.5","NarrativeContent_114","3202dff5-034c-443b-9797-895900941aa6","Early Site Closure or Trial Termination","<div></div>"
"11","SECTION 11","NarrativeContent_115","2c338d7c-e46d-40ab-a008-f9e1177e65fa","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>"
"11.1","SECTION 11.1","NarrativeContent_116","590aef06-a6c3-479a-b5b5-45475f3927b1","Quality Tolerance Limits","<div></div>"
"11.2","SECTION 11.2","NarrativeContent_117","4eac766c-1b8c-4f9d-b72f-fdf570171e23","Data Quality Assurance","<div></div>"
"11.3","SECTION 11.3","NarrativeContent_118","e2961245-c9fc-4568-b6f8-5e28785d005e","Source Data","<div></div>"
"12","SECTION 12","NarrativeContent_119","4add43e7-1524-42e7-beb1-64dd8e2ca13b","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>"
"12.1","SECTION 12.1","NarrativeContent_120","b1b6d5aa-2abd-46c2-9d0b-cbfbb030b258","Further Details and Clarifications on the AE Definition","<div></div>"
"12.2","SECTION 12.2","NarrativeContent_121","cc0128a9-6b4e-4580-bb39-77de1b7e8753","Further Details and Clarifications on the SAE Definition","<div></div>"
"12.3","SECTION 12.3","NarrativeContent_122","dd3cf2f6-7533-4cd2-b7d3-04521081a18a","Severity","<div></div>"
"12.4","SECTION 12.4","NarrativeContent_123","61825e32-4495-4557-a1bf-38c17dd0bed6","Causality","<div></div>"
"13","SECTION 13","NarrativeContent_124","ee0f9928-b2d1-4e59-8b85-9208592b1ad2","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>"
"13.1","SECTION 13.1","NarrativeContent_125","02cb0074-ea94-4465-bdd4-0aeab8b96a8a","Contraception and Pregnancy Testing","<div></div>"
"13.1.1","SECTION 13.1.1","NarrativeContent_126","5b5de90f-bb7c-4524-8fbf-b2a38b5114c7","Definitions Related to Childbearing Potential","<div></div>"
"13.1.2","SECTION 13.1.2","NarrativeContent_127","f517805f-7625-43e0-9479-ab21181136f2","Contraception","<div></div>"
"13.1.3","SECTION 13.1.3","NarrativeContent_128","83b77bee-65c3-4e52-975a-5df1546bbf03","Pregnancy Testing","<div></div>"
"13.2","SECTION 13.2","NarrativeContent_129","7d01e747-1813-4f0a-ba22-78979347d015","Clinical Laboratory Tests","<div></div>"
"13.3","SECTION 13.3","NarrativeContent_130","25029b60-cc93-491c-ac48-d189593110ba","Country/Region-Specific Differences","<div></div>"
"13.4","SECTION 13.4","NarrativeContent_131","3c287cff-0ee1-4245-83a6-7edf40734e55","Prior Protocol Amendments","<div></div>"
"14","SECTION 14","NarrativeContent_132","b82cc8d8-0966-459f-b431-6a154b1cb614","APPENDIX: GLOSSARY OF TERMS","<div></div>"
"15","SECTION 15","NarrativeContent_133","a8317b46-88bf-49e3-81f9-00179795eccc","APPENDIX: REFERENCES","<div></div>"
