"name","id","bcPropertyResponseCodes","uuid:ID","bcPropertyEnabled","bcPropertyRequired","label","bcPropertyDatatype"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_110","[]","b85741c7-e0e7-459d-81c9-fa560ac299c0","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","BiomedicalConceptProperty_111","[]","f1d6acde-fb60-47ae-8d0f-5e73ddfa6cbc","True","True","Unit of Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_112","[]","df8b9406-3111-4c0e-88f5-032bcb01f31a","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_113","[]","f28a42b7-06f2-4270-bfdd-606937a92167","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_114","[]","97ffc8f3-aa47-4493-861f-a0276e39a57b","True","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","BiomedicalConceptProperty_115","[]","62ea93e3-4165-4485-9f66-e5b9a5f370a3","True","True","Molarity Unit","string"
"Biospecimen Type","BiomedicalConceptProperty_116","[]","4bdefcdd-472e-47cd-bb42-c9cbc2024cd4","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_117","[]","3fbaadaa-e349-4036-8a69-a69729fef885","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_118","[]","70172c9b-21ac-48f5-a74e-c17d0cbf1091","True","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","BiomedicalConceptProperty_119","[]","8424f2c6-417c-4bd1-ac4c-7596da27e642","True","True","Molarity Unit","string"
"Biospecimen Type","BiomedicalConceptProperty_120","[]","f349d7ca-b0a6-4222-a621-4478d693b83a","True","True","Biospecimen Type","string"
"Adverse Event Verbatim Description","BiomedicalConceptProperty_1","[]","85e2b17b-74ae-43cd-a5b6-6e9cf439dc1c","True","True","Adverse Event Verbatim Description","string"
"Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","[]","97fe3e51-fe0e-43ae-97f6-e9318099894b","True","True","Adverse Event Dictionary Derived Term","string"
"Adverse Event Category","BiomedicalConceptProperty_3","[]","cdc06231-da26-4007-aedc-0fb076ab54c4","True","True","Adverse Event Category","string"
"Adverse Event Subcategory","BiomedicalConceptProperty_4","[]","3716618e-0fb9-4089-8f72-1d9cc42404c4","True","True","Adverse Event Subcategory","string"
"Adverse Event Pre-specified","BiomedicalConceptProperty_5","[]","1e0d40da-ff56-4b95-ae02-f71577665aca","True","True","Adverse Event Pre-specified","boolean"
"Severity of Adverse Event","BiomedicalConceptProperty_6","[]","39bfa1a2-c70f-4b70-afa9-7b5478963027","True","True","Severity of Adverse Event","string"
"Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","[]","0f32e1a4-65e2-43af-894b-d88f9e3de118","True","True","Adverse Event Toxicity Grade","string"
"Seriousness of Adverse Event","BiomedicalConceptProperty_8","[]","bd0ec158-b33f-4f37-aabc-0069b3032a19","True","True","Seriousness of Adverse Event","boolean"
"Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","","48d7bbec-cee2-41ab-b9f7-35d6203ffa96","True","True","Adverse Event Action Taken with Study Treatment","string"
"Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","[]","a9bb590d-b73b-4d05-b265-8b98ef2f62ed","True","True","Adverse Event Attribution to Product or Procedure","string"
"Adverse Event Pattern","BiomedicalConceptProperty_11","[]","f665a8ed-e066-442a-95a7-1f9fab098adc","True","True","Adverse Event Pattern","string"
"Adverse Event Outcome","BiomedicalConceptProperty_12","","ac5d8fc0-0a6a-457d-a6f3-de68d869a1a6","True","True","Adverse Event Outcome","string"
"Adverse Event Start Date Time","BiomedicalConceptProperty_13","[]","0a3482d0-387c-4312-9ec4-ebad55fcb3eb","True","True","Adverse Event Start Date Time","datetime"
"Adverse Event End Date Time","BiomedicalConceptProperty_14","[]","d0ef79ae-8859-4d31-b766-024cc3f81034","True","True","Adverse Event End Date Time","datetime"
"Vital Signs Result","BiomedicalConceptProperty_15","[]","cc73608b-73da-45dc-b25d-b96e3ad9c507","True","True","Vital Signs Result","decimal"
"Unit of Pressure","BiomedicalConceptProperty_16","","c6970a1f-d7ef-485d-a14f-22a0380bfdc3","True","True","Unit of Pressure","string"
"Vital Signs Location","BiomedicalConceptProperty_17","[]","fff46b05-d2a8-45fb-9d88-3444b9927bb5","True","True","Vital Signs Location","string"
"Vital Signs Laterality","BiomedicalConceptProperty_18","[]","d35cd7bc-2d4c-4f72-a939-3fe04acd4802","True","True","Vital Signs Laterality","string"
"Test Method","BiomedicalConceptProperty_19","[]","faeade92-dddd-4ea3-89d8-bfcbb712c32a","True","True","Test Method","string"
"Vital Signs Position","BiomedicalConceptProperty_20","[]","a38ee661-56a1-4c89-ae98-bd272c1b73d3","True","True","Vital Signs Position","string"
"Vital Signs Result","BiomedicalConceptProperty_21","[]","d32e521a-9968-4626-a09c-277978f82208","True","True","Vital Signs Result","decimal"
"Unit of Pressure","BiomedicalConceptProperty_22","","98a0f634-b546-4f8b-8441-dd3fd98f3982","True","True","Unit of Pressure","string"
"Vital Signs Location","BiomedicalConceptProperty_23","[]","7b3bd09f-806f-43f8-b56e-88bd492b22d9","True","True","Vital Signs Location","string"
"Vital Signs Laterality","BiomedicalConceptProperty_24","[]","a3bd3b69-8758-435d-8bc5-49a47890df82","True","True","Vital Signs Laterality","string"
"Test Method","BiomedicalConceptProperty_25","[]","3aa658ad-ba8d-44ca-9f53-5570a519b88a","True","True","Test Method","string"
"Vital Signs Position","BiomedicalConceptProperty_26","[]","9ec03e4c-ca25-4b08-b6c7-ed877de85ec7","True","True","Vital Signs Position","string"
"Vital Signs Result","BiomedicalConceptProperty_27","[]","40c302ea-8e6d-424c-873d-8d72b7f8ae4b","True","True","Vital Signs Result","decimal"
"Unit of Temperature","BiomedicalConceptProperty_28","","5521ba56-a2da-4aad-a6fb-5b950c52575a","True","True","Unit of Temperature","string"
"Vital Signs Location","BiomedicalConceptProperty_29","[]","d60af401-4b96-4b3c-b355-c638156356db","True","True","Vital Signs Location","string"
"Vital Signs Result","BiomedicalConceptProperty_30","[]","c621c102-c88d-4f02-8ed1-2e6f15e119c9","True","True","Vital Signs Result","decimal"
"Unit of Weight","BiomedicalConceptProperty_31","","e5e7b242-2cab-41d9-a4a0-22e609ae5a7f","True","True","Unit of Weight","string"
"Vital Signs Result","BiomedicalConceptProperty_32","[]","e18e5a6e-1088-4026-88ad-84082929f2b0","True","True","Vital Signs Result","decimal"
"Unit of Height","BiomedicalConceptProperty_33","","dd9849d2-e657-49bd-a479-2ea714e183e9","True","True","Unit of Height","string"
"Laboratory Test Result","BiomedicalConceptProperty_34","[]","71d0cf8c-db5c-4ef9-b085-dc786a43b67e","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_35","[]","af4eae1c-e158-4429-8b09-e2d795a10f3f","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","[]","f3a9efd8-4130-473c-956d-53b0a0c558b9","True","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_37","[]","e6e9529a-3ea2-4b37-b4de-88499eb3c4be","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_38","[]","9e25a300-bcc3-4295-9ed6-bd11919e9c99","True","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_39","[]","e326abc4-1fc4-4e60-9c1f-c0f86d6cc513","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","BiomedicalConceptProperty_40","[]","5d640e60-d11b-4dc6-8b3b-f48b3b0fc77b","True","True","Unit of Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_41","[]","77ad1ca4-31e2-4f46-98a1-237a053158e6","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_42","[]","217525a6-ae42-4c8e-91a1-0e1cec80bf95","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_43","[]","9b2c1a3e-9ca5-4331-b9f2-36fddef55380","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","[]","b2b5467f-4813-4fde-8933-a6be74978848","True","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_45","[]","1ff7c841-c61e-47d3-999f-5c60fbf7efea","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_46","[]","2e13327c-ebba-4a09-9463-2974fe4cdee4","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_47","[]","ac7335d9-9f9f-4bde-bcfc-6bbc3d1a6399","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","[]","2d10182c-33b9-444d-931f-e20903f22594","True","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_49","[]","b51dfbc3-1bd0-4379-a77c-9d51e401b001","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_50","[]","516dbe24-e688-4732-9971-13ec3e20dbcf","True","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_51","[]","a56e34c8-2a90-46a3-9191-6ecd871f4c5a","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","BiomedicalConceptProperty_52","[]","df72fdcc-9d95-46a6-9a11-72b1910a7aef","True","True","Unit of Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_53","[]","a1ff5245-6bcc-491f-97d3-c9914ad7d345","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_54","[]","f0eaa132-ab69-4830-9be8-b80eac1cf075","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_55","[]","73124a53-728b-4e74-9909-c124602af716","True","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","BiomedicalConceptProperty_56","[]","6f29478f-25ab-4c7d-8b5d-0030f4ca32e6","True","True","Molarity Unit","string"
"Biospecimen Type","BiomedicalConceptProperty_57","[]","d2e55841-a2cc-4b8b-a7b4-f8a92561df7b","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_58","[]","c89c38a9-a506-4257-87b9-a804a17425ba","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_59","[]","fa080d6d-f9e2-44f0-aaac-80149954e2bf","True","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","BiomedicalConceptProperty_60","[]","a22c6be6-f16a-4682-ad38-df1d82980076","True","True","Molarity Unit","string"
"Biospecimen Type","BiomedicalConceptProperty_61","[]","4c679b6a-e7cf-4c2c-9d96-8594b923b8e5","True","True","Biospecimen Type","string"
"Vital Signs Result","BiomedicalConceptProperty_62","[]","64d49254-abd4-4d2f-b725-26dba76c63e5","True","True","Vital Signs Result","decimal"
"Unit of Pressure","BiomedicalConceptProperty_63","","1969fbcf-5a1d-4324-ba6c-59e3445b3db0","True","True","Unit of Pressure","string"
"Vital Signs Location","BiomedicalConceptProperty_64","[]","fbe0e71c-8a73-4d6e-847f-f1235a29aefa","True","True","Vital Signs Location","string"
"Vital Signs Laterality","BiomedicalConceptProperty_65","[]","15ad07e0-7549-479a-975b-90ec8b38bdca","True","True","Vital Signs Laterality","string"
"Test Method","BiomedicalConceptProperty_66","[]","bdc0d9f8-5bcc-405d-a6cb-51c5c616912b","True","True","Test Method","string"
"Vital Signs Position","BiomedicalConceptProperty_67","[]","0449fc0f-4f25-4aeb-a7dc-327dc711a2db","True","True","Vital Signs Position","string"
"Vital Signs Result","BiomedicalConceptProperty_68","[]","fe194082-6688-45c1-bdd1-2624991ceec7","True","True","Vital Signs Result","decimal"
"Unit of Pressure","BiomedicalConceptProperty_69","","eee2bb13-4375-4577-90f0-327e3638b13b","True","True","Unit of Pressure","string"
"Vital Signs Location","BiomedicalConceptProperty_70","[]","3d0e0193-139b-45c2-8f6f-7bc5298ac2b6","True","True","Vital Signs Location","string"
"Vital Signs Laterality","BiomedicalConceptProperty_71","[]","290e5185-719d-4fde-99dd-e1947d27c4cd","True","True","Vital Signs Laterality","string"
"Test Method","BiomedicalConceptProperty_72","[]","0df17188-62ef-42c0-8908-caadf6d58fa6","True","True","Test Method","string"
"Vital Signs Position","BiomedicalConceptProperty_73","[]","c8d6f6fd-088d-451e-bb06-fa164871dfe9","True","True","Vital Signs Position","string"
"Vital Signs Result","BiomedicalConceptProperty_74","[]","69f1a1f9-0099-4bd3-9929-6808bb3b0a06","True","True","Vital Signs Result","decimal"
"Unit of Pressure","BiomedicalConceptProperty_75","","190735fb-31cb-4aa5-b8cf-7000b2685418","True","True","Unit of Pressure","string"
"Vital Signs Location","BiomedicalConceptProperty_76","[]","864c810d-d6e4-4eb9-8537-89bddd0475f3","True","True","Vital Signs Location","string"
"Vital Signs Laterality","BiomedicalConceptProperty_77","[]","b80b2f95-37c1-4d6e-a86d-01a0855e1ea8","True","True","Vital Signs Laterality","string"
"Test Method","BiomedicalConceptProperty_78","[]","58dc38af-a3cf-4bfc-b391-f3a6722cfe2d","True","True","Test Method","string"
"Vital Signs Position","BiomedicalConceptProperty_79","[]","233ed59c-e80b-4206-a56c-7087d46806f4","True","True","Vital Signs Position","string"
"Vital Signs Result","BiomedicalConceptProperty_80","[]","3f4ad4fb-543e-4db5-81bd-fb40442cf13c","True","True","Vital Signs Result","decimal"
"Unit of Pressure","BiomedicalConceptProperty_81","","106ab5bf-8878-4463-b719-c837c8d2960e","True","True","Unit of Pressure","string"
"Vital Signs Location","BiomedicalConceptProperty_82","[]","3db3a6dc-adac-41a4-bc54-52adfe7ad321","True","True","Vital Signs Location","string"
"Vital Signs Laterality","BiomedicalConceptProperty_83","[]","26a839c8-70e2-41b3-9b43-40012298868b","True","True","Vital Signs Laterality","string"
"Test Method","BiomedicalConceptProperty_84","[]","f0df504d-4f70-46e7-a042-c62a09ee6dea","True","True","Test Method","string"
"Vital Signs Position","BiomedicalConceptProperty_85","[]","44d9ebdc-36b9-4079-9fe5-88741acac7c1","True","True","Vital Signs Position","string"
